"","x"
"1",3.3
"2",3.25
"3",3.3
"4",3.45
"5",3.6
"6",3.5
"7",3.55
"8",3.8
"9",3.95
"10",3.77
"11",3.8
"12",3.9
"13",3.9
"14",4
"15",4.1
"16",4.15
"17",4.05
"18",4.05
"19",4.75
"20",4.75
"21",5.1
"22",5.17
"23",4.71
"24",4.61
"25",4.66
"26",4.5
"27",4.4
"28",4.3
"29",4.05
"30",4.42
"31",4.4
"32",4.1
"33",4.7
"34",4.15
"35",3.99
"36",3.5
"37",3.2
"38",3.08
"39",3
"40",2.75
"41",2.7
"42",2.65
"43",2.65
"44",2.65
"45",2.6
"46",2.55
"47",2.43
"48",2.5
"49",2.8
"50",2.74
"51",2.58
"52",2.67
"53",3
"54",3.15
"55",3
"56",3.04
"57",3.09
"58",3.68
"59",3.61
"60",4.1
"61",4.55
"62",4.22
"63",4.42
"64",4.16
"65",4.33
"66",4.35
"67",4.75
"68",4.95
"69",5.93
"70",6.54
"71",7.6
