"","x"
"1",5.03
"2",4.8
"3",4.57
"4",4.45
"5",4.06
"6",3.14
"7",3.38
"8",4.12
"9",5.21
"10",6.25
"11",5.9
"12",5.63
"13",4.73
"14",4.6
"15",5.36
"16",5.53
"17",5.2
"18",5.32
"19",5.27
"20",5.03
"21",5.55
"22",4.78
"23",4.39
"24",4.53
"25",4.23
"26",4.45
"27",5.05
"28",6.29
"29",6.15
"30",7.84
"31",8.42
"32",7.21
"33",7.05
"34",8.99
"35",9.64
"36",7.84
"37",7.78
"38",9.71
"39",9.35
"40",9.24
"41",9.53
"42",8.51
"43",8.08
"44",8.31
"45",9.47
"46",8.5
"47",7.54
"48",8.78
"49",7.98
"50",6.86
"51",8.41
"52",8.57
"53",9.05
"54",11.15
"55",12.59
"56",15.34
"57",19.95
"58",26.02
"59",21.03
"60",13.66
"61",6.93
"62",8.96
"63",9.84
"64",10.6
"65",15.47
"66",15.41
"67",11.49
"68",12.06
"69",11.02
"70",9.82
"71",8.67
"72",11.5
"73",12.47
"74",15.16
"75",17.08
"76",15.17
"77",15.53
"78",15.23
"79",18.4
"80",22.34
"81",24.5
"82",24.73
"83",29.69
"84",40.49
"85",46.62
"86",44.38
"87",46.24
"88",57.38
"89",55.85
"90",66.27
"91",62.38
"92",69.87
"93",81.37
"94",88.17
"95",85.26
"96",91.93
"97",98.7
"98",97.84
"99",83.82
