"","x"
"1",5.61
"2",5.16
"3",4.63
"4",5.05
"5",4.95
"6",4.71
"7",4.46
"8",4.65
"9",4.89
"10",5.06
"11",5.1
"12",5.31
"13",4.41
"14",4.41
"15",4.01
"16",3.89
"17",3.53
"18",3.38
"19",3.29
"20",3.15
"21",3.08
"22",3
"23",2.96
"24",2.86
"25",2.93
"26",2.57
"27",2.73
"28",2.63
"29",2.72
"30",2.51
"31",2.49
"32",2.49
"33",2.44
"34",2.31
"35",2.29
"36",2.14
"37",2.13
"38",2.28
"39",2.28
"40",2.06
"41",2.19
"42",2.17
"43",2.07
"44",2.12
"45",2.15
"46",1.88
"47",1.87
"48",2.09
"49",2.15
"50",2.47
"51",2.25
"52",2.18
"53",1.88
"54",1.87
"55",2.02
"56",1.95
"57",1.87
"58",1.94
"59",1.86
"60",1.83
"61",1.94
"62",1.68
"63",1.45
"64",1.24
"65",1.32
"66",1.47
"67",1.49
"68",1.57
"69",1.64
"70",1.51
"71",1.5
"72",1.48
"73",1.58
"74",1.82
"75",1.75
"76",1.61
"77",1.37
"78",1.16
"79",1.2
"80",1.33
"81",1.3
"82",1.41
"83",1.57
"84",1.56
"85",1.57
"86",1.51
"87",1.59
"88",1.66
"89",1.68
"90",1.61
"91",1.68
"92",1.72
"93",1.69
"94",1.71
"95",1.69
"96",1.71
"97",1.72
"98",1.76
"99",1.72
"100",1.72
"101",1.73
"102",1.73
