"","x"
"1",116025
"2",117810
"3",116131
"4",116631
"5",117009
"6",120692
"7",121095
"8",120405
"9",119734
"10",118463
"11",119409
"12",119751
"13",120028
"14",121561
"15",120743
"16",118132
"17",118579
"18",118350
"19",119635
"20",120928
"21",121394
"22",121581
"23",121926
"24",121088
"25",119859
"26",119973
"27",120125
"28",119838
"29",120928
"30",121107
"31",121593
"32",122494
"33",122303
"34",127318
"35",126097
"36",128454
"37",127522
"38",129016
"39",129190
"40",130360
"41",129883
"42",130801
"43",131075
"44",130154
"45",130446
"46",130718
"47",131066
"48",132064
"49",131415
"50",132585
"51",133441
"52",132705
"53",133402
"54",132510
"55",134184
"56",135329
"57",133212
"58",132734
"59",133108
"60",133501
"61",135225
"62",133920
"63",133668
"64",134207
"65",134029
"66",133797
"67",133679
"68",135040
"69",135948
"70",137075
"71",136392
"72",138589
"73",138188
"74",138750
"75",140028
"76",139408
"77",139213
"78",139366
"79",137095
"80",136261
"81",136278
"82",133915
"83",135422
"84",133643
"85",133499
"86",133607
"87",135150
"88",136519
"89",136101
"90",136596
"91",137210
"92",137900
"93",136616
"94",136859
"95",137710
"96",136834
"97",136915
"98",136099
"99",138805
"100",139082
"101",140641
"102",140998
"103",138514
"104",139780
"105",139321
"106",140758
"107",139399
"108",138414
"109",138838
"110",138988
"111",138572
"112",138709
"113",138595
"114",139191
"115",137908
"116",138208
"117",135637
"118",136623
"119",132171
"120",132541
"121",132208
"122",131434
"123",130828
"124",128033
"125",127731
"126",129361
"127",131783
"128",133027
"129",133230
"130",135889
