"","x"
"1",1186
"2",1187
"3",1169
"4",1190
"5",1172
"6",1181
"7",1185
"8",1223
"9",1212
"10",1217
"11",1211
"12",1190
"13",1200
"14",1213
"15",1200
"16",1227
"17",1208
"18",1195
"19",1187
"20",1196
"21",1205
"22",1229
"23",1219
"24",1218
"25",1220
"26",1220
"27",1212
"28",1214
"29",1200
"30",1200
"31",1213
"32",1221
"33",1233
"34",1223
"35",1241
"36",1263
"37",1260
"38",1275
"39",1278
"40",1293
"41",1301
"42",1304
"43",1299
"44",1305
"45",1317
"46",1305
"47",1305
"48",1309
"49",1317
"50",1312
"51",1320
"52",1326
"53",1342
"54",1350
"55",1348
"56",1345
"57",1353
"58",1358
"59",1336
"60",1322
"61",1329
"62",1356
"63",1353
"64",1360
"65",1343
"66",1351
"67",1352
"68",1344
"69",1350
"70",1350
"71",1361
"72",1372
"73",1378
"74",1380
"75",1391
"76",1399
"77",1402
"78",1404
"79",1406
"80",1407
"81",1403
"82",1378
"83",1360
"84",1379
"85",1362
"86",1350
"87",1334
"88",1340
"89",1340
"90",1352
"91",1377
"92",1378
"93",1377
"94",1377
"95",1383
"96",1371
"97",1361
"98",1370
"99",1375
"100",1355
"101",1355
"102",1386
"103",1396
"104",1392
"105",1408
"106",1401
"107",1383
"108",1391
"109",1413
"110",1400
"111",1383
"112",1412
"113",1397
"114",1392
"115",1368
"116",1370
"117",1398
"118",1370
"119",1373
"120",1354
"121",1358
"122",1308
"123",1317
"124",1323
"125",1318
"126",1302
"127",1270
"128",1262
"129",1300
"130",1315
"131",1337
