"","x"
"1",107.94
"2",105.76
"3",105.22
"4",106.52
"5",106.81
"6",108.95
"7",109.05
"8",109.89
"9",109.92
"10",110.38
"11",111.14
"12",111.05
"13",110.7
"14",111.07
"15",112.1
"16",111.51
"17",113.44
"18",113.7
"19",113.61
"20",114.85
"21",114.07
"22",115.2
"23",114.16
"24",115.12
"25",114.37
"26",114.66
"27",115.72
"28",116.28
"29",117.95
"30",117.12
"31",117.9
"32",118.44
"33",116.72
"34",115.41
"35",115.41
"36",114.6
"37",116.47
"38",115.28
"39",115.04
"40",113.33
"41",113.98
"42",112.38
"43",112.35
"44",113.66
"45",112.5
"46",112.78
"47",111.13
"48",108.65
"49",106.9
"50",106.51
"51",107.78
"52",106.92
"53",105.62
"54",105.43
"55",102.26
"56",104.1
"57",104.31
"58",103.12
"59",102.31
"60",99.28
"61",99.19
"62",98.68
"63",98.22
"64",100.68
"65",102.09
"66",102.18
"67",102.68
"68",102.15
"69",102.15
"70",100.19
"71",101.2
"72",103.11
"73",104.08
"74",103.79
"75",102.84
"76",102.63
"77",101.54
"78",101.05
"79",100.55
"80",99.8
"81",103.43
"82",103.73
"83",104.4
"84",105.16
"85",105.64
"86",105.86
"87",106.29
"88",105.46
"89",105.58
"90",106.38
"91",106.25
"92",107.18
"93",106.13
"94",104.72
"95",104.78
"96",106.3
"97",106.85
"98",106.99
"99",107.35
"100",107.67
"101",107.62
"102",107.72
"103",109.01
"104",110.62
"105",110.62
"106",111.4
"107",112.06
"108",110.27
"109",111.24
"110",110.76
"111",110.51
"112",112.61
"113",112.78
"114",113.2
"115",113.71
"116",114.66
"117",116.02
"118",115.52
"119",115.81
"120",116.09
"121",116.03
"122",116.26
"123",114.66
"124",114.06
"125",114.51
"126",115.14
"127",116.72
"128",116.19
"129",116
"130",114.24
"131",114.93
"132",115.68
"133",117.46
"134",117.46
"135",118.29
"136",117.84
"137",117.98
"138",116.95
"139",117.84
"140",120.01
"141",119.3
"142",119.63
"143",121.44
"144",122.04
"145",122.51
"146",122.19
"147",121.93
"148",121.79
"149",120.78
"150",121.43
"151",122.4
"152",122.23
"153",121.67
"154",121.21
"155",120.98
"156",120.74
"157",121.55
"158",123.3
"159",123.61
"160",124.78
"161",123.79
"162",123.28
"163",125.25
"164",125.72
"165",123.39
"166",122.6
"167",123.77
"168",125.46
"169",126.02
"170",125.16
"171",124.84
"172",123.52
"173",122.08
"174",122.38
"175",122.38
"176",123.74
"177",126.12
"178",125.42
"179",124.88
"180",123.31
"181",124.07
"182",124.81
"183",125.66
"184",125.54
"185",125.67
"186",126.74
"187",128.87
"188",128.4
"189",129.25
"190",130.4
"191",129.43
"192",130.37
"193",128.72
"194",126.35
"195",123.54
"196",125.46
"197",127.13
"198",128.09
"199",129.33
"200",131.73
"201",131
"202",131.65
"203",131.04
"204",130.29
"205",132.03
"206",132.02
"207",133.7
"208",132.22
"209",131.52
"210",132.61
"211",131.84
"212",131.92
"213",129.53
"214",129.85
"215",127.88
"216",128.05
"217",127.91
"218",126.29
"219",127.47
"220",129.04
"221",129.04
"222",131.33
"223",128.91
"224",129.18
"225",129.48
"226",131.26
"227",134.59
"228",136.49
"229",137.15
"230",137.75
