"","x"
"1",64.37
"2",62.5
"3",63.5
"4",63.37
"5",63.12
"6",67.37
"7",65.37
"8",67.5
"9",67
"10",66.87
"11",70.12
"12",70
"13",69.25
"14",69.62
"15",69
"16",69
"17",71.25
"18",70.62
"19",70.12
"20",71
"21",70.37
"22",70.37
"23",68.62
"24",69.37
"25",69.12
"26",69.62
"27",68.37
"28",67.12
"29",67.25
"30",66.75
"31",68.87
"32",69.37
"33",68.12
"34",67.62
"35",67.62
"36",67
"37",67.25
"38",66.25
"39",66
"40",65.12
"41",65
"42",62
"43",63.37
"44",63.5
"45",62.75
"46",63.25
"47",62
"48",61.12
"49",61
"50",61.62
"51",62.25
"52",61.37
"53",60.12
"54",59.87
"55",59.12
"56",59.62
"57",58.87
"58",58.25
"59",56.75
"60",54.12
"61",54.75
"62",53
"63",57.5
"64",55.87
"65",55.75
"66",54.87
"67",55.5
"68",54.87
"69",54.87
"70",53.37
"71",53.5
"72",54.62
"73",54.25
"74",53.5
"75",53
"76",52
"77",51.12
"78",51.25
"79",51.25
"80",51.25
"81",53.87
"82",53.5
"83",53.75
"84",55.37
"85",54.5
"86",54.87
"87",54.87
"88",54.37
"89",54
"90",55.37
"91",54.87
"92",55.12
"93",53.87
"94",52.12
"95",52.25
"96",53.25
"97",53
"98",52.5
"99",53
"100",53.37
"101",52.75
"102",52.87
"103",53.75
"104",54.75
"105",54.75
"106",55.25
"107",56.37
"108",54.37
"109",55.37
"110",56
"111",56.37
"112",58.12
"113",57
"114",57.12
"115",56.75
"116",57.5
"117",58
"118",58
"119",58.87
"120",60.37
"121",58.87
"122",59.62
"123",57.87
"124",57.87
"125",58.87
"126",59.37
"127",59.75
"128",59.25
"129",59.75
"130",58.75
"131",59.5
"132",60.62
"133",61.12
"134",61.12
"135",62
"136",61.75
"137",61.5
"138",61.62
"139",62.75
"140",65
"141",63.75
"142",64.25
"143",65.62
"144",65.12
"145",66
"146",65.12
"147",64.87
"148",64.75
"149",64.37
"150",65
"151",65.12
"152",65.5
"153",65.25
"154",65.12
"155",64.75
"156",64.25
"157",65.62
"158",65.75
"159",65.25
"160",66.75
"161",66.75
"162",66.75
"163",68.87
"164",68.75
"165",66.37
"166",66
"167",66.87
"168",67.5
"169",67.37
"170",67.12
"171",66.75
"172",65.87
"173",65
"174",65.5
"175",65.5
"176",66.12
"177",67.5
"178",66.62
"179",66.5
"180",64.25
"181",66.12
"182",65.75
"183",66.37
"184",65.87
"185",66.12
"186",65.62
"187",67.25
"188",66.5
"189",67
"190",68.12
"191",66.87
"192",67.5
"193",66.12
"194",64.62
"195",63.75
"196",64.12
"197",65.62
"198",65.37
"199",66.25
"200",68
"201",67.75
"202",70
"203",70.12
"204",69.25
"205",70.5
"206",69.75
"207",70.37
"208",68.62
"209",68
"210",68.5
"211",68
"212",67.75
"213",65.87
"214",66.62
"215",66.12
"216",66.62
"217",65.5
"218",65.12
"219",66.62
"220",67.5
"221",67.5
"222",68.5
"223",66.5
"224",67.12
"225",67.25
"226",67.12
"227",70.87
"228",71.25
"229",71.62
"230",71.62
"231",72
"232",71.37
"233",72
"234",70.37
"235",70.37
"236",69.5
"237",68.75
"238",68.75
"239",68.12
"240",66.5
"241",67.87
"242",68
"243",68.37
"244",67.5
"245",66.37
"246",66.12
"247",63.75
"248",64.5
"249",65.75
"250",64.5
"251",66.25
"252",65.25
"253",63.62
"254",64.62
"255",67.12
"256",67.25
"257",68.5
"258",68.5
"259",69
"260",68
"261",68.62
"262",67.87
"263",67.87
"264",69.12
"265",70.25
"266",71.5
"267",69.5
"268",67.62
"269",67.37
"270",66.75
"271",66.5
"272",66.75
"273",65.75
"274",66.87
"275",66.62
"276",65
"277",65.12
"278",65.25
"279",65
"280",65
"281",65.5
"282",64.62
"283",64.87
"284",64.37
"285",63.37
"286",64.25
"287",64.5
"288",64
"289",64.25
"290",63.5
"291",63
"292",62.62
"293",61.75
"294",61.75
"295",61.75
"296",62
"297",62
"298",61.25
"299",60.5
"300",62
"301",62.12
"302",64.25
"303",64.75
"304",64.25
"305",63.62
"306",62.5
"307",61.87
"308",62
"309",61.87
"310",63
"311",62.5
"312",62.25
"313",64
"314",63.25
"315",64.62
"316",64.25
"317",64.75
"318",63.75
"319",63.12
"320",62.87
"321",62.25
"322",63.87
"323",63.12
"324",61.75
"325",61.5
"326",62.37
"327",63
"328",62.12
"329",61.12
"330",60.37
"331",60
"332",60
"333",61.75
"334",60.75
"335",60.12
"336",59.12
"337",59.62
"338",60
"339",60
"340",61.62
"341",60.5
"342",60.37
"343",60.37
"344",60.62
"345",61.12
"346",60.37
"347",59.62
"348",58.62
"349",59.12
"350",58.37
"351",57.75
"352",57.87
"353",57.37
"354",57.87
"355",56
"356",56.75
"357",56.75
"358",56.62
"359",56.37
"360",56.75
"361",56.62
"362",56.37
"363",55.62
"364",55.5
"365",55.5
"366",56.12
"367",57.87
"368",58
"369",58.75
"370",60.25
"371",59.87
"372",59.12
"373",58
"374",58.37
"375",58.25
"376",57.37
"377",57.75
"378",59
"379",59.37
"380",59.87
"381",58.87
"382",58.5
"383",57.62
"384",57.5
"385",58.12
"386",59.37
"387",59.5
"388",59
"389",58.75
"390",57.87
"391",57.87
"392",56.87
"393",56.87
"394",56.87
"395",57
"396",57
"397",56.62
"398",56.62
"399",56.37
"400",55.87
"401",56.87
"402",56.62
"403",56.62
"404",56.12
"405",55.37
"406",55.5
"407",55.12
"408",54.87
"409",55
"410",55.62
"411",55.37
"412",55.37
"413",56.37
"414",56.12
"415",56.5
"416",58.25
"417",58.37
"418",56.87
"419",57
"420",57.87
"421",58.75
"422",57.87
"423",58.25
"424",58
"425",56.75
"426",56.62
"427",57
"428",57.25
"429",56.87
"430",55.87
"431",55.87
"432",55.5
"433",55.25
"434",55.87
"435",55.12
"436",56
"437",55.75
"438",54.62
"439",54
"440",54
"441",54
"442",54.12
"443",54.75
