"","x"
"1",110.94
"2",110.69
"3",110.43
"4",110.56
"5",110.75
"6",110.84
"7",110.46
"8",110.56
"9",110.46
"10",110.05
"11",109.6
"12",109.31
"13",109.31
"14",109.25
"15",109.02
"16",108.54
"17",108.77
"18",109.02
"19",109.44
"20",109.38
"21",109.53
"22",109.89
"23",110.56
"24",110.56
"25",110.72
"26",111.23
"27",111.48
"28",111.58
"29",111.9
"30",112.19
"31",112.06
"32",111.96
"33",111.68
"34",111.36
"35",111.42
"36",112
"37",112.22
"38",112.7
"39",113.15
"40",114.36
"41",114.65
"42",115.06
"43",115.86
"44",116.4
"45",116.44
"46",116.88
"47",118.07
"48",118.51
"49",119.28
"50",119.79
"51",119.7
"52",119.28
"53",119.66
"54",120.14
"55",120.97
"56",121.13
"57",121.55
"58",121.96
"59",122.26
"60",123.79
"61",124.11
"62",124.14
"63",123.37
"64",123.02
"65",122.86
"66",123.02
"67",123.11
"68",123.05
"69",123.05
"70",122.83
"71",123.18
"72",122.67
"73",122.73
"74",122.86
"75",122.67
"76",122.09
"77",122
"78",121.23
