"","DowJones","AllOrdinaries"
"1",3651,1962.2
"2",3645,1977.1
"3",3626,1968.4
"4",3634,1952
"5",3620.5,1962.5
"6",3607,1967.8
"7",3589,1939.5
"8",3590,1931.4
"9",3622,1941.5
"10",3634,1938.3
"11",3616,1912.9
"12",3634,1903.6
"13",3631,1902.6
"14",3613,1925.5
"15",3576,1924.1
"16",3537,1925.2
"17",3547,1919.3
"18",3540,1928.6
"19",3543,1946.5
"20",3568,1943
"21",3566,1942.3
"22",3566,1951.4
"23",3555,1964.4
"24",3581,1972.7
"25",3578,1977
"26",3587,1998.5
"27",3599,2018.8
"28",3584,2022.5
"29",3585,2026.2
"30",3593,2039.8
"31",3593,2028
"32",3603,2038.6
"33",3622,2062
"34",3630,2074.1
"35",3642,2085.5
"36",3635,2075.5
"37",3645,2051.7
"38",3636,2060.4
"39",3649,2061.4
"40",3674,2046.9
"41",3672,2055.7
"42",3665,2068.3
"43",3688,2076.3
"44",3681,2112.2
"45",3693,2132.4
"46",3698,2125.3
"47",3662,2108.4
"48",3625,2101.6
"49",3643,2079.9
"50",3648,2054.2
"51",3640,2050.8
"52",3664,2042.9
"53",3662,2052.4
"54",3684,2074
"55",3678,2082.9
"56",3711,2083.8
"57",3704,2104.3
"58",3685,2108
"59",3694,2083.2
"60",3670,2049.3
"61",3674,2009.6
"62",3688,2032.4
"63",3686,2042
"64",3684,2043.1
"65",3678,2010.3
"66",3684,2009.4
"67",3697,2005.4
"68",3702,2047.3
"69",3704,2047.4
"70",3710,2053.7
"71",3719,2073.9
"72",3734,2096
"73",3730,2095.7
"74",3741,2084.9
"75",3764,2094.5
"76",3743,2086.6
"77",3717,2069.9
"78",3726,2074.8
"79",3752,2080.2
"80",3755,2076
"81",3745,2067
"82",3762,2053.2
"83",3758,2068.8
"84",3776,2089.2
"85",3794,2126.9
"86",3776,2154.5
"87",3757,2173.6
"88",3784,2174.3
"89",3799,2193.4
"90",3804,2200.3
"91",3821,2186
"92",3866,2198.6
"93",3850,2206.7
"94",3849,2195.6
"95",3842,2177.5
"96",3867,2206.4
"97",3870,2238.2
"98",3870,2232.1
"99",3884,2248.2
"100",3892,2266.2
"101",3914,2250.3
"102",3913,2224.5
"103",3895,2221.9
"104",3926,2250.7
"105",3945,2259.9
"106",3978,2310.8
"107",3964,2310.1
"108",3976,2312.1
"109",3968,2340.6
"110",3871,2332.8
"111",3906,2281.1
"112",3906,2305.4
"113",3932,2270.9
"114",3895,2234.3
"115",3895,2241.4
"116",3904,2238.6
"117",3928,2234
"118",3937,2249
"119",3923,2240.9
"120",3888,2223.2
"121",3900,2178.5
"122",3912,2202.5
"123",3892,2218.9
"124",3840,2197
"125",3839,2148.8
"126",3832,2180.1
"127",3809,2181.7
"128",3832,2154
"129",3824,2151.4
"130",3832,2116.8
"131",3856,2144.7
"132",3852,2171.7
"133",3853,2146.8
"134",3831,2155.1
"135",3863,2153.1
"136",3863,2179.3
"137",3850,2172.5
"138",3848,2173.5
"139",3865,2164.4
"140",3896,2163.5
"141",3865,2140.5
"142",3863,2140.8
"143",3869,2180.9
"144",3821,2169.8
"145",3775,2151.6
"146",3762,2108.9
"147",3699,2100.8
"148",3627,2092.4
"149",3636,2053.1
"150",3675,2050
"151",3680,2084.1
"152",3693,2087.4
"153",3674,2082
"154",3689,2076
"155",3682,2095.1
"156",3662,2114.7
"157",3663,2095
"158",3662,2080.6
"159",3620,2095.9
"160",3620,2061.4
"161",3599,2046.6
"162",3653,2029.6
"163",3649,2042.5
"164",3700,2069.4
"165",3684,2059.7
"166",3668,2069.1
"167",3682,2066.1
"168",3701,2047.9
"169",3714,2044.2
"170",3698,2018.4
"171",3696,1988.1
"172",3670,2004.3
"173",3629,2009.3
"174",3656,2008.2
"175",3629,2034.6
"176",3653,2041.4
"177",3660,2070
"178",3672,2110.9
"179",3721,2096
"180",3733,2107.8
"181",3759,2093.7
"182",3766,2103.9
"183",3742,2121
"184",3745,2132.4
"185",3755,2105.9
"186",3754,2096.9
"187",3757,2102.2
"188",3757.5,2091.8
"189",3758,2081.8
"190",3761,2097.2
"191",3759,2077
"192",3772,2078.6
"193",3768,2072.5
"194",3756,2070.2
"195",3749,2079.7
"196",3753,2076.7
"197",3773,2069.4
"198",3815,2076.6
"199",3790,2074.4
"200",3811,2056
"201",3777,2051.2
"202",3742,2024.4
"203",3708,1993.6
"204",3725,2010.9
"205",3699,2022.5
"206",3637,2017.9
"207",3686,1957.4
"208",3670,1974.4
"209",3667,1975.1
"210",3625,1989.1
"211",3647,1965.8
"212",3649.5,1987.1
"213",3652,2003.4
"214",3674,1991.2
"215",3688,1962.2
"216",3709,1964.9
"217",3703,1961.2
"218",3703,1972.9
"219",3704,1978.6
"220",3739,2007.7
"221",3754,2058
"222",3755,2072.3
"223",3748,2077.4
"224",3727,2078.6
"225",3732,2049.2
"226",3735,2052.5
"227",3742,2048.3
"228",3736,2041.3
"229",3720,2041.7
"230",3731,2042.1
"231",3764,2061.5
"232",3798,2082.1
"233",3796,2086.9
"234",3793,2072.3
"235",3766,2083.5
"236",3747,2091.9
"237",3754,2081.1
"238",3756,2086.8
"239",3767,2076.5
"240",3751,2062.8
"241",3769,2052
"242",3760,2055.9
"243",3785,2040
"244",3776,2059.5
"245",3755,2066.8
