"","x"
"1",1.1138
"2",1.1091
"3",1.1094
"4",1.1158
"5",1.1161
"6",1.1182
"7",1.1185
"8",1.1209
"9",1.1207
"10",1.1206
"11",1.1186
"12",1.1159
"13",1.1134
"14",1.11
"15",1.1118
"16",1.1131
"17",1.1131
"18",1.1146
"19",1.1257
"20",1.1262
"21",1.1257
"22",1.1267
"23",1.1261
"24",1.1266
"25",1.1264
"26",1.1505
"27",1.157
"28",1.1614
"29",1.1615
"30",1.191
"31",1.191
"32",1.191
"33",1.191
"34",1.191
"35",1.191
"36",1.191
"37",1.191
"38",1.191
"39",1.191
"40",1.191
"41",1.191
"42",1.275
"43",1.275
"44",1.4167
"45",1.4167
"46",1.4167
"47",1.4167
"48",1.4167
"49",1.4167
"50",1.4167
"51",1.4875
"52",1.4875
"53",1.4875
"54",1.4875
"55",1.4875
"56",1.4875
"57",1.4875
"58",1.4875
"59",1.4875
"60",1.4875
"61",1.4875
"62",1.4875
"63",1.3103
"64",1.3105
"65",1.3162
"66",1.327
"67",1.3384
"68",1.3666
"69",1.3537
"70",1.341
"71",1.3432
"72",1.3258
"73",1.2977
"74",1.2794
"75",1.256
"76",1.271
"77",1.2594
"78",1.2571
"79",1.2588
"80",1.2607
"81",1.2486
"82",1.239
"83",1.2271
"84",1.2356
"85",1.2407
"86",1.2462
"87",1.2373
"88",1.2261
"89",1.0123
"90",1.0864
"91",1.087
"92",1.0967
"93",1.1031
"94",1.1045
"95",1.1039
"96",1.1155
"97",1.1225
"98",1.1051
"99",1.1076
"100",1.1236
"101",1.1274
"102",1.1414
"103",1.1382
"104",1.1365
"105",1.1431
"106",1.1362
"107",1.1302
"108",1.1475
"109",1.1551
"110",1.1521
"111",1.1566
"112",1.1891
"113",1.1363
"114",1.1505
"115",1.1334
"116",1.1283
"117",1.1182
"118",1.1024
"119",1.1048
"120",1.1211
"121",1.1302
"122",1.1284
"123",1.1298
"124",1.0974
"125",1.0942
"126",1.1055
"127",1.1069
"128",1.0987
"129",1.0831
"130",1.1145
"131",1.1426
"132",1.1576
"133",1.1525
"134",1.1656
"135",1.169
"136",1.1726
"137",1.1643
"138",1.1807
"139",1.1707
"140",1.1566
"141",1.1684
"142",1.1505
"143",1.1385
"144",1.148
"145",1.1356
"146",1.1508
"147",1.1414
"148",1.135
"149",1.1514
"150",1.1279
"151",1.0994
"152",1.074
"153",1.0503
"154",1.0608
"155",1.0482
"156",1.0223
"157",0.9958
"158",0.9643
"159",0.9493
"160",0.9367
"161",0.9548
"162",0.9806
"163",0.9718
"164",0.9606
"165",0.8629
"166",0.868
"167",0.882
"168",0.8745
"169",0.881
"170",0.8785
"171",0.8965
"172",0.916
"173",0.9128
"174",0.902
"175",0.9178
"176",0.9429
"177",0.935
"178",0.9201
"179",0.8992
"180",0.8613
"181",0.83
"182",0.8488
"183",0.833
"184",0.8487
"185",0.8596
"186",0.8278
"187",0.815
"188",0.7138
"189",0.7051
"190",0.6523
"191",0.658
"192",0.6655
"193",0.7271
"194",0.7034
"195",0.7077
"196",0.7002
"197",0.685
"198",0.6809
"199",0.7155
"200",0.7012
"201",0.7119
"202",0.7391
"203",0.7166
"204",0.6772
"205",0.598
"206",0.6085
"207",0.6274
"208",0.642
"209",0.6488
"210",0.6648
"211",0.6608
"212",0.6748
"213",0.7053
"214",0.7048
"215",0.7137
"216",0.7203
"217",0.6978
"218",0.7124
"219",0.7194
"220",0.6757
"221",0.7052
"222",0.7225
"223",0.7138
"224",0.7198
"225",0.7388
"226",0.7585
"227",0.8051
"228",0.794
"229",0.8045
"230",0.8069
"231",0.7829
"232",0.8256
"233",0.8781
"234",0.8555
"235",0.889
"236",0.7996
"237",0.8194
"238",0.7928
"239",0.7484
"240",0.7553
"241",0.7524
"242",0.7656
"243",0.7764
"244",0.7831
"245",0.7815
"246",0.7927
"247",0.7708
"248",0.7594
"249",0.7542
"250",0.7509
"251",0.7691
"252",0.789
"253",0.7901
"254",0.8162
"255",0.8265
"256",0.7847
"257",0.7745
"258",0.7733
"259",0.7849
"260",0.7851
"261",0.7752
"262",0.7817
"263",0.7609
"264",0.7681
"265",0.7775
"266",0.7848
"267",0.7995
"268",0.7837
"269",0.7848
"270",0.7598
"271",0.7498
"272",0.7546
"273",0.7684
"274",0.7593
"275",0.7589
"276",0.7488
"277",0.7442
"278",0.7134
"279",0.714
"280",0.6954
"281",0.6823
"282",0.688
"283",0.6786
"284",0.6957
"285",0.7058
"286",0.7116
"287",0.6769
"288",0.6722
"289",0.6834
"290",0.6708
"291",0.6453
"292",0.6661
"293",0.6568
"294",0.6771
"295",0.7112
"296",0.7178
"297",0.7008
"298",0.7124
"299",0.7361
"300",0.7291
"301",0.7393
"302",0.7425
"303",0.7393
"304",0.7422
"305",0.7674
"306",0.7768
"307",0.7583
"308",0.7395
"309",0.728
"310",0.7299
"311",0.7138
"312",0.7086
"313",0.7389
"314",0.7524
