"","x"
"1",323.8
"2",314.1
"3",321
"4",312.9
"5",323.7
"6",349.3
"7",310.4
"8",295.8
"9",301.2
"10",285.8
"11",271.7
"12",283.6
"13",295.7
"14",309.3
"15",295.7
"16",342
"17",335.1
"18",344.4
"19",360.9
"20",346.5
"21",340.6
"22",340.3
"23",323.3
"24",345.6
"25",349.3
"26",359.7
"27",320
"28",299.9
"29",318.5
"30",343.1
"31",360.8
"32",397.8
"33",409.1
"34",461.1
"35",491.4
"36",490.5
"37",491
"38",433
"39",378
"40",382.6
"41",403.4
"42",354.7
"43",343
"44",345.4
"45",330.4
"46",372.8
"47",409.2
"48",427.6
