"","x"
"1",91.91
"2",91.68
"3",91.57
"4",91.43
"5",91.5
"6",91.18
"7",91.05
"8",91.17
"9",91.15
"10",91.13
"11",91.27
"12",91.15
"13",90.88
"14",90.82
"15",90.89
"16",90.92
"17",90.83
"18",90.55
"19",90.34
"20",90.18
"21",90.22
"22",89.86
"23",89.6
"24",89.51
"25",89.3
"26",89.16
"27",89.31
"28",89.75
"29",89.75
"30",89.68
"31",89.6
"32",89.31
"33",89.42
"34",89.61
"35",89.45
"36",89.11
"37",88.72
"38",88.77
"39",88.91
"40",88.82
"41",89.12
"42",88.69
"43",88.56
"44",88.75
"45",88.64
"46",87.95
"47",87.91
"48",88.25
"49",88.3
"50",88.22
"51",88.78
"52",89.38
"53",89.37
"54",89.22
"55",89.46
"56",89.45
"57",89.38
"58",89.68
"59",89.72
"60",89.79
"61",89.39
"62",89.15
"63",89.23
"64",89.06
"65",88.8
"66",88.64
"67",88.18
"68",87.8
"69",87.92
"70",87.53
"71",87.6
"72",87.19
"73",87.67
"74",87.07
"75",87.48
"76",87.7
"77",87.9
"78",88.15
"79",87.99
"80",87.88
"81",87.18
"82",87.47
"83",87.62
"84",87.5
"85",87.1
"86",87.16
"87",87.38
"88",87.18
"89",87.07
"90",86.87
"91",86.66
"92",86.79
"93",86.88
"94",86.6
"95",86.42
"96",85.9
"97",85.61
"98",84.75
"99",85.32
"100",85.54
