"","x"
"1",445
"2",448
"3",450
"4",447
"5",451
"6",453
"7",454
"8",454
"9",459
"10",440
"11",446
"12",443
"13",443
"14",440
"15",439
"16",435
"17",435
"18",436
"19",435
"20",435
"21",435
"22",433
"23",429
"24",428
"25",425
"26",427
"27",425
"28",422
"29",409
"30",407
"31",423
"32",422
"33",417
"34",421
"35",424
"36",414
"37",419
"38",429
"39",426
"40",425
"41",424
"42",425
"43",425
"44",424
"45",425
"46",421
"47",414
"48",410
"49",411
"50",406
"51",406
"52",413
"53",411
"54",410
"55",405
"56",409
"57",410
"58",405
"59",401
"60",401
"61",401
"62",414
"63",419
"64",425
"65",423
"66",411
"67",414
"68",420
"69",412
"70",415
"71",412
"72",412
"73",411
"74",412
"75",409
"76",407
"77",408
"78",415
"79",413
"80",413
"81",410
"82",405
"83",410
"84",412
"85",413
"86",411
"87",411
"88",409
"89",406
"90",407
"91",410
"92",408
"93",408
"94",409
"95",410
"96",409
"97",405
"98",406
"99",405
"100",407
"101",409
"102",407
"103",409
"104",425
"105",425
"106",428
"107",436
"108",442
"109",442
"110",433
"111",435
"112",433
"113",435
"114",429
"115",439
"116",437
"117",439
"118",438
"119",435
"120",433
"121",437
"122",437
"123",444
"124",441
"125",440
"126",441
"127",439
"128",439
"129",438
"130",437
"131",441
"132",442
"133",441
"134",437
"135",427
"136",423
"137",424
"138",428
"139",428
"140",431
"141",425
"142",423
"143",420
"144",426
"145",418
"146",416
"147",419
"148",418
"149",416
"150",419
"151",425
"152",421
"153",422
"154",422
"155",417
"156",420
"157",417
"158",418
"159",419
"160",419
"161",417
"162",419
"163",422
"164",423
"165",422
"166",421
"167",421
"168",419
"169",418
"170",421
"171",420
"172",413
"173",413
"174",408
"175",409
"176",415
"177",415
"178",420
"179",420
"180",424
"181",426
"182",423
"183",423
"184",425
"185",431
"186",436
"187",436
"188",440
"189",436
"190",443
"191",445
"192",439
"193",443
"194",445
"195",450
"196",461
"197",471
"198",467
"199",462
"200",456
"201",464
"202",463
"203",465
"204",464
"205",456
"206",460
"207",458
"208",453
"209",453
"210",449
"211",447
"212",453
"213",450
"214",459
"215",457
"216",453
"217",455
"218",453
"219",450
"220",456
"221",461
"222",463
"223",463
"224",461
"225",465
"226",473
"227",473
"228",475
"229",499
"230",485
"231",491
"232",496
"233",504
"234",504
"235",509
"236",511
"237",524
"238",525
"239",541
"240",531
"241",529
"242",530
"243",531
"244",527
"245",525
"246",519
"247",514
"248",509
"249",505
"250",513
"251",525
"252",519
"253",519
"254",522
"255",522
