"","x"
"1",304
"2",303
"3",307
"4",299
"5",296
"6",293
"7",301
"8",293
"9",301
"10",295
"11",284
"12",286
"13",286
"14",287
"15",284
"16",282
"17",278
"18",281
"19",278
"20",277
"21",279
"22",278
"23",270
"24",268
"25",272
"26",273
"27",279
"28",279
"29",280
"30",275
"31",271
"32",277
"33",278
"34",279
"35",283
"36",284
"37",282
"38",283
"39",279
"40",280
"41",280
"42",279
"43",278
"44",283
"45",278
"46",270
"47",275
"48",273
"49",273
"50",272
"51",275
"52",273
"53",273
"54",272
"55",273
"56",272
"57",273
"58",271
"59",272
"60",271
"61",273
"62",277
"63",274
"64",274
"65",272
"66",280
"67",282
"68",292
"69",295
"70",295
"71",294
"72",290
"73",291
"74",288
"75",288
"76",290
"77",293
"78",288
"79",289
"80",291
"81",293
"82",293
"83",290
"84",288
"85",287
"86",289
"87",292
"88",288
"89",288
"90",285
"91",282
"92",286
"93",286
"94",287
"95",284
"96",283
"97",286
"98",282
"99",287
"100",286
"101",287
"102",292
"103",292
"104",294
"105",291
"106",288
"107",289
