"","x"
"1",24.858
"2",24.501
"3",23.675
"4",24
"5",22.54
"6",22.204
"7",21.697
"8",21.759
"9",22.449
"10",23.262
"11",24.317
"12",24.154
"13",24.971
"14",25.22
"15",25.53
"16",26.064
"17",26.698
"18",27.839
"19",27.645
"20",28.596
"21",29.392
"22",29.058
"23",30.261
"24",30.137
"25",30.732
"26",32.129
"27",35.964
"28",44.675
"29",50.329
"30",57.377
"31",65.357
"32",54.46
"33",50.068
"34",51.296
"35",51.178
"36",51.895
"37",51.053
"38",50
"39",50.812
"40",50.639
"41",49.264
"42",44.773
"43",40.222
"44",39.293
"45",42.191
"46",42.596
"47",42.746
"48",44.488
"49",43.909
"50",43.219
"51",43.882
"52",47.213
"53",53.022
"54",56.838
"55",58.151
"56",59.657
"57",66.699
"58",74.637
"59",79.58
"60",79.142
"61",80.158
"62",85.655
"63",87.446
"64",88.324
"65",89.631
"66",90.868
"67",93.97
"68",97.481
"69",100
"70",101.64
"71",103.28
"72",104.61
"73",105.76
"74",107.17
"75",108.83
"76",110.86
"77",113.95
"78",117.58
"79",122.3
"80",128.21
"81",135.24
"82",141.35
"83",146.12
"84",154.3
"85",170.17
