"","x"
"1",91.56
"2",91.53
"3",91.35
"4",91.26
"5",91.14
"6",90.85
"7",90.75
"8",90.76
"9",90.97
"10",90.98
"11",91.09
"12",90.9
"13",90.71
"14",90.56
"15",90.68
"16",90.76
"17",90.7
"18",90.2
"19",90.08
"20",90.01
"21",89.56
"22",89.64
"23",89.38
"24",89.33
"25",89.14
"26",88.67
"27",88.5
"28",89.18
"29",89.46
"30",89.42
"31",89.18
"32",89.1
"33",89.11
"34",89.27
"35",89.15
"36",88.84
"37",88.47
"38",88.42
"39",88.6
"40",88.52
"41",88.8
"42",88.47
"43",88.34
"44",88.51
"45",88.12
"46",87.73
"47",87.62
"48",87.91
"49",88.02
"50",87.95
"51",88.18
"52",88.9
"53",89.12
"54",88.91
"55",89.2
"56",89.25
"57",89.16
"58",89.27
"59",89.43
"60",89.38
"61",88.95
"62",88.83
"63",88.95
"64",88.54
"65",88.42
"66",88.4
"67",87.92
"68",87.55
"69",87.5
"70",87.34
"71",87.26
"72",87
"73",86.77
"74",86.61
"75",86.85
"76",87.25
"77",87.6
"78",87.77
"79",87.8
"80",87.37
"81",86.83
"82",86.98
"83",87.28
"84",87.2
"85",86.8
"86",86.68
"87",87
"88",86.87
"89",86.7
"90",86.33
"91",86.22
"92",86.45
"93",86.55
"94",86.33
"95",86
"96",85.42
"97",85
"98",84.42
"99",84.48
"100",85.08
