"","x"
"1",143.1
"2",140.3
"3",139.4
"4",140.7
"5",139.6
"6",140.4
"7",141.2
"8",140.9
"9",141.3
"10",141.7
"11",142.8
"12",144.7
"13",144.4
"14",140.9
"15",139.5
"16",140.8
"17",138.7
"18",139
"19",140
"20",140.4
"21",141.6
"22",142.3
"23",143.4
"24",145.7
"25",145.7
"26",142.8
"27",141.8
"28",143.5
"29",141.8
"30",142.4
"31",142.8
"32",142.7
"33",144.3
"34",145.7
"35",147.6
"36",150.5
"37",150.2
"38",146.9
"39",146
"40",148
"41",145.8
"42",146.2
"43",146.4
"44",145.8
"45",146.9
"46",148.4
"47",150.2
"48",153.3
"49",153.6
"50",150.1
"51",149.3
"52",151.5
"53",149.3
"54",151.4
"55",151.3
"56",150.9
"57",152.5
"58",154.4
"59",156.7
"60",159
"61",159.4
"62",155.4
"63",154.6
"64",156.8
"65",154.2
"66",155.5
"67",157.1
"68",157
"69",159.4
"70",161.3
"71",163.1
"72",166.4
"73",166.9
"74",161.9
"75",161.5
"76",164.2
"77",160.3
"78",162.2
"79",163.5
"80",162.8
"81",165.6
"82",168.2
"83",169.9
"84",174.4
"85",175.6
"86",170.3
"87",170.4
"88",174.1
"89",169.6
"90",171.7
"91",171
"92",170
"93",172.7
"94",173.4
"95",174.6
"96",178.6
"97",178.4
"98",173.4
"99",174.6
"100",176.6
"101",174.1
"102",177.4
"103",179.1
"104",179
"105",181.7
"106",183.9
"107",185.7
"108",190.3
"109",189
"110",184.9
"111",185.4
"112",189.3
"113",186.5
"114",190.2
"115",191.9
"116",191.4
"117",193.9
"118",196.3
"119",199.6
"120",204.8
"121",205.9
"122",199.3
"123",199.8
"124",203.6
"125",199.4
"126",202.3
"127",203.3
"128",201.5
"129",203.2
"130",205
"131",207
"132",211.4
"133",212.9
"134",204
"135",205.5
"136",210.1
"137",206.2
"138",208.9
"139",210.1
"140",210
"141",212.8
"142",214.4
"143",216.7
"144",222.2
"145",222.6
"146",216.6
"147",218.6
"148",223.7
"149",221.1
"150",225.2
"151",227.5
"152",225.9
"153",227.7
"154",229.1
"155",231.2
"156",236.9
"157",237.5
"158",231.4
"159",234.2
"160",239.5
"161",234.7
"162",238.8
"163",241.8
"164",241.3
"165",244.5
"166",247
"167",250.5
"168",258.9
"169",259.4
"170",251.2
"171",251.6
"172",257
"173",253.6
"174",259.3
"175",261.1
"176",258.6
"177",259.5
"178",261.4
"179",265.6
"180",273.3
"181",271.8
"182",264.1
"183",266.5
"184",271.6
"185",266.3
"186",271.5
"187",273.5
"188",271
"189",272.6
"190",274.8
"191",278.8
"192",285.2
"193",281.8
"194",273.3
"195",276.4
"196",281.4
"197",278.1
"198",286
"199",288
"200",286.3
"201",287.8
"202",288.5
"203",293.5
"204",299
"205",296.8
"206",289
"207",291.4
"208",299.9
"209",295.1
"210",299.4
"211",302.3
"212",301
"213",302.5
"214",307
"215",309.7
"216",318.6
"217",317.7
"218",309
"219",312.2
"220",322.7
"221",315.6
"222",321.7
"223",326.3
"224",324.3
"225",327.7
"226",332
"227",335.4
"228",344.1
"229",343.4
"230",332
"231",334.9
"232",347.5
"233",342.4
"234",349.4
"235",353.9
"236",351.7
"237",357
"238",359.4
"239",362.9
"240",372.5
"241",367.8
"242",356.4
"243",360.8
"244",376.2
"245",367.1
"246",376.7
"247",383.3
"248",381.9
"249",385.6
"250",387.7
"251",389.8
"252",398.6
"253",390.7
"254",380.9
"255",382.4
"256",387.1
"257",377.8
"258",387.6
"259",394.8
"260",398.5
"261",404.9
"262",411
"263",416.1
"264",419.8
"265",416.5
"266",405.7
"267",412.5
"268",431.3
"269",418.6
"270",423
"271",427.9
"272",426.1
"273",427.3
"274",429.8
"275",435.2
"276",447.2
"277",448.7
"278",432.6
"279",435.8
"280",451.3
"281",441.1
"282",446.5
"283",449.6
"284",450
"285",456.4
"286",466
"287",474.5
"288",486
"289",483
"290",474.2
"291",482.9
"292",498.7
"293",494.1
"294",503.7
"295",510.7
"296",508.5
"297",511.5
"298",517.4
"299",522.1
"300",533.4
"301",530.4
"302",517.6
"303",524.2
"304",539.2
"305",530.8
"306",541.4
"307",543.3
"308",539
"309",542.5
"310",542.1
"311",549.6
"312",564.5
"313",561.1
"314",551.9
"315",558.3
"316",575
"317",569.4
"318",585.2
"319",592
"320",594.8
"321",602.2
"322",605.5
"323",615.1
"324",633.5
"325",626.8
"326",613.1
"327",624.6
"328",647.2
"329",645.7
"330",663.5
"331",674
"332",679.1
"333",685.2
"334",692.8
"335",709.5
"336",740.6
"337",737.5
"338",717.1
"339",723.5
"340",752.5
"341",739.9
"342",744.4
"343",746.8
"344",745
"345",745.2
"346",753.7
"347",756
"348",765.9
"349",764.7
"350",745
"351",752.1
"352",778.3
"353",763.8
"354",778.8
"355",785.6
"356",781.3
"357",780
"358",780.8
"359",787.1
"360",803.2
"361",793
"362",772.3
"363",775.2
"364",791.3
"365",767.2
"366",773.8
"367",781.7
"368",777.4
"369",778.5
"370",784.5
"371",791.4
"372",811.9
"373",802.4
"374",788.3
"375",796.2
"376",818
"377",797.3
"378",810.8
"379",812.9
"380",814.5
"381",818.9
"382",817.6
"383",826.1
"384",844.3
"385",833.2
"386",823.4
"387",835
"388",852.9
"389",841.9
"390",857.8
"391",861.9
"392",864.2
"393",867.3
"394",875
"395",893.4
"396",916.8
"397",918.1
"398",916.5
