"","x"
"1",3.6
"2",3.92
"3",4.08
"4",4.43
"5",4.26
"6",4.28
"7",4.43
"8",4.35
"9",4.64
"10",5.26
"11",6.09
"12",6.6
"13",7.48
"14",8.17
"15",8.68
"16",9.24
"17",10.24
"18",11.08
"19",11.6
"20",11.44
"21",12.68
"22",13.34
"23",14.12
"24",15.13
"25",15.73
"26",16.39
"27",17.59
"28",20.85
"29",24.37
"30",26.73
"31",31.01
"32",34.8
"33",32.85
"34",33.72
"35",36.6
"36",38.58
"37",42.05
"38",43.68
"39",44.73
"40",46.42
"41",46.6
"42",45.73
"43",42.69
"44",36.05
"45",32.22
"46",34.36
"47",39.07
"48",43.48
"49",45.68
"50",45.51
"51",49.27
"52",55.2
"53",62.51
"54",71.16
"55",89.91
"56",106.8
"57",126.6
"58",138.7
"59",146
"60",148.1
"61",147.5
"62",150.8
"63",156.4
"64",164.9
"65",171.2
"66",177.2
"67",183.7
"68",186.9
"69",191.8
"70",201.1
"71",210.1
"72",210.7
"73",221.2
"74",233.9
"75",249.1
"76",264.7
"77",285.9
"78",308
"79",331.8
"80",361.6
"81",385.2
"82",401.3
