"","x"
"1",3645
"2",3626
"3",3634
"4",3620.5
"5",3607
"6",3589
"7",3590
"8",3622
"9",3634
"10",3616
"11",3634
"12",3631
"13",3613
"14",3576
"15",3537
"16",3547
"17",3540
"18",3543
"19",3568
"20",3566
"21",3566
"22",3555
"23",3581
"24",3578
"25",3587
"26",3599
"27",3584
"28",3585
"29",3593
"30",3593
"31",3603
"32",3622
"33",3630
"34",3642
"35",3635
"36",3645
"37",3636
"38",3649
"39",3674
"40",3672
"41",3665
"42",3688
"43",3681
"44",3693
"45",3698
"46",3662
"47",3625
"48",3643
"49",3648
"50",3640
"51",3664
"52",3662
"53",3684
"54",3678
"55",3711
"56",3704
"57",3685
"58",3694
"59",3670
"60",3674
"61",3688
"62",3686
"63",3684
"64",3678
"65",3684
"66",3697
"67",3702
"68",3704
"69",3710
"70",3719
"71",3734
"72",3730
"73",3741
"74",3764
"75",3743
"76",3717
"77",3726
"78",3752
"79",3755
"80",3745
"81",3762
"82",3758
"83",3776
"84",3794
"85",3776
"86",3757
"87",3784
"88",3799
"89",3804
"90",3821
"91",3866
"92",3850
"93",3849
"94",3842
"95",3867
"96",3870
"97",3870
"98",3884
"99",3892
"100",3914
"101",3913
"102",3895
"103",3926
"104",3945
"105",3978
"106",3964
"107",3976
"108",3968
"109",3871
"110",3906
"111",3906
"112",3932
"113",3895
"114",3895
"115",3904
"116",3928
"117",3937
"118",3923
"119",3888
"120",3900
"121",3912
"122",3892
"123",3840
"124",3839
"125",3832
"126",3809
"127",3832
"128",3824
"129",3832
"130",3856
"131",3852
"132",3853
"133",3831
"134",3863
"135",3863
"136",3850
"137",3848
"138",3865
"139",3896
"140",3865
"141",3863
"142",3869
"143",3821
"144",3775
"145",3762
"146",3699
"147",3627
"148",3636
"149",3675
"150",3680
"151",3693
"152",3674
"153",3689
"154",3682
"155",3662
"156",3663
"157",3662
"158",3620
"159",3620
"160",3599
"161",3653
"162",3649
"163",3700
"164",3684
"165",3668
"166",3682
"167",3701
"168",3714
"169",3698
"170",3696
"171",3670
"172",3629
"173",3656
"174",3629
"175",3653
"176",3660
"177",3672
"178",3721
"179",3733
"180",3759
"181",3766
"182",3742
"183",3745
"184",3755
"185",3754
"186",3757
"187",3757.5
"188",3758
"189",3761
"190",3759
"191",3772
"192",3768
"193",3756
"194",3749
"195",3753
"196",3773
"197",3815
"198",3790
"199",3811
"200",3777
"201",3742
"202",3708
"203",3725
"204",3699
"205",3637
"206",3686
"207",3670
"208",3667
"209",3625
"210",3647
"211",3649.5
"212",3652
"213",3674
"214",3688
"215",3709
"216",3703
"217",3703
"218",3704
"219",3739
"220",3754
"221",3755
"222",3748
"223",3727
"224",3732
"225",3735
"226",3742
"227",3736
"228",3720
"229",3731
"230",3764
"231",3798
"232",3796
"233",3793
"234",3766
"235",3747
"236",3754
"237",3756
"238",3767
"239",3751
"240",3769
"241",3760
"242",3785
"243",3776
"244",3755
"245",3755
"246",3751
"247",3776
"248",3847
"249",3830
"250",3881
"251",3899
"252",3917
"253",3913
"254",3901
"255",3886
"256",3892.5
"257",3899
"258",3886
"259",3908
"260",3875
"261",3860
"262",3880
"263",3895
"264",3954
"265",3933
"266",3937
"267",3869
"268",3852
"269",3837
"270",3832
"271",3849
"272",3863
"273",3878
"274",3855
"275",3843
"276",3847
"277",3801
"278",3787
"279",3776
"280",3797
"281",3821
"282",3877
"283",3875
"284",3890
"285",3910
"286",3924
"287",3918
"288",3936
"289",3911
"290",3891
"291",3855
