"","x"
"1",4.94
"2",4.99
"3",5
"4",5.03
"5",5.03
"6",5.25
"7",5.26
"8",5.3
"9",5.45
"10",5.49
"11",5.52
"12",5.7
"13",5.68
"14",5.65
"15",5.8
"16",6.5
"17",6.45
"18",6.48
"19",6.45
"20",6.35
"21",6.4
"22",6.43
"23",6.43
"24",6.44
"25",6.45
"26",6.48
"27",6.4
"28",6.35
"29",6.4
"30",6.3
"31",6.32
"32",6.35
"33",6.13
"34",5.7
"35",5.58
"36",5.18
"37",5.18
"38",5.17
"39",5.15
"40",5.21
"41",5.23
"42",5.05
"43",4.65
"44",4.65
"45",4.6
"46",4.67
"47",4.69
"48",4.68
"49",4.62
"50",4.63
"51",4.9
"52",5.44
"53",5.56
"54",6.04
"55",6.06
"56",6.06
"57",8.07
"58",8.07
"59",8.1
"60",8.05
"61",8.06
"62",8.07
"63",8.06
"64",8.11
"65",8.6
"66",10.8
"67",11
"68",11
"69",11
"70",9.48
"71",9.18
"72",8.62
"73",8.3
"74",8.47
"75",8.44
"76",8.44
"77",8.46
"78",8.49
"79",8.54
"80",8.54
"81",8.5
"82",8.44
"83",8.49
"84",8.4
"85",8.46
"86",8.5
"87",8.5
"88",8.47
"89",8.47
"90",8.47
"91",8.48
"92",8.48
"93",8.54
"94",8.56
"95",8.39
"96",8.89
"97",9.91
"98",9.89
"99",9.91
"100",9.91
"101",9.9
"102",9.88
"103",9.86
"104",9.86
"105",9.74
"106",9.42
"107",9.27
"108",9.26
"109",8.99
"110",8.83
"111",8.83
"112",8.83
"113",8.82
"114",8.83
"115",8.83
"116",8.79
"117",8.79
"118",8.69
"119",8.66
"120",8.67
"121",8.72
"122",8.77
"123",9
"124",9.61
"125",9.7
"126",9.94
"127",9.94
"128",9.94
"129",9.95
"130",9.94
"131",9.96
"132",9.97
"133",10.83
"134",10.75
"135",11.2
"136",11.4
"137",11.54
"138",11.5
"139",11.34
"140",11.5
"141",11.5
"142",11.58
"143",12.42
"144",12.85
"145",13.1
"146",13.12
"147",13.1
"148",13.15
"149",13.1
"150",13.2
"151",14.2
"152",14.75
"153",14.6
"154",14.6
"155",14.45
"156",14.5
"157",14.8
"158",15.85
"159",16.2
"160",16.5
"161",16.4
"162",16.4
"163",16.35
"164",16.1
"165",13.7
"166",13.5
"167",14
"168",12.3
"169",12
"170",14.35
"171",14.6
"172",12.5
"173",12.75
"174",13.7
"175",13.45
"176",13.55
"177",12.6
"178",12
"179",11
"180",11.6
"181",12.05
"182",12.35
"183",12.7
"184",12.45
"185",12.55
"186",12.2
"187",12.1
"188",11.15
"189",11.85
"190",12.1
"191",12.5
"192",12.9
"193",12.5
"194",13.2
"195",13.65
"196",13.65
"197",13.5
"198",13.45
"199",13.35
"200",14.45
"201",14.3
"202",15.05
"203",15.55
"204",15.65
"205",14.65
"206",14.15
"207",13.3
"208",12.65
"209",12.7
"210",12.8
"211",14.5
"212",15.1
"213",15.15
"214",14.3
"215",14.25
"216",14.05
"217",14.7
"218",15.05
"219",14.05
"220",13.8
"221",13.25
"222",13
"223",12.85
"224",12.6
"225",11.8
"226",13
"227",12.35
"228",11.45
"229",11.35
"230",11.55
"231",10.85
"232",10.9
"233",12.3
"234",11.7
"235",12.05
"236",12.3
"237",12.9
"238",13.05
"239",13.3
"240",13.85
"241",14.65
"242",15.05
"243",15.15
"244",14.85
"245",15.7
"246",15.4
"247",15.1
"248",14.8
"249",15.8
"250",15.8
"251",15
"252",14.4
"253",13.8
"254",14.3
"255",14.15
"256",14.45
"257",14.1
"258",14.05
"259",13.75
"260",13.3
"261",13
"262",12.55
"263",12.25
"264",11.85
"265",11.5
"266",11.1
"267",11.15
"268",10.7
"269",10.25
"270",10.55
"271",10.25
"272",10.3
"273",9.6
"274",8.4
"275",8.2
"276",7.25
"277",8.35
"278",8.25
"279",8.3
"280",7.4
"281",7.15
"282",6.35
"283",5.65
"284",7.4
"285",7.2
"286",7.05
"287",7.1
"288",6.85
"289",6.5
"290",6.25
"291",5.95
"292",5.65
"293",5.85
"294",5.45
"295",5.3
"296",5.2
"297",5.55
"298",5.15
"299",5.4
"300",5.35
"301",5.1
"302",5.8
"303",6.35
"304",6.5
"305",6.95
"306",8.05
"307",7.85
"308",7.75
"309",8.6
