"","x"
"1",639
"2",643
"3",640
"4",653
"5",667
"6",667
"7",663
"8",654
"9",649
"10",651
"11",659
"12",672
"13",670
"14",675
"15",692
"16",702
"17",706
"18",710
"19",722
"20",729
"21",740
"22",755
"23",763
"24",788
"25",818
"26",826
"27",821
"28",819
"29",827
"30",848
"31",881
"32",879
"33",878
"34",878
"35",868
"36",856
"37",844
"38",824
"39",820
"40",819
"41",813
"42",815
"43",822
"44",818
"45",815
"46",792
"47",769
"48",775
"49",771
"50",773
"51",780
"52",779
"53",774
"54",772
"55",775
"56",770
"57",766
"58",771
"59",773
"60",772
"61",767
"62",775
"63",777
"64",777
"65",776
"66",779
"67",787
"68",790
"69",791
"70",792
"71",802
"72",799
"73",792
"74",780
"75",790
"76",799
"77",810
"78",814
"79",828
"80",862
"81",874
"82",892
"83",872
"84",869
"85",870
"86",859
"87",857
"88",870
"89",867
"90",856
"91",854
"92",862
"93",861
"94",855
"95",846
"96",847
"97",845
"98",838
"99",828
"100",823
"101",814
"102",812
