"","x"
"1",0.072513
"2",0.0625
"3",0.02963
"4",0.027338
"5",0.027521
"6",-0.026612
"7",0.024185
"8",0.067967
"9",0.035611
"10",0.092007
"11",-0.011745
"12",-0.001724
"13",-0.063903
"14",-0.007841
"15",-0.007914
"16",-0.147818
"17",-0.133811
"18",-0.135669
"19",0.140752
"20",0.02584
"21",-0.107886
"22",-0.021216
"23",0.153902
"24",-0.02133
"25",0.086538
"26",-0.054277
"27",0.053158
"28",0.101544
"29",0.031267
"30",-0.085909
"31",-0.004011
"32",0.025892
"33",0.016301
"34",0.09292
"35",-0.015182
"36",0.044822
"37",0.069033
"38",0.052122
"39",0.044376
"40",-0.040387
"41",0.05491
"42",-0.00625
"43",-0.031447
"44",-0.043831
"45",-0.009081
"46",-0.037801
"47",-0.014881
"48",-0.007273
"49",0.095238
"50",0.019509
"51",-0.003291
"52",0.067694
"53",-0.01134
"54",-0.041841
"55",0.045851
"56",0.044885
"57",0.027054
"58",0.04
"59",-0.012195
"60",-0.049524
"61",-0.006012
"62",0.041331
"63",0.001942
"64",0.080426
"65",-0.022018
"66",-0.029635
"67",-0.027817
"68",-0.0562
"69",-0.00936
"70",0.045669
"71",0.135843
"72",-0.011968
"73",0.07537
"74",0.079099
"75",0.048837
"76",0.100887
"77",-0.035234
"78",0.067024
"79",0.020603
"80",-0.013589
"81",0.097048
"82",0.082535
"83",0.033024
"84",0.02451
