"","x"
"1",0.08232
"2",0.05936
"3",0.05037
"4",0.00841
"5",0.04179
"6",-0.04242
"7",0.01095
"8",0.02104
"9",-0.02971
"10",0.02133
"11",0.04641
"12",-0.00351
"13",-0.00793
"14",0.01554
"15",-0.00594
"16",-0.0683
"17",-0.098
"18",-0.08475
"19",0.06369
"20",0.02796
"21",-0.0605
"22",-0.02192
"23",0.1373
"24",-0.00906
"25",0.07816
"26",-0.01508
"27",0.02095
"28",0.03902
"29",0.03242
"30",-0.01583
"31",-0.00952
"32",0.05056
"33",-0.01841
"34",0.01633
"35",-0.00682
"36",0.00752
"37",0.02008
"38",0.02699
"39",0.0314
"40",-0.00305
"41",0.01164
"42",0.0154
"43",0.02767
"44",-0.00896
"45",0.03699
"46",0.017
"47",0.00072
"48",-0.00691
"49",0.05871
"50",0.02784
"51",0.00528
"52",0.03592
"53",-0.0079
"54",-0.07433
"55",0.0291
"56",0.04509
"57",0.03083
"58",0.04739
"59",0.03005
"60",0.03267
"61",0.04353
"62",0.01094
"63",-0.02187
"64",0.03374
"65",-0.07238
"66",-0.00483
"67",-0.01266
"68",-0.09305
"69",-0.01432
"70",0.01269
"71",0.03825
"72",0.01623
"73",0.14285
"74",0.02094
"75",0.05201
"76",0.03648
"77",-0.01788
"78",0.05164
"79",0.07092
"80",0.0028
"81",0.03777
"82",-0.03594
"83",0.00669
"84",0.05544
