"","x"
"1",0.07351
"2",-0.00217
"3",0.0743
"4",0.01655
"5",-0.00712
"6",-0.03463
"7",0.06417
"8",-0.01588
"9",-0.01029
"10",0.00728
"11",0.09618
"12",0.03223
"13",-0.05969
"14",0.04512
"15",-0.02916
"16",-0.03876
"17",-0.07944
"18",-0.08389
"19",0.07952
"20",0.01473
"21",-0.05876
"22",0.02827
"23",0.05865
"24",0.01854
"25",0.0364
"26",-0.01116
"27",0.02
"28",0.03096
"29",-0.00781
"30",-0.01931
"31",-0.00622
"32",0.044
"33",0.02918
"34",0.04399
"35",0.04981
"36",0
"37",0.0395
"38",-0.00726
"39",-0.01244
"40",0.0117
"41",-0.0089
"42",0.06329
"43",-0.02381
"44",-0.01742
"45",-0.01607
"46",-0.01089
"47",-0.03119
"48",0.04198
"49",-0.00733
"50",0.00554
"51",-0.01848
"52",0.02637
"53",0.03303
"54",-0.03578
"55",-0.00928
"56",0.00936
"57",0.00935
"58",-0.02407
"59",-0.05806
"60",-0.0122
"61",-0.01852
"62",0.01132
"63",-0.05858
"64",0.00667
"65",-0.02781
"66",0.00917
"67",-0.01364
"68",-0.04055
"69",-0.00485
"70",0.1
"71",-0.03902
"72",0.02564
"73",0.05227
"74",0.01166
"75",0.03448
"76",-0.0125
"77",-0.06245
"78",0.03636
"79",-0.08553
"80",-0.01583
"81",0.02217
"82",-0.0241
"83",0.00444
"84",0.00249
