"","x"
"1",0.0225
"2",-0.044
"3",-0.0591
"4",0.0227
"5",0.0077
"6",0.0432
"7",0.0455
"8",0.0171
"9",0.0229
"10",-0.0313
"11",0.0223
"12",0.0166
"13",-0.0208
"14",0.0477
"15",0.0065
"16",0.0172
"17",0.0522
"18",-0.0094
"19",0.065
"20",0.0445
"21",0.0432
"22",-0.0531
"23",0.0678
"24",0.019
"25",-0.0051
"26",-0.0176
"27",0.1083
"28",0.0324
"29",0.0127
"30",-0.0405
"31",0.0125
"32",0.0741
"33",0.024
"34",0.0145
"35",0.1199
"36",0.0029
"37",0.0571
"38",-0.0058
"39",-0.0023
"40",0.0161
"41",-0.0428
"42",0.1124
"43",0.0456
"44",0.098
"45",-0.0489
"46",-0.1993
"47",-0.1337
"48",0.0253
"49",0.0625
"50",0.0215
"51",0.0799
"52",-0.0095
"53",-0.0165
"54",-0.1646
"55",0.0367
"56",0.0075
"57",-0.1301
"58",-0.0888
"59",-0.0218
"60",-0.0742
"61",0.0489
"62",0.1144
"63",-0.0692
"64",-0.0959
"65",-0.1372
"66",0.139
"67",-0.0742
"68",0.0095
"69",-0.2994
"70",0.0844
"71",-0.0978
"72",-0.1453
"73",-0.0283
"74",0.0507
"75",-0.1182
"76",-0.2025
"77",-0.2333
"78",-0.0089
"79",0.377
"80",0.3754
"81",-0.0369
"82",-0.1386
"83",-0.0589
"84",0.0519
"85",0.0073
"86",-0.1844
"87",0.0336
"88",0.4222
"89",0.1587
"90",0.1317
"91",-0.088
"92",0.1146
"93",-0.1136
"94",-0.0885
"95",0.1027
"96",0.0223
"97",0.1059
"98",-0.0367
"99",-9e-04
"100",-0.027
"101",-0.0813
"102",0.0208
"103",-0.1152
"104",0.0541
"105",-0.0055
"106",-0.0319
"107",0.0829
"108",-0.0042
"109",-0.0421
"110",-0.0396
"111",-0.0309
"112",0.0956
"113",0.0323
"114",0.0678
"115",0.0831
"116",0.0217
"117",0.0239
"118",0.0751
"119",0.0393
"120",0.0371
"121",0.0655
"122",0.0168
"123",0.0254
"124",-0.0771
"125",0.0458
"126",0.0306
"127",0.0681
"128",0.0088
"129",0.0013
"130",0.075
"131",0.0041
"132",-0.0058
"133",0.0378
"134",0.0146
"135",-0.0094
"136",-0.0831
"137",-0.0103
"138",-0.0529
"139",0.1026
"140",-0.0554
"141",-0.1421
"142",-0.1017
"143",-0.1011
"144",-0.0504
"145",0.0133
"146",0.0608
"147",-0.2504
"148",0.1412
"149",-0.0443
"150",0.247
"151",0.0727
"152",-0.0274
"153",0.0149
"154",0.076
"155",-0.0334
"156",0.0377
"157",-0.0689
"158",0.0325
"159",-0.1354
"160",-0.0055
"161",0.0623
"162",-0.0638
"163",0.1087
"164",-0.0714
"165",0.1646
"166",-0.0146
"167",-0.0491
"168",0.0238
"169",-0.0352
"170",0.0066
"171",0.0099
"172",-0.0049
"173",-0.2395
"174",0.0766
"175",0.0311
"176",0.0262
"177",0.0095
"178",0.0394
"179",-0.0424
"180",-0.0028
"181",-0.0482
"182",-0.0149
"183",0.004
"184",-0.0653
"185",0.0043
"186",0.0535
"187",0.0548
"188",-0.0087
"189",-0.0097
"190",-0.0686
"191",-0.0421
"192",-0.0451
"193",0.0138
"194",-0.025
"195",-0.0675
"196",-0.0437
"197",0.064
"198",0.0184
"199",0.0313
"200",0.007
"201",0.0267
"202",0.0644
"203",-0.0138
"204",0.0517
"205",0.0716
"206",0.0506
"207",0.0527
"208",9e-04
"209",0.0449
"210",0.0198
"211",-0.0543
"212",0.0103
"213",0.0237
"214",-0.0132
"215",-0.0755
"216",0.059
"217",0.0154
"218",-0.0025
"219",0.0169
"220",-0.0125
"221",0.0404
"222",0.051
"223",-0.0208
"224",0.0087
"225",-0.0031
"226",0
"227",0.0039
"228",0.0351
"229",0.0143
"230",0.0616
"231",-0.0462
"232",0.088
"233",0.0115
"234",-0.0033
"235",-0.0201
"236",0.058
"237",0.0419
"238",0.0303
"239",0.0324
"240",0.0099
"241",0.0697
"242",-0.0695
"243",0.0463
"244",0.0376
"245",0.0224
"246",-0.0391
"247",-0.0255
"248",-0.0729
"249",-0.1015
"250",-0.008
"251",-0.0115
"252",0.0429
"253",0.0235
"254",-0.0147
"255",-0.0169
"256",-0.0389
"257",-0.0089
"258",0.0526
"259",0.0362
"260",-0.0279
"261",-0.0137
"262",0.0212
"263",-0.0285
"264",0.0207
"265",-0.0399
"266",-0.047
"267",0.0771
"268",0.0265
"269",0.0782
"270",0.003
"271",-0.0532
"272",0.0076
"273",-0.0301
"274",0.0678
"275",-0.1082
"276",0.0305
"277",0.0013
"278",-0.0394
"279",0.0301
"280",-0.0212
"281",-0.0373
"282",-0.0021
"283",0.0621
"284",0.012
"285",0.0237
"286",0.0295
"287",0.0012
"288",0.0436
"289",0.0173
"290",0.01
"291",0.0041
"292",0.0451
"293",0.0393
"294",-0.058
"295",0.0085
"296",0.0325
"297",0.0559
"298",0.0041
"299",-0.001
"300",0.0461
"301",0.0612
"302",0.0065
"303",-0.0183
"304",0.0481
"305",-0.0406
"306",-0.026
"307",0.0687
"308",0.0393
"309",-9e-04
"310",-0.0138
"311",-0.0026
"312",0.0389
"313",0.0156
"314",-0.0365
"315",0.0477
"316",-0.0431
"317",0.0232
"318",0.0461
"319",0.0176
"320",-0.0146
"321",-0.0196
"322",-8e-04
"323",0.0465
"324",0.0355
"325",-0.0072
"326",-0.0182
"327",-0.0236
"328",-0.0265
"329",-0.0032
"330",-0.0163
"331",0.0253
"332",-0.0578
"333",0.0013
"334",0.051
"335",0.009
"336",0.002
"337",0.0512
"338",0.0027
"339",0.0302
"340",0.049
"341",0.0329
"342",7e-04
"343",0.0572
"344",-0.034
"345",0.0831
"346",-0.0195
"347",0.0808
"348",0.0508
"349",0.0181
"350",0.0035
"351",-0.0049
"352",0.0377
"353",-0.0013
"354",0.0823
"355",0.0607
"356",-0.0078
"357",0.0113
"358",-0.0305
"359",0.0749
"360",-7e-04
"361",-0.0365
"362",0.0347
"363",0.0693
"364",-0.0021
"365",-0.0657
"366",0.0392
"367",0.0515
"368",-0.0381
"369",-0.0455
"370",0.0051
"371",-0.011
"372",0.0353
"373",-0.0418
"374",-0.0326
"375",0.0196
"376",0.037
"377",0.0369
"378",-0.0013
"379",0.0114
"380",-0.0561
"381",-0.0619
"382",-0.0321
"383",0.0161
"384",-0.0415
"385",0.0428
"386",-0.0206
"387",0.0309
"388",0.0318
"389",0.015
"390",0.0261
"391",0.0431
"392",0.0119
"393",0.0484
"394",0.0254
"395",0.0224
"396",0.052
"397",0.0038
"398",-2e-04
"399",5e-04
"400",0.0388
"401",0.0189
"402",-0.0036
"403",0.0349
"404",-0.015
"405",-0.0456
"406",0.0113
"407",0.0132
"408",0.0276
"409",-0.0715
"410",0.0092
"411",-0.0139
"412",-0.0175
"413",0.0269
"414",0.0195
"415",-0.0248
"416",0.0261
"417",-0.0604
"418",-0.0024
"419",0.0403
"420",0.0463
"421",0.0632
"422",0.0269
"423",0.0255
"424",0.0038
"425",0.0191
"426",-0.0288
"427",0.0328
"428",0.0196
"429",-0.0197
"430",0.0283
"431",0.0393
"432",0.0032
"433",-0.0379
"434",0.0163
"435",-0.0059
"436",-0.062
"437",-0.086
"438",-0.0818
"439",0.0636
"440",0.0153
"441",-0.0482
"442",0.0044
"443",0.1016
"444",0.0135
"445",0.0491
"446",-0.0289
"447",0.0355
"448",0.0485
"449",0.0143
"450",-0.0202
"451",-0.0035
"452",0.0487
"453",-0.011
"454",0.0322
"455",-0.0105
"456",0.0244
"457",0.0269
"458",0.0099
"459",0.0152
"460",0.0061
"461",0.0115
"462",0.0164
"463",0.0182
"464",-0.0162
"465",0.0287
"466",0.0081
"467",-0.0052
"468",0.0039
"469",0.0332
"470",-0.0015
"471",-0.0145
"472",0.0342
"473",-0.0077
"474",-0.0486
