"","x"
"1",0.00238
"2",0.00238
"3",0.00236
"4",0.0025
"5",0.00254
"6",0.0026
"7",0.00285
"8",0.00281
"9",0.00241
"10",0.00288
"11",0.00287
"12",0.00292
"13",0.00294
"14",0.00273
"15",0.00271
"16",0.00282
"17",0.00267
"18",0.00273
"19",0.00293
"20",0.00285
"21",0.00296
"22",0.00281
"23",0.00326
"24",0.00321
"25",0.00315
"26",0.00319
"27",0.00313
"28",0.00313
"29",0.00319
"30",0.00313
"31",0.0033
"32",0.00319
"33",0.00315
"34",0.00355
"35",0.0037
"36",0.00371
"37",0.00364
"38",0.00381
"39",0.00372
"40",0.00368
"41",0.00374
"42",0.00389
"43",0.00415
"44",0.00389
"45",0.00343
"46",0.00377
"47",0.00368
"48",0.00364
"49",0.00338
"50",0.00283
"51",0.00271
"52",0.003
"53",0.00309
"54",0.00317
"55",0.00343
"56",0.00347
"57",0.00355
"58",0.0036
"59",0.00398
"60",0.00385
"61",0.00389
"62",0.00444
"63",0.00453
"64",0.00444
"65",0.00432
"66",0.00406
"67",0.00432
"68",0.00461
"69",0.00398
"70",0.005
"71",0.00487
"72",0.0047
"73",0.00432
"74",0.00508
"75",0.00478
"76",0.00508
"77",0.00593
"78",0.0055
"79",0.00593
"80",0.00542
"81",0.0054
"82",0.0054
"83",0.00631
"84",0.00534
"85",0.00546
"86",0.00542
"87",0.00546
"88",0.00495
"89",0.005
"90",0.00508
"91",0.00483
"92",0.00444
"93",0.00377
"94",0.00355
"95",0.00338
"96",0.00264
"97",0.00283
"98",0.00305
"99",0.00338
"100",0.00406
