"","x"
"1",1.198938
"2",1.29991
"3",1.348435
"4",1.455093
"5",1.552336
"6",1.725968
"7",1.694321
"8",1.681869
"9",1.648196
"10",1.697809
"11",1.736508
"12",1.620808
"13",1.605157
"14",1.430414
"15",1.261505
"16",1.203517
"17",1.233163
"18",1.227566
"19",1.313457
"20",1.497786
"21",1.621974
"22",1.600681
"23",1.671367
"24",1.720116
"25",1.775124
"26",1.688127
"27",1.73614
"28",1.784338
"29",1.56487
"30",1.395649
"31",1.320892
"32",1.107306
"33",1.194777
"34",1.318208
"35",1.420211
"36",1.517884
"37",1.54937
"38",1.656639
"39",1.739487
"40",1.755338
"41",1.632925
"42",1.550926
"43",1.436905
"44",1.500498
"45",1.512805
"46",1.528752
"47",1.471175
"48",1.434839
"49",1.4091
"50",1.468326
"51",1.489383
"52",1.467662
"53",1.33498
"54",1.250519
"55",1.233247
"56",1.186374
"57",1.204348
"58",1.163751
"59",0.36452
"60",0.34745
"61",1.045744
"62",1.120466
"63",1.157109
"64",1.29339
"65",1.181483
"66",1.176719
"67",1.193553
"68",1.263748
"69",1.122197
"70",1.041095
"71",0.936706
"72",0.759741
"73",0.73845
"74",0.712114
"75",0.698161
"76",0.704654
"77",0.677468
"78",0.725635
"79",0.720057
"80",0.699057
"81",0.621649
"82",0.57267
"83",0.523322
"84",0.477349
"85",0.463622
"86",0.464201
"87",0.452888
"88",0.499671
"89",0.539891
"90",0.61203
"91",0.649351
"92",0.668508
"93",0.681895
"94",0.63943
"95",0.590358
"96",0.598424
"97",0.632881
"98",0.610933
"99",0.656165
"100",0.684185
"101",0.740614
"102",0.734218
"103",0.776154
"104",0.830696
"105",0.83713
"106",0.787446
"107",0.869476
"108",0.878108
"109",0.905885
"110",0.970039
"111",1.067984
"112",1.136023
"113",1.177344
"114",1.294396
"115",1.330927
"116",1.500402
"117",1.658972
"118",1.69201
"119",1.964777
"120",1.523377
"121",1.499516
"122",1.551051
"123",1.372924
"124",1.10029
"125",1.134978
"126",1.005005
"127",0.931256
"128",0.689696
"129",0.600878
"130",0.410734
"131",0.527989
"132",0.546046
"133",0.513565
"134",0.692795
"135",0.868333
"136",0.790587
"137",0.868893
"138",0.807528
"139",0.714021
"140",0.703984
"141",0.677533
"142",0.727574
"143",0.837852
"144",0.937242
"145",1.05792
"146",1.063064
"147",1.148668
"148",1.233377
"149",1.276381
"150",1.144861
"151",1.102134
"152",0.787417
"153",0.745844
"154",0.687328
"155",0.82996
"156",0.888136
"157",0.852686
"158",0.765854
"159",0.823303
"160",0.866768
"161",0.832399
"162",0.733481
"163",0.690702
"164",0.717497
"165",0.665384
"166",0.621108
"167",0.651099
"168",0.583132
"169",0.521362
"170",0.473402
"171",0.494547
"172",0.525104
"173",0.579584
"174",0.632358
"175",0.632055
"176",0.596595
"177",0.609218
"178",0.619786
"179",0.644014
"180",0.645696
"181",0.681164
"182",0.720807
"183",0.734287
"184",0.814037
"185",0.836564
"186",0.851665
"187",0.755295
"188",0.646392
"189",0.643798
"190",0.587655
"191",0.598795
"192",0.570929
"193",0.527187
"194",0.576425
"195",0.560576
"196",0.531846
"197",0.512429
"198",0.495691
"199",0.516431
"200",0.54956
"201",0.578644
"202",0.614934
"203",0.609539
"204",0.655938
"205",0.698641
"206",0.688422
"207",0.702849
"208",0.698998
"209",0.715065
"210",0.709367
"211",0.733726
"212",0.729718
"213",0.751424
"214",0.703638
"215",0.68475
"216",0.6935
"217",0.734557
"218",0.798756
"219",0.859653
"220",0.93184
"221",1.005588
"222",1.059995
"223",1.188118
"224",1.211593
"225",1.23531
"226",1.268968
"227",1.287893
"228",1.227746
"229",1.163887
"230",1.204931
"231",1.180474
"232",1.027435
"233",1.037869
"234",1.078462
"235",1.163697
"236",1.266832
"237",1.336236
"238",1.375894
"239",1.396324
"240",1.365095
"241",1.319374
"242",1.304084
"243",1.285667
"244",1.26664
"245",1.410066
"246",1.490388
"247",1.499687
"248",1.566702
"249",1.546944
"250",1.368524
"251",1.263307
"252",1.29355
"253",1.41232
"254",1.490175
"255",1.507297
"256",1.545423
"257",1.62371
"258",1.669205
"259",1.710328
"260",1.736378
"261",1.758499
"262",1.761416
"263",1.736889
"264",1.818369
"265",1.795864
"266",1.708215
"267",1.560893
"268",1.513282
"269",1.632242
"270",1.699226
"271",1.731497
"272",1.714038
"273",1.637534
"274",1.726642
"275",1.735266
"276",1.801338
"277",1.698151
"278",1.68168
"279",1.535972
"280",1.507182
"281",1.392017
"282",1.219974
"283",1.190827
"284",1.280689
"285",1.415506
"286",1.462803
"287",1.399851
"288",1.349871
"289",1.458016
"290",1.47834
"291",1.475108
"292",1.522089
"293",1.505316
"294",1.379191
"295",1.323799
"296",1.263968
"297",1.146498
"298",1.053527
"299",0.853609
"300",0.760621
"301",0.840847
"302",0.925902
"303",0.887717
"304",0.880443
"305",0.965462
"306",0.968054
"307",0.976045
"308",0.942943
"309",0.916814
"310",0.874519
"311",0.849037
"312",0.797858
"313",0.741642
"314",0.778478
"315",0.806959
"316",0.754357
"317",0.747306
"318",0.737583
"319",0.751129
"320",0.722683
"321",0.729338
"322",0.691362
"323",0.759021
"324",0.792037
"325",0.759779
"326",0.745409
"327",0.685688
"328",0.648343
"329",0.594531
"330",0.582839
"331",0.570434
"332",0.672484
"333",0.71761
"334",0.781507
"335",0.785447
"336",0.777291
"337",0.740967
"338",0.709248
"339",0.720424
"340",0.730705
"341",0.774187
"342",0.796668
"343",0.801489
"344",0.827807
"345",0.916464
"346",0.9937
"347",0.987543
"348",0.989349
"349",1.119197
"350",1.159895
"351",1.246875
"352",0.984298
"353",0.980816
"354",0.985949
"355",0.986264
"356",1.002005
"357",1.042495
"358",1.105811
"359",1.18809
"360",1.181455
"361",1.130283
"362",1.154678
"363",1.088763
"364",1.011819
"365",1.111384
"366",1.174032
"367",1.178627
"368",1.166585
"369",1.227253
"370",1.20779
"371",1.214302
"372",1.219254
"373",1.265997
"374",1.261039
"375",1.274634
"376",1.306225
"377",1.292558
"378",1.225041
"379",1.239066
"380",1.208609
"381",1.239951
"382",1.331009
"383",1.411654
"384",1.473569
"385",1.55946
"386",1.585132
"387",1.78814
"388",1.81748
