"","x"
"1",4.4
"2",5.8
"3",6.7
"4",7.1
"5",5.7
"6",4.1
"7",4.6
"8",4.3
"9",2
"10",2.2
"11",3.6
"12",-2.2
"13",-5.1
"14",-4.9
"15",0.1
"16",4.1
"17",3.8
"18",9.9
"19",0
"20",6.5
"21",10.8
"22",4.1
"23",2.7
"24",-2.9
"25",-2.9
"26",1.5
"27",5.7
"28",5
"29",7.9
"30",6.8
"31",7.1
"32",4.1
"33",5.5
"34",5.1
"35",8
"36",5.6
"37",4.5
"38",6.1
"39",6.7
"40",6.1
"41",10.6
"42",8.6
"43",11.6
"44",7.6
"45",10.9
"46",14.6
"47",14.5
"48",17.4
"49",11.7
"50",5.8
"51",11.5
"52",11.7
"53",5
"54",10
"55",8.9
"56",7.1
"57",8.3
"58",10.2
"59",13.3
"60",6.2
