"","x"
"1",177
"2",-112
"3",203
"4",690
"5",772
"6",406
"7",708
"8",35
"9",-246
"10",-423
"11",125
"12",73
"13",479
"14",203
"15",639
"16",-311
"17",280
"18",-186
"19",250
"20",505
"21",414
"22",492
"23",496
"24",574
"25",746
"26",229
"27",-43
"28",-91
"29",324
"30",-440
"31",268
"32",552
"33",716
"34",-134
"35",492
"36",211
"37",660
"38",-47
"39",147
"40",548
"41",783
"42",-114
"43",160
"44",934
"45",1143
"46",120
"47",329
"48",429
"49",483
"50",-80
"51",11
"52",171
"53",66
"54",-617
"55",-154
"56",174
"57",-374
"58",317
"59",1094
"60",1046
"61",1441
"62",900
"63",-338
"64",-178
"65",-477
"66",-272
"67",625
"68",52
"69",551
"70",316
"71",411
"72",1086
"73",404
"74",-313
"75",-50
"76",-29
"77",50
"78",-58
"79",154
"80",411
"81",464
"82",849
"83",65
"84",326
"85",780
"86",169
"87",-98
"88",27
"89",590
"90",300
"91",140
"92",-244
"93",619
"94",-724
"95",-1152
"96",-1183
"97",-140
"98",-650
"99",273
"100",198
"101",1010
"102",219
"103",87
"104",-231
"105",992
"106",267
"107",761
"108",-197
"109",-265
"110",-248
"111",167
"112",-460
"113",888
"114",18
"115",-143
"116",-414
"117",1081
"118",581
"119",904
"120",145
"121",1521
"122",245
"123",811
"124",-1256
"125",-172
"126",-869
"127",179
