"","x"
"1",46.5
"2",47
"3",47.5
"4",48.3
"5",49.1
"6",50.1
"7",51.1
"8",52
"9",53.2
"10",53.9
"11",54.5
"12",55.2
"13",55.6
"14",55.7
"15",56.1
"16",56.8
"17",57.5
"18",58.3
"19",58.9
"20",59.4
"21",59.8
"22",60
"23",60
"24",60.3
"25",60.1
"26",59.7
"27",59.5
"28",59.4
"29",59.3
"30",59.2
"31",59.1
"32",59
"33",59.3
"34",59.5
"35",59.5
"36",59.5
"37",59.7
"38",59.7
"39",60.5
"40",60.7
"41",61.3
"42",61.4
"43",61.8
"44",62.4
"45",62.4
"46",62.9
"47",63.2
"48",63.4
"49",63.9
"50",64.5
"51",65
"52",65.4
"53",66.3
"54",67.7
"55",69
"56",70
"57",71.4
"58",72.5
"59",73.4
"60",74.6
"61",75.2
"62",75.9
"63",76.8
"64",77.9
"65",79.2
"66",80.5
"67",82.6
"68",84.4
"69",85.9
"70",87.6
