"","x"
"1",0.04831
"2",0.02357
"3",-0.01939
"4",-0.00057
"5",0.05262
"6",-0.01428
"7",0.03246
"8",-0.00944
"9",0.02264
"10",0.02454
"11",0.01834
"12",0.0167
"13",0.00745
"14",0.01919
"15",0.01252
"16",0.02401
"17",-0.01115
"18",0.03231
"19",0.01027
"20",0.00207
"21",0.00252
"22",0.0419
"23",0.00586
"24",-0.01161
"25",0.03566
"26",-0.00692
"27",-0.05214
"28",0.01873
"29",0.03117
"30",0.03448
"31",0.03349
"32",0.00185
"33",0.01306
"34",0.01143
"35",-0.01294
"36",-0.01989
"37",0.02369
"38",-0.05067
"39",-0.01246
"40",-0.01335
"41",-0.07644
"42",-0.00409
"43",0.04255
"44",0.01776
"45",0.00119
"46",0.08433
"47",0.00947
"48",0.04237
"49",0.04763
"50",-0.03992
"51",0.023
"52",0.05591
"53",-0.00542
"54",0.03624
"55",-0.02345
"56",0.00871
"57",0.0306
"58",-0.04039
"59",-0.02751
"60",0.01143
"61",0.0915
"62",0.0257
"63",0.01068
"64",-0.02059
"65",0.01518
"66",0.04017
"67",0.01106
"68",0.05434
"69",-0.03536
"70",-0.00605
"71",-0.04875
"72",0.03408
"73",0.01941
"74",0.00173
"75",-0.05915
"76",-0.06344
"77",0.04966
"78",-0.01855
"79",0.05238
"80",-0.03075
"81",-0.01218
"82",-0.07659
"83",0.05549
"84",-0.00015
"85",-0.09907
"86",-0.06131
"87",-0.04631
"88",0.07356
"89",0.05192
"90",0.04465
"91",-0.01077
"92",0.05137
"93",0.05758
"94",0.04156
"95",0.01878
"96",0.04576
"97",0.0352
"98",-0.03202
"99",0.00354
"100",-0.0386
