"","x"
"1",67875
"2",65118
"3",60295
"4",57477
"5",64714
"6",75223
"7",52742
"8",42873
"9",46263
"10",53041
"11",60498
"12",69614
"13",96096
"14",65181
"15",77536
"16",249062
"17",96749
"18",93628
"19",148060
"20",63695
"21",65564
"22",62357
"23",103431
"24",78766
"25",72251
"26",71654
"27",91189
"28",81469
"29",70153
"30",53288
"31",37690
"32",81308
"33",51545
"34",51327
"35",79400
"36",83153
"37",155379
"38",101717
"39",91146
"40",93891
"41",63941
"42",54375
"43",50195
"44",52946
"45",66494
"46",54475
"47",50111
"48",42335
"49",56699
"50",55025
"51",49626
"52",48653
"53",39988
"54",51743
"55",65756
"56",99402
"57",67872
"58",55672
"59",53244
"60",45152
"61",62896
"62",46469
"63",53502
"64",50250
"65",61558
"66",53165
"67",52322
"68",49069
"69",47127
"70",59712
"71",57087
"72",66616
"73",97536
"74",72348
"75",53113
"76",50799
"77",74629
"78",67571
"79",31960
"80",23659
"81",24797
"82",36058
"83",39381
"84",27698
"85",42659
"86",23719
"87",24712
"88",28358
"89",25247
"90",23741
"91",18939
"92",24475
"93",31801
"94",34141
"95",28131
"96",23783
"97",25522
"98",28551
"99",37135
"100",36282
"101",24631
"102",28680
"103",25100
"104",18295
"105",22892
"106",17801
"107",16418
"108",25127
"109",29326
"110",32376
"111",32140
"112",25660
"113",22472
"114",26010
"115",18371
"116",24951
"117",19413
"118",24775
"119",37835
"120",28245
"121",35886
"122",30963
"123",29777
"124",22364
"125",32808
"126",24909
"127",28271
"128",24261
"129",26249
"130",37404
"131",32973
"132",24702
"133",53350
"134",59535
"135",34957
"136",28747
"137",23543
"138",17385
"139",16772
"140",16165
"141",17105
"142",14793
"143",15643
"144",20854
"145",24130
"146",23792
"147",18501
"148",19212
"149",18208
"150",20531
"151",20919
"152",11268
"153",14162
"154",12503
"155",14536
"156",17280
"157",23364
"158",27743
"159",26480
"160",25226
"161",27970
"162",25246
"163",16732
"164",13944
"165",17273
"166",13992
"167",17674
"168",20245
"169",20185
"170",17590
"171",24081
"172",16050
"173",16907
"174",19687
"175",22545
"176",20511
"177",26088
"178",44627
"179",52770
"180",64699
"181",37788
"182",31203
"183",29814
"184",38677
"185",36009
"186",34829
"187",43649
"188",47617
"189",44298
"190",44858
"191",39391
"192",33819
"193",51787
"194",41874
"195",49716
"196",37581
"197",37219
"198",65377
"199",53128
"200",77232
"201",90613
"202",98231
"203",52277
"204",65902
"205",212320
"206",152502
"207",112326
"208",41425
"209",40543
"210",55143
"211",74920
"212",61160
"213",89890
"214",75479
"215",110178
"216",78120
"217",69637
"218",48401
"219",49334
"220",52465
"221",48655
"222",48131
"223",76892
"224",40117
"225",58569
"226",37182
"227",46107
"228",62384
"229",34593
"230",32064
"231",39727
"232",31799
"233",26944
"234",33557
"235",30136
"236",48359
"237",63487
"238",83571
"239",77864
"240",71668
"241",137906
"242",80472
"243",62596
"244",52954
"245",103014
"246",79738
"247",89293
"248",69521
"249",77319
"250",64378
"251",62156
"252",61769
"253",60340
"254",73487
"255",69659
"256",53367
"257",58842
"258",54101
"259",53547
"260",56190
"261",50817
"262",57953
"263",79221
"264",55967
"265",59429
"266",55721
"267",79533
"268",92423
"269",78144
"270",64983
"271",78603
"272",100879
"273",89877
"274",84598
"275",98210
"276",109791
"277",147887
"278",118578
"279",256784
"280",140218
"281",96477
"282",78939
"283",105484
"284",116632
"285",158149
"286",121532
"287",105469
"288",104901
"289",190502
"290",169683
"291",290887
"292",351845
"293",239384
"294",190026
"295",242977
"296",238705
"297",250744
"298",300301
"299",351845
"300",150471
"301",152392
"302",139039
"303",152438
"304",160284
"305",128375
"306",170441
"307",118055
"308",121349
"309",133989
"310",98418
"311",115459
"312",128861
"313",167497
"314",137556
"315",140933
"316",117921
"317",160821
"318",222620
"319",197038
"320",233784
"321",190760
"322",216099
"323",310039
"324",183780
"325",235235
"326",200757
"327",177864
"328",121784
"329",189945
"330",159100
"331",155842
"332",258460
"333",148283
"334",150797
"335",157554
"336",138272
"337",144687
"338",158089
"339",162251
"340",159966
"341",141491
"342",163731
"343",136194
"344",136188
"345",127478
"346",159870
"347",180886
"348",153443
"349",206849
"350",174662
"351",191258
"352",167982
"353",187652
"354",198467
"355",191548
"356",159510
