"","x"
"1",56.89
"2",57.43
"3",57.89
"4",58
"5",57.97
"6",57.99
"7",57.91
"8",57.57
"9",57.5
"10",57.44
"11",57.16
"12",57.11
"13",57.28
"14",57.59
"15",57.68
"16",57.33
"17",56.94
"18",56.94
"19",56.92
"20",57.06
"21",57.02
"22",56.94
"23",57.24
"24",57.38
"25",56.87
"26",56.25
"27",56.1
"28",56.12
"29",56.05
"30",55.7
"31",55.7
"32",55.61
"33",55.1
"34",54.72
"35",54.18
"36",54.51
"37",54.17
"38",54.57
"39",55.51
"40",55.53
"41",55.04
"42",54.72
"43",54.89
"44",55.44
"45",55.52
"46",55.84
"47",56.07
"48",56.28
"49",56.66
"50",56.61
"51",56.72
"52",56.84
"53",56.81
"54",57.01
"55",57.19
"56",57.75
"57",58.07
"58",57.79
"59",57.6
"60",57.44
"61",56.84
"62",56.96
"63",57.09
"64",57
"65",56.49
"66",55.79
"67",55.74
"68",56.11
"69",55.77
"70",55.83
"71",55.44
"72",55.22
"73",55.11
"74",53.86
"75",54.01
"76",54.57
"77",54.36
"78",53.9
"79",53.06
"80",52.94
"81",52.48
"82",52.62
"83",53.52
"84",53.36
"85",52.99
"86",53.39
"87",53.72
"88",54.03
"89",54.14
"90",54.22
"91",54.15
"92",54.57
"93",54.88
"94",54.63
"95",54.35
"96",54.25
"97",53.86
"98",53.32
"99",52.7
"100",52.3
"101",53.05
"102",53.62
"103",53.41
"104",53.39
"105",53.94
"106",54.22
"107",54.43
"108",54.9
"109",55.11
"110",55.35
"111",56.13
"112",55.87
"113",55.59
"114",55.81
"115",55.7
"116",55.55
"117",55.82
"118",55.93
"119",55.72
"120",55.8
"121",56.13
"122",56.13
"123",56.03
"124",55.83
"125",55.54
"126",55.3
"127",55.39
"128",55.31
"129",55.47
"130",56.02
"131",56.15
"132",56.65
"133",56.85
"134",56.88
"135",56.84
"136",56.68
"137",57.2
"138",57.13
"139",57.09
"140",57.55
"141",57.39
"142",57.44
"143",57.52
"144",57.78
"145",58.05
"146",58.11
"147",57.57
"148",58.36
"149",58.57
"150",58.48
"151",58.81
"152",58.97
"153",59.14
"154",59.32
"155",59.6
"156",59.58
"157",59.34
"158",59.68
"159",59.77
"160",59.96
"161",60.29
"162",60.45
"163",60.53
"164",60.62
"165",61.24
"166",61.97
"167",61.78
"168",61.9
"169",62.3
"170",62.22
"171",61.76
"172",61.65
"173",62.21
"174",62.02
"175",61.5
"176",61.14
"177",61.41
"178",61.92
"179",62.3
"180",62.1
"181",62.32
"182",62.34
"183",62.59
"184",62.84
"185",63.3
"186",63.44
"187",63.43
"188",63.85
"189",63.95
"190",64.05
"191",63.47
"192",63.44
"193",63.5
"194",63.48
"195",63.66
"196",63.38
"197",63.57
"198",64.21
"199",64.6
"200",64.86
"201",64.74
"202",64.7
"203",64.53
"204",64.42
"205",64.35
"206",64.38
"207",64.93
"208",65.06
"209",65.06
"210",65.6
"211",65.66
"212",65.46
"213",65.61
"214",65.96
"215",66.53
"216",66.62
"217",66.31
"218",66.26
"219",66.37
"220",66.68
"221",66.2
"222",65.81
"223",65.82
"224",65.77
"225",64.4
"226",65.3
"227",65.55
"228",65.46
"229",65.31
"230",65.17
"231",65.64
"232",66.18
"233",66.44
"234",66.52
"235",66.41
"236",66.47
"237",66.41
"238",66.39
"239",66.45
"240",66.83
"241",67.08
"242",67.39
"243",66.99
"244",67.27
"245",66.85
"246",66.68
"247",66.26
"248",66.01
"249",66.43
"250",66.56
"251",66.56
"252",66.73
"253",67.08
"254",66.89
"255",66.64
"256",66.67
"257",66.66
"258",66.15
"259",65.8
"260",65.98
"261",65.69
"262",65.18
"263",64.58
"264",65.15
"265",65.14
"266",64.9
"267",65.16
"268",64.47
"269",64.47
"270",64.59
"271",64.52
"272",64.64
"273",65.21
"274",65.63
"275",65.81
"276",65.77
"277",65.71
"278",65.69
"279",65.32
"280",64.86
"281",65.28
"282",64.79
"283",64.41
"284",64.7
"285",64.71
"286",64.86
"287",64.87
"288",65.23
"289",65.84
"290",66.61
"291",66.71
"292",66.76
"293",67.37
"294",66.94
"295",67.29
"296",67.68
"297",67.67
"298",67.82
"299",67.74
"300",67.95
"301",68.06
"302",67.72
"303",67.55
"304",67.73
"305",68.11
"306",68.29
"307",68.43
"308",68.44
"309",67.98
"310",67.59
"311",67.67
"312",67.7
"313",67.55
"314",67.81
"315",68.07
"316",68.19
"317",67.96
"318",68.46
"319",68.35
"320",67.88
"321",67.28
"322",67.96
"323",68.01
"324",67.53
"325",67.65
"326",67.21
"327",66.68
"328",66.96
"329",66.99
"330",66.72
"331",65.77
"332",65.78
"333",66.47
"334",66.58
"335",66.73
"336",66.77
"337",66.73
"338",67.18
"339",67.77
"340",67.97
"341",67.94
"342",68.11
"343",68.17
"344",68.16
"345",68.04
"346",67.85
"347",67.87
"348",68.21
"349",68.45
"350",68.48
"351",68.06
"352",67.98
"353",68.34
"354",68.46
"355",68.34
"356",68.42
"357",68.62
"358",68.73
"359",69.11
"360",69.47
"361",70.01
"362",70.87
"363",70.77
"364",71.07
"365",71.27
"366",71.66
"367",71.67
"368",71.62
"369",71.62
"370",71.72
"371",71.78
"372",71.7
"373",71.84
"374",71.85
"375",71.75
"376",71.7
"377",71.32
"378",71.18
"379",72.01
"380",71.93
"381",71.99
"382",71.7
"383",72.04
"384",72.39
"385",72.64
"386",72.53
"387",71.98
"388",72.01
"389",71.76
"390",71.26
"391",71.12
"392",70.86
"393",70.91
"394",71.02
"395",71.65
"396",71.69
"397",71.55
"398",70.96
"399",71.13
"400",70.64
"401",69.66
"402",69.12
"403",69.15
"404",68.96
"405",69.37
"406",69.61
"407",69.47
"408",69.07
"409",68.32
"410",68.39
"411",68.75
"412",68.81
"413",68.29
"414",68.4
"415",68.35
"416",68.13
"417",67.9
"418",68.17
"419",68.84
"420",69.26
"421",69.81
"422",69.88
"423",69.96
"424",70.42
"425",70.58
"426",70.48
"427",70.46
"428",70.45
"429",70.42
"430",70.74
"431",70.59
"432",70.41
"433",70.66
"434",70.32
"435",70.16
"436",69.76
"437",69.89
"438",69.96
"439",70.2
"440",70.16
"441",70
"442",69.78
"443",69.69
"444",70.19
"445",70.42
"446",70.4
"447",70.6
"448",70.91
"449",71.06
"450",70.94
"451",70.85
"452",70.66
"453",70.51
"454",70.4
"455",70.45
"456",69.89
"457",69.7
"458",70.04
"459",70.01
"460",69.55
"461",69.37
"462",68.81
"463",68.49
"464",68.91
"465",68.84
"466",68.31
"467",68.56
"468",68.41
"469",67.71
"470",67.9
"471",67.6
"472",67.9
"473",68.27
"474",68.59
"475",68.59
"476",68.53
"477",68.46
"478",67.71
"479",67.05
"480",66.3
"481",65.24
"482",65.7
"483",65.99
"484",66.53
"485",66.24
"486",66.02
"487",65.17
"488",64.26
"489",63.57
"490",62.65
"491",63.1
"492",64.29
"493",64.27
"494",63.93
"495",63.82
"496",63.59
"497",62.34
"498",61.11
"499",60.62
"500",59.47
"501",55.5
"502",58.08
"503",59.63
"504",59.38
"505",57.27
"506",57.57
"507",58.39
"508",58.4
"509",58.45
"510",57.82
"511",56.34
"512",55.5
"513",54.33
"514",55.89
"515",55.74
"516",55.54
"517",54.78
"518",53.59
"519",52.68
"520",52.45
"521",52.32
"522",52.6
"523",54.41
"524",54.75
"525",55.86
"526",56.49
"527",56.81
"528",56.17
"529",56.55
"530",57.2
"531",57.73
"532",58.03
"533",57.83
"534",57.83
"535",56.78
"536",56.2
"537",56.42
"538",56.81
"539",56.8
"540",56.36
"541",56.46
"542",56.77
"543",57.2
"544",57.83
"545",58.23
"546",57.75
"547",57.98
"548",58.12
"549",57.75
"550",57.36
"551",57.51
"552",57.47
"553",57.55
"554",57.63
"555",58.25
"556",58.66
"557",58.64
"558",59.01
"559",59.37
"560",59.12
"561",59.78
"562",59.7
"563",59.58
"564",59.55
"565",58.79
"566",58.66
"567",58.68
"568",59.12
"569",58.56
"570",58.12
"571",58.36
"572",58.38
"573",58.45
"574",58.59
"575",58.84
"576",58.7
"577",58.89
"578",59.08
"579",59.03
"580",58.95
"581",58.54
"582",57.69
"583",56.63
"584",56.96
"585",56.15
"586",55.77
"587",56.27
"588",55.49
"589",56.1
"590",56.16
"591",56.7
"592",57.07
"593",57.07
"594",57.2
"595",57.24
"596",57.05
"597",56.95
"598",57.27
"599",57.08
"600",56.89
"601",56.34
"602",55.59
"603",54.96
"604",53.49
"605",55.21
"606",54.69
"607",54.54
"608",55.72
"609",56.54
"610",56.52
"611",57.12
"612",57.75
"613",58.35
"614",58.71
"615",58.32
"616",58.78
"617",59.59
"618",59.46
"619",60.16
"620",59.97
"621",60.16
"622",59.82
"623",60.45
"624",60.81
"625",61.54
"626",61.36
"627",61.73
"628",62.12
"629",62.41
"630",62.26
"631",61.94
"632",62.64
"633",62.89
"634",62.93
"635",63.06
"636",62.27
"637",62.32
"638",62.63
"639",62.42
"640",62.57
"641",62.37
"642",62.07
"643",62.58
"644",62.82
"645",62.64
"646",62.63
"647",63.02
"648",62.93
"649",62.96
"650",63.1
"651",62.69
"652",63.72
"653",64.13
"654",64.12
"655",64.74
"656",64.59
"657",64.71
"658",64.85
"659",65.2
"660",65.11
"661",64.67
"662",65.13
"663",65.18
"664",65.28
"665",65.44
"666",65.62
"667",65.75
"668",65.92
"669",66.24
"670",66.23
