"","x"
"1",3610
"2",3640
"3",3611
"4",3532
"5",3523
"6",3467
"7",3461
"8",3470
"9",3517
"10",3544
"11",3551
"12",3476
"13",3480
"14",3467
"15",3444
"16",3334
"17",3293
"18",3222
"19",3221
"20",3248
"21",3301
"22",3356
"23",3457
"24",3491
"25",3505
"26",3517
"27",3504
"28",3412
"29",3378
"30",3349
"31",3329
"32",3331
"33",3402
"34",3423
"35",3525
"36",3562
"37",3574
"38",3587
"39",3563
"40",3482
"41",3464
"42",3453
"43",3447
"44",3493
"45",3578
"46",3653
"47",3783
"48",3838
"49",3871
"50",3942
"51",3894
"52",3743
"53",3732
"54",3723
"55",3699
"56",3760
"57",3799
"58",3871
"59",3991
"60",3956
"61",4032
"62",4034
"63",3920
"64",3810
"65",3790
"66",3671
"67",3669
"68",3689
"69",3733
"70",3788
"71",3907
"72",3894
"73",3995
"74",3933
"75",3927
"76",3831
"77",3817
"78",3760
"79",3815
"80",3882
"81",3967
"82",4062
"83",4203
"84",4182
"85",4246
"86",4291
"87",4169
"88",4106
"89",4074
"90",4035
"91",4073
"92",4113
"93",4189
"94",4300
"95",4495
"96",4529
"97",4496
"98",4507
"99",4488
"100",4379
"101",4414
"102",4374
"103",4359
"104",4421
"105",4527
"106",4581
"107",4752
"108",4820
"109",4858
"110",4885
"111",4864
"112",4752
"113",4750
"114",4746
"115",4740
"116",4756
"117",4865
"118",4989
"119",5205
"120",5160
"121",5234
"122",5337
"123",5203
"124",5041
"125",4984
"126",4983
"127",4961
"128",5036
"129",5112
"130",5213
"131",5447
"132",5368
"133",5419
"134",5415
"135",5365
"136",5273
"137",5313
"138",5228
"139",5299
"140",5397
"141",5416
"142",5498
"143",5750
"144",5703
"145",5738
"146",5774
"147",5848
"148",5735
"149",5795
"150",5822
"151",5920
"152",6053
"153",6269
"154",6468
"155",6899
"156",6927
"157",6977
"158",7039
"159",7223
"160",7190
"161",7317
"162",NA
"163",7432
"164",7587
"165",7720
"166",7717
"167",8050
"168",7956
"169",8016
"170",7899
"171",7902
"172",7649
"173",7450
"174",7324
"175",7210
"176",7295
"177",7465
"178",7549
"179",7990
"180",8116
"181",8133
"182",8362
"183",8625
"184",8267
"185",8389
"186",8559
"187",8631
"188",8743
"189",9059
"190",9279
"191",9807
"192",9890
"193",9823
"194",10041
"195",10025
"196",9573
"197",9572
"198",9531
"199",9601
"200",9785
"201",9839
"202",10029
"203",10681
"204",10675
"205",10805
"206",10863
"207",10707
"208",10343
"209",10377
"210",10348
"211",10423
"212",10512
"213",10647
"214",10896
"215",11378
"216",11311
"217",11334
"218",11509
"219",11480
"220",11204
"221",11266
"222",11328
"223",11411
"224",11539
"225",11725
"226",12011
"227",12709
"228",12900
"229",13012
"230",13195
"231",13434
"232",13003
"233",13146
"234",13304
"235",13491
"236",13540
"237",13759
"238",13926
"239",14661
"240",15149
"241",15107
"242",15170
"243",15168
"244",14613
"245",14843
"246",15079
"247",15141
"248",15284
"249",15792
"250",16310
"251",17218
"252",16919
"253",16777
"254",16870
"255",16911
"256",16377
"257",16627
"258",16818
"259",16726
"260",16797
"261",16924
"262",17082
"263",18063
"264",17917
"265",17802
"266",17784
"267",17320
"268",16772
"269",16895
"270",16724
"271",16618
"272",16684
"273",16800
"274",16896
"275",18031
"276",18081
"277",17981
"278",18102
"279",17932
"280",17564
"281",17881
"282",17880
"283",17976
"284",18242
"285",18521
"286",18903
"287",20795
"288",20355
"289",20182
"290",19763
"291",19885
"292",19327
"293",19646
"294",19919
"295",19923
"296",20169
"297",20555
"298",20869
"299",22289
"300",22124
"301",22249
"302",22302
"303",22761
"304",22185
"305",22460
"306",21891
"307",21808
"308",22117
"309",22869
"310",22626
"311",23298
"312",22652
"313",22339
"314",22880
"315",23033
"316",22521
"317",23354
"318",23738
"319",23536
"320",23669
"321",24512
"322",24495
"323",25947
"324",25800
"325",25630
"326",26348
"327",26543
"328",26469
"329",26644
"330",27273
"331",27202
"332",28331
"333",29599
"334",29954
"335",31218
"336",30281
"337",30386
"338",31511
"339",31690
"340",31101
"341",31597
"342",31821
"343",32019
"344",32461
"345",33300
"346",34365
"347",36180
"348",34701
"349",34805
"350",34879
"351",34063
"352",34258
"353",34271
"354",34277
"355",34105
"356",34031
"357",34462
"358",34688
"359",36941
