"","x"
"1",890.19
"2",901.8
"3",888.51
"4",887.78
"5",858.43
"6",850.61
"7",856.02
"8",880.91
"9",908.15
"10",912.75
"11",911
"12",908.22
"13",889.31
"14",893.98
"15",893.91
"16",874.85
"17",852.37
"18",839
"19",840.39
"20",812.94
"21",810.67
"22",816.55
"23",859.59
"24",856.75
"25",873.8
"26",881.17
"27",890.2
"28",910.37
"29",906.68
"30",907.44
"31",906.38
"32",906.68
"33",917.59
"34",917.52
"35",922.79
"36",942.43
"37",939.87
"38",942.88
"39",942.28
"40",940.7
"41",962.6
"42",967.72
"43",963.8
"44",954.17
"45",941.23
"46",941.83
"47",961.54
"48",971.25
"49",961.39
"50",934.45
"51",945.06
"52",944.69
"53",929.03
"54",938.06
"55",922.26
"56",920.45
"57",926.7
"58",951.76
"59",964.18
"60",965.83
"61",959.36
"62",970.05
"63",961.24
"64",947.23
"65",943.03
"66",953.27
"67",945.36
"68",930.46
"69",942.81
"70",946.42
"71",984.12
"72",995.26
"73",1005.57
"74",1025.21
"75",1023.43
"76",1033.19
"77",1027.24
"78",1004.21
"79",1020.02
"80",1047.49
"81",1039.36
"82",1026.19
"83",1003.54
"84",980.81
"85",979.46
"86",979.23
"87",959.89
"88",961.32
"89",972.23
"90",963.05
"91",922.71
"92",951.01
"93",931.07
"94",959.36
"95",963.2
"96",922.19
"97",953.87
"98",927.89
"99",895.17
"100",930.84
"101",893.96
"102",920
"103",888.55
"104",879.82
"105",891.71
"106",870.11
"107",885.99
"108",910.9
"109",936.71
"110",908.87
"111",852.38
"112",871.84
"113",863.49
"114",887.57
"115",898.63
"116",886.36
"117",927.9
"118",947.1
"119",971.25
"120",978.63
"121",963.73
"122",987.06
"123",935.28
"124",908.42
"125",891.33
"126",854
"127",822.25
"128",838.05
"129",815.65
"130",818.73
"131",848.02
"132",880.23
"133",841.48
"134",855.47
"135",859.39
"136",843.94
"137",820.4
"138",820.32
"139",855.99
"140",851.92
"141",878.05
"142",887.83
"143",878.13
"144",846.68
"145",847.54
"146",844.81
"147",859.9
"148",834.64
"149",845.9
"150",850.44
"151",818.84
"152",816.65
"153",802.17
"154",853.72
"155",843.09
"156",815.39
"157",802.41
"158",791.77
"159",787.23
"160",787.94
"161",784.57
"162",752.58
