"","x"
"1",31.69
"2",29.77
"3",31.7
"4",33.06
"5",31.31
"6",32.72
"7",31.18
"8",29.9
"9",29.17
"10",31.48
"11",28.11
"12",32.61
"13",31.31
"14",30.96
"15",28.4
"16",30.68
"17",33.67
"18",28.65
"19",30.62
"20",30.21
"21",28.79
"22",30.92
"23",30.92
"24",28.13
"25",30.51
"26",27.63
"27",34.8
"28",32.1
"29",33.86
"30",32.33
"31",25.69
"32",30.6
"33",32.85
"34",30.31
"35",27.71
"36",30.34
"37",29.14
"38",33.41
"39",33.51
"40",29.9
"41",32.69
"42",32.34
"43",35.01
"44",33.05
"45",31.15
"46",36.36
"47",29.83
"48",33.7
"49",29.81
"50",32.41
"51",35.9
"52",37.45
"53",30.39
"54",31.15
"55",35.75
"56",31.14
"57",30.06
"58",32.4
"59",28.44
"60",36.38
"61",31.73
"62",31.27
"63",28.51
"64",26.01
"65",31.27
"66",35.57
"67",30.85
"68",33.35
"69",35.82
"70",31.78
"71",34.25
"72",31.43
"73",35.97
"74",33.87
"75",28.94
"76",34.62
"77",31.06
"78",38.84
"79",32.25
"80",35.86
"81",32.93
"82",32.69
"83",34.39
"84",33.97
"85",32.15
"86",40.16
"87",36.32
