"","x"
"1",31.42
"2",30.28
"3",33.21
"4",33.98
"5",31.07
"6",32.68
"7",30.61
"8",28.09
"9",29.04
"10",30.08
"11",30.05
"12",29.48
"13",31.58
"14",28.38
"15",25.83
"16",27.53
"17",32.85
"18",28.42
"19",32.14
"20",30.41
"21",27.84
"22",31.95
"23",30.78
"24",27.63
"25",29.5
"26",26.87
"27",32.18
"28",30.46
"29",38.18
"30",32.58
"31",26.53
"32",30.42
"33",35.11
"34",31.12
"35",26.59
"36",27.52
"37",30.22
"38",30.94
"39",31.3
"40",29.95
"41",32.62
"42",32.12
"43",33.92
"44",33.62
"45",30.38
"46",35.75
"47",29.37
"48",33.94
"49",27.38
"50",31.72
"51",34.44
"52",39.03
"53",31.25
"54",32.24
"55",37.99
"56",29.61
"57",31.19
"58",35.01
"59",26.32
"60",37.29
"61",32.81
"62",30.52
"63",28.62
"64",27.32
"65",30.07
"66",36.11
"67",30.32
"68",36.66
"69",33.94
"70",32.98
"71",34.94
"72",31.25
"73",35.32
"74",33.33
"75",25.91
"76",34.59
"77",33.43
"78",37.04
"79",31.39
"80",35.78
"81",33.9
"82",32.3
"83",34.34
"84",36.93
"85",36.65
"86",42.36
"87",36.36
