"","x"
"1",33.2
"2",27.55
"3",31.81
"4",32.5
"5",31.01
"6",34.83
"7",33.19
"8",31.56
"9",29.29
"10",32.62
"11",26.14
"12",35.26
"13",32.9
"14",29.67
"15",31.57
"16",31.21
"17",34.55
"18",27.15
"19",29.99
"20",30.53
"21",29.02
"22",31.58
"23",32.82
"24",28.86
"25",32.13
"26",25.56
"27",34
"28",32.35
"29",32.83
"30",30.56
"31",22.21
"32",30.95
"33",28.44
"34",29.86
"35",28.04
"36",30
"37",28.39
"38",30.1
"39",36.21
"40",29.47
"41",34.45
"42",33.95
"43",35.62
"44",32.27
"45",29.5
"46",36.61
"47",27.86
"48",33.34
"49",29.1
"50",30.57
"51",32.96
"52",37.02
"53",30.11
"54",28.99
"55",36.89
"56",27.55
"57",27.2
"58",30.9
"59",25.99
"60",37.82
"61",34.63
"62",31.43
"63",26.97
"64",24.92
"65",29.56
"66",36.89
"67",29.45
"68",33.33
"69",34.29
"70",31.56
"71",32.86
"72",30.1
"73",34.97
"74",33.98
"75",32.77
"76",35.74
"77",26.54
"78",34.42
"79",33.67
"80",33.18
"81",32.11
"82",31.51
"83",32.86
"84",31.55
"85",29.74
"86",38.98
"87",34.65
