"","x"
"1",28.55
"2",27.37
"3",25.6
"4",29.93
"5",27.61
"6",29.04
"7",27.26
"8",26.21
"9",27.71
"10",27.67
"11",22.79
"12",32.2
"13",25.96
"14",29.65
"15",24.67
"16",29.82
"17",32.42
"18",23.99
"19",27.83
"20",27.34
"21",27.07
"22",27.57
"23",28.43
"24",24.9
"25",27.1
"26",24.73
"27",34.67
"28",30.01
"29",31.55
"30",28.07
"31",26.58
"32",29.39
"33",31.51
"34",30.68
"35",29.88
"36",32.54
"37",26.97
"38",33.39
"39",33.46
"40",29.73
"41",28.2
"42",35.27
"43",31.94
"44",30.56
"45",33.55
"46",31.83
"47",30.8
"48",28.72
"49",27.57
"50",33.62
"51",35.68
"52",35.25
"53",28.25
"54",32.35
"55",29.93
"56",32.74
"57",26.3
"58",28.35
"59",28.96
"60",31.73
"61",30.12
"62",28.58
"63",27.19
"64",25.3
"65",34.18
"66",34.24
"67",30.09
"68",28.42
"69",37.96
"70",27.73
"71",33.84
"72",33.45
"73",32.22
"74",30.84
"75",23.85
"76",29.81
"77",25.97
"78",39.93
"79",30.99
"80",35.69
"81",29.59
"82",28.37
"83",35.82
"84",32.27
"85",29.09
"86",38.25
"87",32.77
