"","x"
"1",22.54
"2",-17.46
"3",-26.46
"4",11.54
"5",6.54
"6",-26.46
"7",9.54
"8",-1.46
"9",-33.46
"10",-14.46
"11",6.54
"12",-9.46
"13",6.54
"14",-1.46
"15",-1.46
"16",0.54
"17",-6.46
"18",-15.46
"19",-5.46
"20",4.54
"21",-7.46
"22",-2.46
"23",-6.46
"24",-2.46
"25",6.54
"26",1.54
"27",7.54
"28",-9.46
"29",-6.46
"30",9.54
"31",10.54
"32",-2.46
"33",-0.46
"34",14.54
"35",-13.46
"36",1.54
"37",-4.46
"38",-5.46
"39",0.54
"40",-13.46
"41",5.54
"42",6.54
"43",14.54
"44",-7.46
"45",-3.46
"46",3.54
"47",3.54
"48",-14.46
"49",16.54
"50",-0.46
"51",2.54
"52",12.54
"53",6.54
"54",13.54
"55",1.54
"56",-0.46
"57",16.54
"58",5.54
"59",7.54
"60",15.54
"61",7.54
"62",15.54
"63",-2.46
"64",4.54
"65",3.54
"66",6.54
"67",9.54
"68",6.54
"69",3.54
"70",2.54
"71",-2.46
"72",7.54
"73",8.54
"74",10.54
"75",0.54
"76",0.54
"77",3.54
"78",-6.46
"79",-12.46
"80",-5.46
"81",3.54
"82",5.54
"83",-8.46
"84",-7.46
"85",-4.46
"86",0.54
"87",3.54
"88",-9.46
"89",3.54
"90",1.54
"91",-0.46
"92",-12.46
"93",-5.46
"94",-11.46
"95",4.54
"96",5.54
"97",-3.46
"98",-9.46
"99",6.54
"100",-6.46
"101",-11.46
"102",-9.46
"103",9.54
"104",3.54
"105",-2.46
"106",0.54
