"","x"
"1",29.9
"2",25.33
"3",27.75
"4",17.93
"5",26.83
"6",35.9
"7",20.51
"8",18.14
"9",31.71
"10",29.31
"11",28.77
"12",28.84
"13",27.31
"14",35.45
"15",27.49
"16",34.38
"17",30.05
"18",20.1
"19",26.66
"20",31.76
"21",15.64
"22",19.99
"23",25.61
"24",17.7
"25",25.89
"26",21.58
"27",20.17
"28",20.25
"29",20.75
"30",22.99
"31",23.73
"32",19.75
"33",22.64
"34",28.53
"35",20.44
"36",21.53
"37",32.37
"38",19.73
"39",20.01
"40",23.94
"41",25.65
"42",22.7
"43",26.05
"44",26.55
"45",19.79
"46",31.14
"47",22.46
"48",24.74
"49",26.67
"50",27.04
"51",21.81
"52",23.28
"53",28.07
"54",26.51
"55",18.14
"56",28.25
"57",25.4
"58",26.17
"59",23.91
"60",20.28
"61",28.97
"62",24.15
"63",21.02
"64",30.78
"65",27.98
"66",25.16
"67",19.82
"68",20.14
"69",26.81
"70",23.32
"71",24.29
"72",20.38
"73",25
