"","x"
"1",9.77
"2",9.27
"3",8.66
"4",9.34
"5",9.94
"6",9.52
"7",9.26
"8",10.04
"9",9.85
"10",9.69
"11",10.47
"12",9.8
"13",9.54
"14",10.3
"15",9.92
"16",9.81
"17",9.2
"18",6.84
"19",9.3
"20",8.36
"21",9.81
"22",8.78
"23",8.81
"24",8.61
"25",9.82
"26",8.77
"27",9.44
"28",9.69
"29",8.42
"30",9.19
"31",9.08
"32",8.83
"33",8.54
"34",8.77
"35",8.95
"36",8.95
"37",10
"38",9.83
"39",10
"40",9.58
"41",8.93
"42",8.72
"43",8.5
"44",8.62
"45",8.69
"46",8.93
"47",8.77
"48",8.51
"49",8.55
"50",9.15
"51",9.24
"52",9.07
"53",10.09
"54",9.01
"55",9.08
"56",9.2
"57",10.4
"58",9.09
"59",10.2
"60",8.01
"61",9.28
"62",7.83
"63",8.54
"64",8.25
"65",9.28
"66",9.21
"67",8.91
"68",9.44
"69",9.27
"70",9.19
"71",9.09
"72",9.89
"73",8.67
"74",9.02
"75",9
"76",9.61
"77",7.89
"78",9.23
"79",9.6
"80",8.95
"81",9.05
"82",9.57
"83",8.97
"84",9.8
"85",8.64
"86",8.84
"87",8.93
"88",8.76
"89",9.67
"90",8.2
"91",8.71
"92",7.75
"93",9.06
"94",7.87
"95",8.89
"96",9.84
"97",9.23
"98",8.55
"99",9.51
"100",10.05
"101",8.37
"102",9.31
"103",9.72
"104",10.07
"105",9.46
"106",10.3
"107",8.16
"108",8.69
"109",10.09
"110",9.47
"111",9.49
"112",10.47
"113",9.55
"114",8.86
"115",8.82
"116",8.05
"117",8.68
"118",8.97
"119",8.71
"120",9.22
"121",9.06
"122",8.59
"123",8.26
"124",10.15
"125",9.22
"126",9.42
"127",9.3
"128",9.1
"129",9.14
"130",9.8
"131",8.37
"132",9.31
"133",8.02
"134",9.08
"135",10.07
"136",9.12
"137",9.61
"138",7.89
"139",9.12
"140",9.17
"141",9.67
"142",8.85
"143",9.69
"144",9.65
"145",9.02
"146",10.38
"147",9.62
"148",8.98
"149",9.05
"150",9.75
"151",8.98
"152",9.3
"153",9.43
"154",9.51
"155",9.17
"156",9.24
"157",7.42
"158",9.09
"159",8.56
"160",9.45
"161",9.02
"162",9.83
"163",8.57
"164",8.69
"165",8.27
"166",8.22
"167",8.99
"168",8.73
"169",8.49
"170",8.17
"171",9.97
"172",9.3
"173",8.65
"174",9.33
"175",9.42
"176",10.07
"177",9.69
"178",9.56
"179",9.11
"180",8.83
"181",9.32
"182",9
"183",9.13
"184",9.43
"185",8.84
"186",9.36
"187",8.55
"188",9.12
"189",10.05
"190",9.36
"191",9.78
"192",9.88
"193",8.93
"194",9.18
"195",8.51
"196",9.51
"197",8.48
"198",9.57
"199",10.47
"200",8.67
"201",9.08
"202",9.27
"203",9.17
"204",9.72
"205",9.2
"206",9.57
"207",9.01
"208",9.43
"209",8.99
"210",9.38
"211",9.83
"212",9.99
"213",9.72
"214",9.32
"215",9.57
"216",10.18
"217",9.68
"218",9.05
"219",9.09
"220",9.05
"221",10.03
"222",9.57
"223",10.27
"224",9.45
"225",9.57
"226",10.01
"227",10.62
"228",9.41
"229",9.27
"230",9.09
"231",9.84
"232",9.22
"233",9.28
"234",8.83
"235",10.02
"236",9.42
"237",10.48
"238",9.73
"239",9.94
"240",8.59
"241",8.47
"242",9.47
"243",8.95
"244",9.45
"245",9.61
"246",9.3
"247",9.26
"248",9.57
