"","x"
"1",319.32
"2",320.36
"3",320.82
"4",322.06
"5",322.17
"6",321.95
"7",321.2
"8",318.81
"9",317.82
"10",317.37
"11",318.93
"12",319.09
"13",319.94
"14",320.98
"15",321.81
"16",323.03
"17",323.36
"18",323.11
"19",321.65
"20",319.64
"21",317.86
"22",317.25
"23",319.06
"24",320.26
"25",321.65
"26",321.81
"27",322.36
"28",323.67
"29",324.17
"30",323.39
"31",321.93
"32",320.29
"33",318.58
"34",318.6
"35",319.98
"36",321.25
"37",321.88
"38",322.47
"39",323.17
"40",324.23
"41",324.88
"42",324.75
"43",323.47
"44",321.34
"45",319.56
"46",319.45
"47",320.45
"48",321.92
"49",323.4
"50",324.21
"51",325.33
"52",326.31
"53",327.01
"54",326.24
"55",325.37
"56",323.12
"57",321.85
"58",321.31
"59",322.31
"60",323.72
"61",324.6
"62",325.57
"63",326.55
"64",327.8
"65",327.8
"66",327.54
"67",326.28
"68",324.63
"69",323.12
"70",323.11
"71",323.99
"72",325.09
"73",326.12
"74",326.61
"75",327.16
"76",327.92
"77",329.14
"78",328.8
"79",327.52
"80",325.62
"81",323.61
"82",323.8
"83",325.1
"84",326.25
"85",326.93
"86",327.83
"87",327.95
"88",329.91
"89",330.22
"90",329.25
"91",328.11
"92",326.39
"93",324.97
"94",325.32
"95",326.54
"96",327.71
"97",328.73
"98",329.69
"99",330.47
"100",331.69
"101",332.65
"102",332.24
"103",331.03
"104",329.36
"105",327.6
"106",327.29
"107",328.28
"108",328.79
"109",329.45
"110",330.89
"111",331.63
"112",332.85
"113",333.28
"114",332.47
"115",331.34
"116",329.53
"117",327.57
"118",327.57
"119",328.53
"120",329.69
"121",330.45
"122",330.97
"123",331.64
"124",332.87
"125",333.61
"126",333.55
"127",331.9
"128",330.05
"129",328.58
"130",328.31
"131",329.41
"132",330.63
"133",331.63
"134",332.46
"135",333.36
"136",334.45
"137",334.82
"138",334.32
"139",333.05
"140",330.87
"141",329.24
"142",328.87
"143",330.18
"144",331.5
"145",332.81
"146",333.23
"147",334.55
"148",335.82
"149",336.44
"150",335.99
"151",334.65
"152",332.41
"153",331.32
"154",330.73
"155",332.05
"156",333.53
"157",334.66
"158",335.07
"159",336.33
"160",337.39
"161",337.65
"162",337.57
"163",336.25
"164",334.39
"165",332.44
"166",332.25
"167",333.59
"168",334.76
"169",335.89
"170",336.44
"171",337.63
"172",338.54
"173",339.06
"174",338.95
"175",337.41
"176",335.71
"177",333.68
"178",333.69
"179",335.05
"180",336.53
"181",337.81
"182",338.16
"183",339.88
"184",340.57
"185",341.19
"186",340.87
"187",339.25
"188",337.19
"189",335.49
"190",336.63
"191",337.74
"192",338.36
