"","x"
"1",22.9
"2",13.8
"3",31.4
"4",30.1
"5",31.8
"6",31
"7",18.3
"8",23.8
"9",31.6
"10",18.9
"11",18.8
"12",31.8
"13",31.1
"14",27
"15",23
"16",19.9
"17",21.5
"18",23.8
"19",22.8
"20",24.8
"21",20.4
"22",25.8
"23",24.3
"24",22.9
"25",23.2
"26",23.8
"27",19.2
"28",18.2
"29",14.5
"30",22.6
"31",20.1
"32",18.6
"33",24.9
"34",25.2
"35",30.1
"36",29.4
"37",23.3
"38",20.4
"39",17.6
"40",14.7
"41",24.5
"42",32.4
"43",32
"44",33.4
"45",37.3
"46",36.7
"47",31.3
"48",26.6
"49",23.8
"50",21.9
"51",26.9
"52",25
"53",25.8
"54",30.5
"55",25.1
"56",21.7
"57",20.7
"58",21.2
"59",22.4
"60",24.2
"61",25.8
"62",29.1
"63",35.6
"64",32.2
"65",29.9
"66",30.5
"67",32.6
"68",29
"69",33.2
"70",35.4
"71",32.8
"72",27.4
"73",25.3
"74",27.6
"75",29.3
"76",26.7
"77",24.5
"78",23.2
"79",30.7
"80",26.5
"81",23.9
"82",24.6
"83",24.4
"84",28.1
"85",26
"86",27.3
"87",27.7
"88",27.7
"89",27
"90",24.2
"91",26.3
"92",25.7
"93",25.3
"94",27.9
"95",27.5
"96",25
"97",23.6
"98",31.6
"99",35.7
"100",35.2
"101",38.8
"102",31.2
"103",32.5
"104",32
"105",33.1
"106",31.8
"107",35
"108",27.7
"109",31.1
"110",26.7
"111",30.9
"112",38.7
"113",41.8
"114",45.6
"115",36
"116",38.5
"117",46.1
"118",46
"119",42.5
"120",35.3
"121",36.8
"122",33.2
"123",34.5
"124",39.5
"125",38.7
"126",32.5
"127",33
"128",33
"129",30.9
"130",30.7
"131",37
"132",36.8
"133",34.7
"134",35.7
"135",31.7
"136",32
"137",37.9
"138",42.4
"139",38.2
"140",35.3
"141",38.4
"142",40.9
"143",39.1
"144",34.1
"145",41.9
"146",32.1
"147",41.9
"148",45.7
"149",56.5
"150",49.4
"151",46.3
"152",50.9
"153",47.1
"154",50.9
"155",53.9
"156",50.9
"157",45.9
"158",43.1
"159",45
"160",48.3
"161",48.6
"162",40.9
"163",41.6
"164",45.7
"165",40.6
"166",40.6
"167",37
"168",36.1
"169",33.9
"170",32.1
"171",34.1
"172",34.2
"173",41.9
"174",39.8
"175",35.1
"176",31.9
"177",34.9
"178",39.8
"179",39
"180",42.9
"181",44.4
"182",42.7
"183",45.2
"184",41
"185",37
"186",37.5
"187",41
"188",45
"189",47.9
"190",56.5
"191",55.6
"192",54.2
"193",52.5
"194",52.4
"195",44.9
"196",40.9
"197",41.1
"198",44.8
"199",46.7
"200",49.4
