"","X8.1"
"1",4.4
"2",7
"3",0
"4",0
"5",0
"6",1.9
"7",1.2
"8",0
"9",0.1
"10",0
"11",0.2
"12",1.8
"13",0.2
"14",0.2
"15",0.2
"16",1.5
"17",9.2
"18",1
"19",0.2
"20",0.4
"21",2.5
"22",3.3
"23",0.2
"24",0.1
"25",0
"26",0
"27",4.8
"28",19.4
"29",0.9
"30",0.1
"31",0
"32",0
"33",0
"34",0
"35",0.2
"36",0.1
"37",0.1
"38",0
"39",3.8
"40",0
"41",0.1
"42",0.1
"43",0.1
"44",0.2
"45",0
"46",0
"47",2.9
"48",2.1
"49",6.7
"50",11.2
"51",6.1
"52",2.1
"53",42.2
"54",12.5
"55",0.1
"56",0.3
"57",0.3
"58",0.2
"59",0
"60",1.2
"61",0.1
"62",0.5
"63",0
"64",0
"65",0
"66",1.7
"67",0.5
"68",1.8
"69",2.1
"70",16.1
"71",0.6
"72",0.2
"73",4
"74",4
"75",1.3
"76",22.4
"77",35.7
"78",8.7
"79",1.2
"80",0.3
"81",0.1
"82",1.1
"83",6.5
"84",7
"85",0.6
"86",0.2
"87",0.2
"88",0.1
"89",0
"90",0
"91",0
"92",3.3
"93",0.3
"94",0.1
"95",0.1
"96",0
"97",1.6
"98",0.3
"99",1.9
"100",0
"101",0
"102",0.3
"103",1.3
"104",0.1
"105",0
"106",1.7
"107",0.1
"108",0.1
"109",0.1
"110",0.2
"111",0
"112",0.1
"113",0.1
"114",0.2
"115",0.1
"116",0.1
"117",0.2
"118",3.7
"119",0.1
"120",0
"121",0
"122",0
"123",0
"124",1.8
"125",20.7
"126",0.1
"127",0.1
"128",0
"129",0
"130",0.1
"131",0
"132",0
"133",0
"134",0.2
"135",0.2
"136",5.6
"137",1.8
"138",7
"139",0.3
"140",0.1
"141",0.2
"142",0
"143",0
"144",0
"145",0
"146",0.1
"147",0.2
"148",0.8
"149",0
"150",0
"151",0.2
"152",0.2
"153",2.6
"154",3.8
"155",1.8
"156",0.1
"157",0.6
"158",0.4
"159",0
"160",0.5
"161",0
"162",0
"163",1.3
"164",0
"165",4.4
"166",1.2
"167",13.8
"168",0
"169",0.9
"170",0.3
"171",0.3
"172",0.6
"173",0.3
"174",2.4
"175",8.4
"176",6.3
"177",2.2
"178",4.4
"179",1.6
"180",7
"181",2.2
"182",1.7
"183",0.6
"184",13.6
"185",2.2
"186",1.1
"187",0.1
"188",2.6
"189",11.4
"190",0.7
"191",5.1
"192",0.1
"193",0.4
"194",3.2
"195",10.2
"196",4.2
"197",8.4
"198",0
"199",2.8
"200",0
"201",7.2
"202",2.5
"203",4.8
"204",0
"205",0
"206",0
"207",1.4
"208",2.9
"209",5.5
"210",0
"211",0
"212",0
"213",0
"214",0.2
"215",0
"216",0
"217",1.9
"218",1.3
"219",0.1
"220",0.1
"221",0
"222",0
"223",0
"224",0.4
"225",8
"226",10.8
"227",3.6
"228",0.1
"229",0.1
"230",0.1
"231",14.8
"232",5.4
"233",0.1
"234",5.3
"235",0.2
"236",0.3
"237",0.2
"238",5
"239",4.9
"240",2.1
"241",6
"242",3.9
"243",0.2
"244",7.5
"245",0.6
"246",0
"247",0.4
"248",1.8
"249",0.1
"250",0
"251",0
"252",0
"253",0
"254",0
"255",1.9
"256",1.7
"257",0.1
"258",0.4
"259",0
"260",1.2
"261",1.2
"262",1.3
"263",7
"264",0.2
"265",2.6
"266",0.9
"267",25
"268",0.6
"269",0
"270",3.3
"271",1
"272",5.4
"273",5.2
"274",0.2
"275",0.7
"276",11.3
"277",0
"278",6.2
"279",6.5
"280",0
"281",9.6
"282",0
"283",0.6
"284",3.7
"285",54
"286",3.4
"287",0.1
"288",1.5
"289",16.2
"290",0
"291",0.1
"292",0
"293",0
"294",4.3
"295",0.2
"296",0.3
"297",1
"298",0
"299",0.1
"300",0.1
"301",24.9
"302",3.5
"303",1.2
"304",2.9
"305",0
"306",2.2
"307",0.7
"308",3.7
"309",0.4
"310",3.8
"311",6.7
"312",0.2
"313",0
"314",0.8
"315",2.4
"316",0.5
"317",0.3
"318",0.2
"319",0.3
"320",0.2
"321",0
"322",1.1
"323",0.4
"324",0.2
"325",0.9
"326",0.2
"327",0
"328",9.9
"329",18
"330",14.3
"331",0.8
"332",4.1
"333",4.6
"334",1.9
"335",0
"336",1.3
"337",0
"338",0
"339",0
"340",0
"341",0.1
"342",0.1
"343",0
"344",0
"345",0.2
"346",0.1
"347",0
"348",0
"349",0.5
"350",0
"351",1.9
"352",2.3
"353",18.5
"354",10.8
"355",8.4
"356",4.2
"357",1.4
"358",0
"359",2.6
"360",11.7
"361",0.2
"362",0.8
"363",2.2
"364",9.1
"365",0.6
"366",2.8
"367",1.3
"368",0.6
"369",5.5
"370",1.3
"371",3.1
"372",15.2
"373",5.8
"374",4.1
"375",0.4
"376",0.1
"377",1.7
