"","x"
"1",0
"2",0
"3",78
"4",22
"5",2
"6",0
"7",0
"8",0
"9",0
"10",10
"11",0
"12",108
"13",328
"14",10
"15",0
"16",6
"17",0
"18",28
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",32
"26",0
"27",2
"28",0
"29",2
"30",0
"31",0
"32",0
"33",118
"34",0
"35",0
"36",0
"37",12
"38",0
"39",0
"40",46
"41",4
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",4
"53",16
"54",0
"55",0
"56",2
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",106
"69",10
"70",0
"71",0
"72",0
"73",0
"74",32
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",2
"86",0
"87",6
"88",0
"89",0
"90",0
"91",2
"92",12
"93",0
"94",0
"95",0
"96",0
"97",0
"98",6
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",48
"108",16
"109",0
"110",18
"111",18
"112",0
"113",26
"114",330
"115",190
"116",0
"117",0
"118",6
"119",0
"120",0
"121",92
"122",4
"123",0
"124",0
"125",0
"126",0
"127",0
"128",24
"129",38
"130",0
"131",0
"132",52
"133",6
"134",6
"135",0
"136",0
"137",0
"138",86
"139",0
"140",0
"141",358
"142",0
"143",0
"144",0
"145",24
"146",2
"147",0
"148",0
"149",0
"150",0
"151",26
"152",2
"153",0
"154",24
"155",0
"156",42
"157",30
"158",4
"159",0
"160",0
"161",6
"162",118
"163",102
"164",14
"165",4
"166",0
"167",0
"168",2
"169",38
"170",56
"171",2
"172",26
"173",6
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",70
"181",82
"182",244
"183",6
"184",30
"185",4
"186",142
"187",2
"188",4
"189",0
"190",4
"191",38
"192",26
"193",0
"194",0
"195",0
"196",6
"197",0
"198",0
"199",0
"200",14
"201",6
"202",0
"203",28
"204",4
"205",0
"206",0
"207",0
"208",0
"209",0
"210",2
"211",0
"212",4
"213",18
"214",0
"215",2
"216",50
"217",12
"218",0
"219",0
"220",28
"221",4
"222",0
"223",0
"224",0
