"","X0.9"
"1",1.6
"2",0.1
"3",0.6
"4",2
"5",0.8
"6",1.4
"7",1.3
"8",2.2
"9",0.1
"10",3
"11",-0.2
"12",-2.6
"13",-3.8
"14",0.9
"15",1.9
"16",-0.4
"17",-6
"18",-5
"19",-4.6
"20",-5.3
"21",-7.3
"22",-8.5
"23",-9.9
"24",-13.1
"25",-10.2
"26",-8.7
"27",0.4
"28",1.9
"29",0.8
"30",-1.6
"31",-0.9
"32",0.5
"33",-4.1
"34",-2.8
"35",-2.6
"36",-3.3
"37",-2.8
"38",-7.6
"39",-5.8
"40",-6.4
"41",-5.9
"42",-5.3
"43",-8.6
"44",-12.6
"45",-15.3
"46",-7.4
"47",0.5
"48",1.1
"49",-2.4
"50",-0.7
"51",-4.5
"52",-0.6
"53",0.3
"54",0.2
"55",0.7
"56",0.8
"57",2.3
"58",0.1
"59",1.1
"60",-1.4
"61",-0.6
"62",0.3
"63",-1.1
"64",-3.6
"65",-1.9
"66",0.1
"67",-0.4
"68",-3.9
"69",-1.2
"70",-4
"71",-4.8
"72",-7.8
"73",-3.1
"74",-4.6
"75",2.2
"76",1
"77",-1.6
"78",-3.2
"79",0.1
"80",-5.2
"81",-6.5
"82",-5.3
"83",0
"84",-6.8
"85",-6.9
"86",-5
"87",-9.4
"88",-9.4
"89",-10.4
"90",-8.4
"91",0.9
"92",-7
"93",-11.7
"94",-9
"95",-7.9
"96",-8.4
"97",-9.8
"98",-13.4
"99",-2.8
"100",-1.2
"101",-1.6
"102",-0.2
"103",-2.6
"104",-3.6
"105",-2.1
"106",0.1
"107",0.1
"108",0.5
"109",0.9
"110",1
"111",0.7
"112",2.4
"113",3
"114",2.7
"115",0
"116",-0.2
"117",-0.3
"118",-3.2
"119",-6.8
"120",-6.8
"121",-6.4
"122",-3.1
"123",-0.5
"124",0.8
"125",2.2
"126",3
"127",4.7
"128",4
"129",3.5
"130",4.4
"131",4.3
"132",4
"133",2.9
"134",1.8
"135",1.8
"136",1.6
"137",1.6
"138",1.8
"139",3.4
"140",4.5
"141",5.8
"142",3.3
"143",4.8
"144",4.1
"145",4.2
"146",1.6
"147",1.1
"148",1.6
"149",2.4
"150",2.5
"151",1.7
"152",2.2
"153",4.1
"154",3.1
"155",3.4
"156",5.5
"157",2.2
"158",3.3
"159",5.6
"160",6.3
"161",6.1
"162",6.2
"163",8.5
"164",5.5
"165",7
"166",4.7
"167",2.3
"168",1.3
"169",-0.2
"170",1.3
"171",2.9
"172",4.5
"173",5.9
"174",4.4
"175",2.2
"176",4.4
"177",4.4
"178",3.4
"179",5.2
"180",6.2
"181",6.5
"182",7
"183",6.1
"184",1.9
"185",3.5
"186",6.9
"187",6.2
"188",6.4
"189",6.5
"190",6.7
"191",6.7
"192",7.6
"193",6.1
"194",5.1
"195",3.6
"196",4.8
"197",7.5
"198",6.1
"199",6.8
"200",6.7
"201",7.9
"202",7
"203",5.8
"204",6
"205",6.1
"206",7.5
"207",7.8
"208",9.1
"209",7.1
"210",6.4
"211",6.8
"212",7.4
"213",6.7
"214",3.7
"215",4.7
"216",3.4
"217",1.4
"218",2.6
"219",2.5
"220",3.2
"221",5.8
"222",7.2
"223",6.2
"224",8.9
"225",7.2
"226",5.5
"227",4.4
"228",4.9
"229",4.7
"230",4.4
"231",3.5
"232",4.2
"233",5
"234",5.2
"235",5.5
"236",3.6
"237",3.4
"238",6.5
"239",6.4
"240",8.8
"241",6.1
"242",4.3
"243",4.5
"244",6.9
"245",4.8
"246",5.8
"247",6
"248",2.6
"249",-1.7
"250",-0.8
"251",-0.8
"252",0.1
"253",-0.1
"254",2
"255",2.6
"256",3.8
"257",7.3
"258",6.3
"259",4.6
"260",6.2
"261",4.2
"262",4.7
"263",4.3
"264",3.1
"265",3.8
"266",7.2
"267",4.6
"268",6.4
"269",6.1
"270",4.5
"271",4.2
"272",2.9
"273",1.1
"274",0.9
"275",2.1
"276",1
"277",0.6
"278",5.3
"279",1.7
"280",0.1
"281",-1.1
"282",-2.4
"283",-5.8
"284",1.7
"285",2.4
"286",0.6
"287",-1.4
"288",2.1
"289",-1.6
"290",-0.2
"291",2.6
"292",0.7
"293",2.3
"294",-1.3
"295",-2.5
"296",-4.9
"297",-4.4
"298",-4.7
"299",-5.4
"300",-4.4
"301",1.3
"302",1.4
"303",-1.3
"304",-1.7
"305",-2.9
"306",-2.8
"307",-2.9
"308",-2.3
"309",-3.1
"310",-0.5
"311",-4.3
"312",-7.1
"313",-7.5
"314",-4.7
"315",-5
"316",-6.4
"317",-8.5
"318",-10.4
"319",-15.2
"320",-10.6
"321",-9.3
"322",-8
"323",-7.9
"324",-7.8
"325",-8.9
"326",-14.2
"327",-3.6
"328",-0.1
"329",-2.4
"330",0.2
"331",-1.3
"332",-6.1
"333",-5.7
"334",-5
"335",-4.2
"336",-3.8
"337",-6.3
"338",-7
"339",-6.2
"340",-6.3
"341",-5.4
"342",-11
"343",-8.5
