"","x"
"1",25.2778
"2",25.0889
"3",24.9444
"4",24.75
"5",24.5555
"6",24.3389
"7",24.0389
"8",23.7667
"9",23.7444
"10",24.0333
"11",24.75
"12",25.0167
"13",25.3
"14",25.68
"15",26.3055
"16",24.7556
"17",26.1833
"18",25.5055
"19",25.8889
"20",25.5167
"21",25.5778
"22",25.6
"23",25.5167
"24",25.3944
"25",25.1889
"26",24.9389
"27",24.6778
"28",24.3833
"29",24.0944
"30",23.8
"31",23.5056
"32",23.2722
"33",22.8722
"34",22.4444
"35",22.4944
"36",23.4222
"37",23.8111
"38",24.3889
"39",25.0722
"40",25.9222
"41",25.2555
"42",25.1555
"43",25.2611
"44",25.3055
"45",25.2111
"46",25.15
"47",25
"48",24.85
"49",24.6444
"50",24.3944
"51",24.1333
"52",23.8833
"53",23.6111
"54",23.3333
"55",23.0444
"56",22.8111
"57",22.95
"58",23.3778
"59",22.2055
"60",23.0444
"61",23.8389
"62",24.5833
"63",25.2222
"64",25.7055
"65",26.5278
"66",26.5167
"67",26.6889
"68",26.8611
"69",26.3555
"70",25.8222
"71",25.1278
"72",24.5333
"73",23.8889
"74",23.25
"75",22.6889
"76",22.1555
"77",21.4944
"78",21.2889
"79",20.9667
"80",20.6833
"81",20.6778
"82",20.8222
"83",22
"84",22.2333
"85",22.4778
"86",23.4167
"87",23.7111
"88",24.6055
"89",25.4
"90",25.6278
"91",25.7389
"92",25.6389
"93",25.4778
"94",25.4556
"95",25.3889
"96",25.3667
"97",25.2111
"98",25.1167
"99",25.0944
"100",24.9722
"101",24.7778
"102",24.55
"103",24.2833
"104",24.0333
"105",24.0722
"106",24.3889
"107",24.6778
"108",24.9833
"109",25.2778
"110",25.6055
"111",25.15
"112",25.2833
"113",25.6722
"114",25.4055
"115",25.5278
"116",25.4389
"117",25.5389
"118",25.2833
"119",24.9444
"120",24.5722
"121",24.1667
"122",23.7222
"123",23.1944
"124",22.6722
"125",22.1611
"126",21.6722
"127",21.1778
"128",20.7666
"129",20.75
"130",21.0278
"131",21.4778
"132",22.1111
"133",22.6111
"134",23.2
"135",23.7944
"136",24.3778
"137",24.9278
"138",24.0111
"139",24.5389
"140",25.1222
"141",25.0278
"142",24.9167
"143",24.7333
"144",24.4389
"145",24.1444
"146",23.8278
"147",23.4444
"148",23.1055
"149",22.6833
"150",22.2944
"151",22.9167
"152",22.4667
"153",22.7111
"154",23.1333
"155",23.3667
"156",23.8111
"157",24.3833
"158",24.9722
"159",25.5889
"160",26.25
"161",26.7278
"162",26.7222
"163",26.9167
"164",26.5167
"165",26.7944
"166",26.8667
"167",26.8555
"168",26.7944
"169",15.5667
"170",14.8611
"171",14.2222
"172",14.2167
"173",14.4944
"174",13.3611
"175",12.1111
"176",13.0389
"177",17.5389
"178",21.0611
"179",23.2055
"180",23.5
"181",25.0389
"182",25.4889
"183",27.6833
"184",26.8333
"185",24.5889
"186",24.0389
"187",22.3055
"188",20.1222
"189",20.3278
"190",16.8055
"191",16.6
"192",14.0111
"193",12.3
"194",11.9667
"195",10.6278
"196",10.5055
"197",10.3611
"198",9.5
"199",9.4889
"200",10.3833
"201",12.4556
"202",19.5333
"203",23.7389
"204",22.85
"205",24.2222
"206",26.0722
"207",24.7389
"208",25.1278
"209",22.1389
"210",18.8
"211",18.85
"212",18.1889
"213",16.8333
"214",16.5889
"215",14.3778
"216",14.7167
"217",14.6167
"218",13.1111
"219",12.8055
"220",12.2556
"221",12.4889
"222",10.9111
"223",10.3333
"224",11.3944
"225",16.2111
"226",20.8167
"227",21.5167
"228",23.9111
"229",25.1778
"230",25.0667
"231",24.4778
"232",24.1889
"233",24.4722
"234",23.5667
"235",22.2667
"236",20.2778
"237",17.6889
"238",15.6111
"239",14.3167
"240",13.1667
"241",12.1667
"242",11.5722
"243",10.7555
"244",10.5944
"245",10.9111
"246",11.6167
"247",10.6944
"248",11.0833
"249",13.9556
"250",22.35
"251",23.6444
"252",22.6611
"253",22.4167
"254",24.5055
"255",24.8778
"256",24.3278
"257",23.0044
"258",22.7167
"259",21.5333
"260",21.2555
"261",20.5333
"262",20.0833
"263",19.4944
"264",17.9
"265",18.0055
"266",16.8278
"267",15.6444
"268",14.2167
"269",12.6222
"270",11.7333
"271",10.9167
"272",11.4222
"273",16.9833
"274",18.7889
"275",19.4944
"276",21.9055
"277",22.8
"278",22.3378
"279",22.1389
"280",23.3222
"281",23.4722
"282",23.5
"283",23.2222
"284",20.3278
"285",15.7
"286",13.2944
"287",12.2111
"288",9.6889
"289",8.8944
"290",7.3944
"291",6.1667
"292",5.9611
"293",5.1611
"294",4.6833
"295",3.8889
"296",5.6
"297",11.7333
"298",17.6222
"299",19.4278
"300",24.6167
"301",24.8833
"302",25.7444
"303",26.1944
"304",25.7333
"305",26.0056
"306",25.65
"307",25.1833
"308",22.8722
"309",18.0944
"310",16.0333
"311",13.9667
"312",12.7222
"313",11.6222
"314",10.1111
"315",9.6
"316",9.0056
"317",8.25
"318",7.7944
"319",7.5667
"320",8.4333
"321",14.6889
"322",18.65
"323",22.4778
"324",25.7
"325",27.3889
"326",28.2833
"327",29.5
"328",28.45
"329",27.4611
"330",26.5667
"331",24.2222
"332",23.5555
"333",20.2278
"334",19.9944
"335",20.2833
"336",19.9167
