"","x"
"1",9.04
"2",7.01
"3",8.45
"4",6.56
"5",5.94
"6",6.76
"7",8.12
"8",7.74
"9",7.87
"10",8.42
"11",8.71
"12",8.02
"13",8.67
"14",9.71
"15",8.39
"16",8.19
"17",9.21
"18",8.25
"19",7.03
"20",8.65
"21",9.15
"22",7.88
"23",7.39
"24",8.08
"25",6.26
"26",8.94
"27",9.01
"28",7.45
"29",8.28
"30",8.21
"31",9.65
"32",7.42
"33",7.06
"34",6.68
"35",7.63
"36",6.81
"37",7.74
"38",8.01
"39",8.49
"40",6.96
"41",8.11
"42",9.16
"43",7.89
"44",8.45
"45",8.38
"46",7.78
"47",8.11
"48",8.27
"49",5.89
"50",7.32
"51",8.15
"52",7.51
"53",7.93
"54",9.17
"55",7.09
"56",7.84
"57",7.09
"58",6.26
"59",7.86
"60",6.88
"61",8.59
"62",7.04
"63",7.79
"64",7.18
"65",6.99
"66",9.31
"67",7.7
"68",7.97
"69",7.58
"70",7.37
"71",6.94
"72",8.4
"73",6.81
"74",7.36
"75",6.92
"76",7.78
"77",7.86
"78",6.8
"79",8.45
"80",6.91
"81",7.82
"82",9.43
"83",8.85
"84",6.13
"85",8.27
"86",8.87
"87",7.16
"88",8.42
"89",7.3
"90",6.02
"91",6.03
"92",8.38
"93",8.17
"94",7.39
"95",7.09
"96",7.74
"97",7.81
"98",7.18
"99",6.02
"100",7.71
"101",7.14
"102",7.59
"103",7.16
"104",7.68
"105",7.21
"106",7.51
"107",6.19
"108",6.55
"109",6.64
"110",6.56
"111",6.64
"112",7.32
"113",7.42
"114",7.51
"115",6.96
"116",6.85
"117",7.58
"118",8.29
"119",8.12
"120",8.34
"121",7.27
"122",7.34
"123",8.02
"124",8.37
"125",7.33
"126",7.49
"127",7.4
"128",6.67
"129",6.72
"130",7.52
"131",8.47
"132",7.32
"133",7.99
"134",7.83
"135",7.67
"136",8.17
"137",7.14
"138",8.1
"139",7.17
"140",8.34
"141",8.8
"142",7.13
"143",8.16
"144",6.85
"145",7.76
"146",8.38
"147",7.88
"148",8.38
"149",6.93
"150",8.26
"151",6.78
"152",7.63
"153",6.72
"154",8.75
"155",7.93
"156",7.92
"157",8.5
"158",8
"159",7.71
"160",6.61
"161",6.98
"162",7.35
"163",8.89
"164",7.73
"165",8.18
"166",8.1
"167",8.66
"168",8.6
"169",8.71
"170",8.81
"171",8.47
"172",8.1
"173",8.35
"174",7.41
"175",7.36
"176",6.61
"177",8.18
"178",8.08
"179",8.58
"180",8.2
"181",8.94
"182",7.22
"183",7.11
"184",8.04
"185",7.26
"186",8.51
"187",8.66
"188",7.93
"189",7.57
"190",7.52
"191",7.67
"192",7.24
"193",7.55
"194",8.54
"195",8.16
"196",7.84
"197",8.48
"198",7.3
"199",7.93
"200",7.29
"201",8.05
"202",8.32
"203",8.5
"204",7.28
"205",7.15
"206",7.71
"207",7.48
"208",8.93
