"","x"
"1",1.6
"2",0
"3",0.8
"4",4.4
"5",24
"6",28.2
"7",0
"8",4.2
"9",2.4
"10",0
"11",6.6
"12",4.4
"13",10
"14",1
"15",0.8
"16",0
"17",17.8
"18",1
"19",3.6
"20",2.6
"21",2.4
"22",0.2
"23",3.6
"24",4.6
"25",0.4
"26",2
"27",4.4
"28",1.8
"29",0
"30",0.6
"31",11
"32",4.4
"33",0
"34",3.6
"35",0.4
"36",9.8
"37",6
"38",14.4
"39",1.6
"40",15.2
"41",0.2
"42",18
"43",27.8
"44",6
"45",7.6
"46",8
"47",2.6
"48",0
"49",0
"50",5.2
"51",18.4
"52",4.8
"53",1.4
"54",4.4
"55",6
"56",8.2
"57",0.8
"58",0
"59",4.4
"60",0
"61",1
"62",1.8
"63",0
"64",0
"65",0
"66",0
"67",0
"68",7
"69",0.6
"70",0
"71",0
"72",6
"73",9.2
"74",0.4
"75",0
"76",0
"77",1
"78",3.6
"79",5.6
"80",3.2
"81",0
"82",0.4
"83",0.2
"84",1.4
"85",7
"86",6.6
"87",3
"88",2.8
"89",1.8
"90",0.2
"91",0
"92",0
"93",2.8
"94",3
"95",3.4
"96",0
"97",3.4
"98",1.8
"99",0
"100",0
"101",0
"102",0
"103",0
"104",5.4
"105",4.2
"106",0.4
"107",0.6
"108",9.2
"109",1.8
"110",0.4
"111",0.6
"112",0
"113",4.2
"114",4.8
"115",0
"116",1.2
"117",0.2
"118",8
"119",0.4
"120",1.6
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",4.2
"130",15
"131",1.8
"132",1.2
"133",2.4
"134",1
"135",0
"136",3.8
"137",0
"138",0
"139",0
"140",0.4
"141",26.6
"142",0.8
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0.6
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0.6
"172",0
"173",24
"174",37.8
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0.2
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",30.8
"193",0
"194",0
"195",6.2
"196",0
"197",9.4
"198",1
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",1.2
"206",0
"207",0.8
"208",0
"209",0
"210",0
"211",10.8
"212",20.6
"213",10.6
"214",0.4
"215",0
"216",0
"217",0
"218",25
"219",0
"220",0
"221",1.4
"222",2.2
"223",0.2
"224",6.6
"225",5
"226",2.8
"227",0.4
"228",0
"229",2
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",1.6
"237",2.2
"238",14.4
"239",0
"240",6
"241",1
"242",4.4
"243",0
"244",0
"245",0
"246",7
"247",6
"248",64.4
"249",2.2
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",9.4
"257",0
"258",0
"259",0
"260",5.8
"261",0.4
"262",11
"263",5.4
"264",3
"265",0.2
"266",6.6
"267",0
"268",0
"269",0
"270",0
"271",0.4
"272",0
"273",0
"274",0
"275",29.2
"276",9
"277",4
"278",12.4
"279",2
"280",3.2
"281",0.4
"282",0
"283",0
"284",35.5
"285",8.8
"286",2.2
"287",0
"288",0
"289",0
"290",6.4
"291",20.6
"292",1.6
"293",0
"294",5.6
"295",4.2
"296",0
"297",9.8
"298",17.6
"299",17.2
"300",4.2
"301",7.6
"302",0.4
"303",0.6
"304",0.6
"305",3.6
"306",1.8
"307",0
"308",1.2
"309",3.2
"310",4.2
"311",0.6
"312",3
"313",6.6
"314",42.8
"315",9
"316",0
"317",14.8
"318",1.4
"319",0
"320",0
"321",4.2
"322",0
"323",0
"324",1
"325",10.2
"326",0.2
"327",0
"328",0
"329",0
"330",0
"331",5.6
"332",1.4
"333",3.8
"334",2.6
"335",6.8
"336",1.4
"337",0
"338",0
"339",0
"340",0
"341",0
"342",1
"343",6.4
"344",10.4
"345",19.8
"346",0.6
"347",1
"348",2.6
"349",5.8
"350",18
"351",10
"352",32
"353",11
"354",4.6
"355",5.2
"356",1.8
"357",8.4
"358",1.8
"359",0.2
"360",1.4
"361",5.8
"362",18.4
"363",1.6
"364",3.4
"365",1.4
"366",0.4
"367",0.4
"368",11.4
"369",7.6
"370",1
"371",0
"372",0
"373",10.4
"374",3.6
"375",5.2
"376",3.4
"377",3.8
"378",0.8
"379",0
"380",3
"381",0
"382",1
"383",0
"384",0.6
"385",5.2
"386",8.8
"387",0
"388",0
"389",0
"390",0
"391",7
"392",0
"393",0
"394",0
"395",6.4
"396",3
"397",0
"398",0
"399",2.6
"400",11
"401",1.2
"402",5.6
"403",6.4
"404",6.8
"405",9.2
"406",12.4
"407",14.8
"408",1
"409",0.8
"410",1.2
"411",0
"412",0
"413",1
"414",3.2
"415",0
"416",1.4
"417",9.6
"418",4
"419",5.8
"420",0
"421",0
"422",4.2
"423",4
"424",8
"425",4.4
"426",3
"427",2.8
"428",4.4
"429",4
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",17.4
"440",3.4
"441",15
"442",21.4
"443",0
"444",0.2
"445",4.2
"446",1
"447",0
"448",0
"449",0.2
"450",0
"451",0
"452",0
"453",11.4
"454",0
"455",0
"456",0
"457",0.6
"458",4
"459",6.2
"460",1.6
"461",0.8
"462",3.8
"463",0
"464",2
"465",4.4
"466",1.4
"467",3
"468",5
"469",1
"470",7.2
"471",0
"472",0.6
"473",4.4
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",1
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",1.2
"489",0
"490",3.2
"491",6.8
"492",0
"493",10.6
"494",0.4
"495",0
"496",0
"497",3.4
"498",13.4
"499",0
"500",0.8
"501",0
"502",0
"503",0
"504",0
"505",0
"506",18
"507",0
"508",0
"509",0
"510",3.4
"511",10.2
"512",0.2
"513",0
"514",0
"515",4.2
"516",2.2
"517",0.2
"518",1.4
"519",0
"520",7.8
"521",0
"522",0.4
"523",0
"524",0
"525",2.8
