"","x"
"1",-23
"2",-20.5
"3",-22
"4",-30.5
"5",-31
"6",-27.5
"7",-26.25
"8",-26.5
"9",-23
"10",-23.5
"11",-27
"12",-26.5
"13",-28.5
"14",-24.25
"15",-12.25
"16",-11.25
"17",-17.5
"18",-18
"19",-15.5
"20",-19.5
"21",-15
"22",-21
"23",-21
"24",-20
"25",-28
"26",-26.5
"27",-23.5
"28",-19.25
"29",-13.5
"30",-19
"31",-25.5
"32",-30
"33",-28
"34",-28.5
"35",-30
"36",-28
"37",-26.5
"38",-24.5
"39",-24.25
"40",-28
"41",-28.25
"42",-27
"43",-20.75
"44",-15.5
"45",-19.5
"46",-22
"47",-19
"48",-12.25
"49",-6
"50",-5.5
"51",-22
"52",-13.5
"53",-17.5
"54",-19.5
"55",-17
"56",-14.25
"57",-7
"58",-2.75
"59",-1.75
"60",-13
"61",-13.5
"62",-18.5
"63",-12.75
"64",-9.25
"65",2
"66",-1
"67",-4.25
"68",-2.75
"69",-1.5
"70",-0.25
"71",-6.25
"72",-15.5
"73",-15.5
"74",-15.5
"75",-12.5
"76",-8.5
"77",-8.5
"78",-12
"79",-13
"80",-11.75
"81",-9.5
"82",-4
"83",-3
"84",-2
"85",-2
"86",-10.75
"87",-9.5
"88",-5
"89",-7.5
"90",-11.5
"91",-10.5
"92",0.75
"93",4.25
"94",7.5
"95",8.5
"96",5
"97",3
"98",2
"99",5.5
"100",-3.5
"101",0.5
"102",5.75
"103",6
"104",-2.5
"105",0
"106",-0.5
"107",5
"108",-5
"109",-4.5
"110",-3.75
"111",-4.5
"112",-0.5
"113",0
"114",0
"115",4.5
"116",1.75
"117",1.5
"118",4
"119",10.75
"120",13.25
"121",14.5
"122",18
"123",12.5
"124",3.25
"125",0
"126",5.75
"127",6.5
"128",12
"129",9.25
"130",9
"131",5
"132",6.25
"133",4
"134",4
"135",9.5
"136",6
"137",4.5
"138",10.5
"139",14.5
"140",13.75
"141",13.5
"142",11
"143",13.5
"144",11
"145",11
"146",15.25
"147",14.5
"148",15.5
"149",17.5
"150",23
"151",24.5
"152",25.5
"153",25.5
"154",21
"155",19.5
"156",20
"157",24.5
"158",27
"159",23
"160",18
"161",15
"162",21.5
"163",25.5
"164",20
"165",15.75
"166",15
"167",14
"168",12.5
"169",24.5
"170",24.5
"171",20.5
"172",20
"173",17.5
"174",14.5
"175",14
"176",18
"177",17
"178",17.75
"179",18.5
"180",20.25
"181",17
"182",17
"183",18
"184",20
"185",24
"186",18.5
"187",21
"188",24.5
"189",20.5
"190",22
"191",17
"192",14.75
"193",13.5
"194",17.5
"195",19
"196",16
"197",17.5
"198",16
"199",16.75
"200",17.5
"201",16.75
"202",16
"203",18
"204",20.5
"205",21
"206",16
"207",19
"208",22
"209",22.75
"210",27
"211",20
"212",16.5
"213",21
"214",16
"215",19
"216",18
"217",17.75
"218",21
"219",22.5
"220",19
"221",13.5
"222",21.75
"223",20.75
"224",16.5
"225",16
"226",18
"227",20
"228",24
"229",19.5
"230",18
"231",15
"232",19.25
"233",18.5
"234",19.75
"235",18.25
"236",15
"237",16.5
"238",16.5
"239",13.5
"240",11.5
"241",10.25
"242",13.5
"243",14
"244",16
"245",14.5
"246",16.5
"247",17.5
"248",12.5
"249",8.75
"250",13
"251",19
"252",13
"253",12.5
"254",7.25
"255",4.25
"256",11.5
"257",13
"258",11.5
"259",12.75
"260",12.5
"261",15
"262",7.5
"263",6
"264",6.25
"265",9
"266",10
"267",9.5
"268",8
"269",5.5
"270",5
"271",7.5
"272",6.5
"273",10
"274",14.5
"275",10
"276",4.5
"277",0.5
"278",0
"279",3
"280",7.25
"281",9.75
"282",10.5
"283",10.5
"284",5.5
"285",3
"286",3.5
"287",10.5
"288",15.5
"289",12.75
"290",6.5
"291",2.5
"292",3.25
"293",2
"294",3.25
"295",1
"296",0
"297",-2
"298",-2
"299",-3
"300",-2.5
"301",-6
"302",-9
"303",-12
"304",-10.5
"305",-1.75
"306",0
"307",3.5
"308",1.5
"309",0.5
"310",-1
"311",-1.25
"312",-1.25
"313",1
"314",-4
"315",-3
"316",-2.5
"317",-2.25
"318",-2.5
"319",-4.5
"320",-4
"321",-5.25
"322",-8
"323",-12
"324",-12.5
"325",-12.25
"326",-9.25
"327",-6.5
"328",-3.5
"329",-1
"330",-1
"331",-9.5
"332",-14.5
"333",-19.5
"334",-13.5
"335",-15
"336",-10.5
"337",-4
"338",-8
"339",-7.5
"340",-0.5
"341",-3
"342",-12.5
"343",-18.5
"344",-23.5
"345",-26
"346",-15.5
"347",-10.5
"348",-2
"349",-22
"350",-19.5
"351",-11.5
"352",-13.5
"353",-8.5
"354",-8.5
"355",-10.5
"356",-12
"357",-7
"358",-14.75
"359",-17.5
"360",-22.25
"361",-25.5
"362",-22.5
"363",-28
"364",-27
"365",-24
"366",-23.75
"367",-24
"368",-27
"369",-22
"370",-18
"371",-16
"372",-18.5
"373",-24
"374",-26.5
"375",-31
"376",-31.5
"377",-27
"378",-16.5
"379",-8.5
"380",-10.5
"381",-19.5
"382",-17.75
"383",-18
"384",-14.5
"385",-14.5
"386",-21.5
"387",-8
"388",-11.25
"389",-18.5
"390",-22.75
"391",-17.5
"392",-11.5
"393",-3
"394",-4
"395",-1
"396",-2.5
"397",-24.25
"398",-32.5
"399",-32.5
"400",-32.5
"401",-28.5
"402",-21.5
"403",-13.5
"404",-15
"405",-20
"406",-19.5
"407",-9.5
"408",-7.25
"409",-7.5
"410",-7.5
"411",-20.5
"412",-31
"413",-27.75
"414",-27
"415",-24
"416",-14
"417",-16.25
"418",-18.5
"419",-23
"420",-13.5
"421",-6
"422",-14
"423",-19.75
"424",-18
"425",-19
"426",-29
"427",-29
"428",-26
"429",-21.75
"430",-19.25
"431",-16.5
"432",-9.75
"433",-4.5
"434",-6
"435",1
"436",-6.5
"437",-7.25
"438",-8.5
"439",-17
"440",-19.5
"441",-20
"442",-21
"443",-20.25
"444",-18
"445",-16
"446",-15.5
"447",-9.5
"448",-8
"449",-3.5
"450",-2.25
"451",-2.75
"452",-6.5
"453",-6.5
"454",-6.5
"455",-6
"456",-6
"457",-1
"458",1.75
"459",0.5
"460",2.5
"461",-1.5
"462",-2.5
"463",-4.5
"464",-9
"465",-8
"466",-3
"467",-5
"468",-3.5
"469",2.5
"470",1
"471",5.5
"472",-2.5
"473",-2.5
"474",-0.5
"475",1
"476",5
"477",9
"478",9.75
"479",14.5
"480",6
"481",4.5
"482",1
"483",1.5
"484",2.25
"485",5
"486",5
"487",6.75
"488",8
"489",7.5
"490",8.5
"491",-5
"492",-1.5
"493",15.5
"494",11.75
"495",10
"496",12
"497",19
"498",21.5
"499",18
"500",16.5
"501",17.75
"502",19.25
"503",21
"504",18.5
"505",14
"506",10.5
"507",14.5
"508",10
"509",9.75
"510",9.5
"511",6
"512",7.5
"513",12
"514",6.5
"515",5.75
"516",13
"517",12
"518",14
"519",10
"520",10.5
"521",5.5
"522",14
"523",10.5
"524",10.75
"525",8.5
"526",10.5
"527",14
"528",16.5
"529",13
"530",12.25
"531",12.5
"532",15
"533",18.5
"534",19.75
"535",17.5
"536",18.75
"537",22
"538",17.5
"539",17.5
"540",14.5
"541",15.5
"542",17.5
"543",15
"544",15.5
"545",14.75
"546",18.5
"547",20
"548",24
"549",22
"550",22
"551",22
"552",20.5
"553",17
"554",18.5
"555",20.25
"556",18
"557",18
"558",19.5
"559",18.25
"560",18
"561",18.5
"562",18.5
"563",19.75
"564",21.75
"565",20
"566",20.5
"567",24.5
"568",24.5
