"","x"
"1",-10.4
"2",-7.8
"3",-15.55
"4",-16.6
"5",-17.5
"6",-14.25
"7",-17.3
"8",-15.6
"9",-4.05
"10",-6.25
"11",-10.85
"12",-13.4
"13",-1.5
"14",1.6
"15",1.45
"16",-1.15
"17",-4.25
"18",-5.4
"19",-5.15
"20",-2.25
"21",-2.15
"22",1.1
"23",-0.15
"24",-4.55
"25",0.95
"26",2.2
"27",4.35
"28",8.1
"29",-7.9
"30",-21.8
"31",-24.8
"32",-21.15
"33",-17.2
"34",-23.35
"35",-23.65
"36",-12.9
"37",-5.7
"38",-3.6
"39",-11.35
"40",-19.55
"41",-10.85
"42",4.75
"43",8.5
"44",3.15
"45",-3.8
"46",2.8
"47",-0.45
"48",-1.5
"49",-0.6
"50",4.45
"51",8.05
"52",7
"53",-5.2
"54",-7.5
"55",0.7
"56",6.5
"57",9.75
"58",7.45
"59",1
"60",3.4
"61",-2.95
"62",1.3
"63",4.3
"64",0.5
"65",2.4
"66",1.8
"67",0.45
"68",6.05
"69",3.7
"70",-4.1
"71",-4.6
"72",-4.05
"73",2.6
"74",0.1
"75",-2.75
"76",-6.3
"77",-2.9
"78",4.3
"79",8.3
"80",8.35
"81",5
"82",2.25
"83",3.35
"84",3.2
"85",2.15
"86",3.9
"87",0.1
"88",-1.25
"89",-0.8
"90",-3.65
"91",3.75
"92",11
"93",6.2
"94",4.6
"95",2.2
"96",3.25
"97",7.75
"98",4.15
"99",0.2
"100",1.15
"101",9.1
"102",13.95
"103",6.1
"104",6.1
"105",8.8
"106",13.6
"107",9.25
"108",7.7
"109",9.2
"110",9.55
"111",4.7
"112",5.9
"113",5.55
"114",7.05
"115",1.3
"116",0.05
"117",4.65
"118",8.1
"119",12.2
"120",11.25
"121",4.3
"122",3.75
"123",4.6
"124",6.3
"125",7
"126",8.25
"127",6.5
"128",9.85
"129",10
"130",13.25
"131",14.9
"132",15.9
"133",16.95
"134",13.1
"135",11.15
"136",13.5
"137",14.7
"138",12.2
"139",10.35
"140",9.5
"141",12.4
"142",12.05
"143",17.45
"144",17.3
"145",7.85
"146",13.7
"147",15.5
"148",13.4
"149",15.65
"150",9.1
"151",9.7
"152",9.45
"153",9.75
"154",12.15
"155",14.6
"156",16.4
"157",15.15
"158",18.65
"159",13.7
"160",10.05
"161",14.4
"162",16.1
"163",13.7
"164",12
"165",12.7
"166",14.4
"167",15.85
"168",19.25
"169",20.95
"170",20.55
"171",19.05
"172",20.45
"173",17.4
"174",22
"175",20.55
"176",21.8
"177",18.9
"178",23.4
"179",22.15
"180",15.55
"181",13.4
"182",14.5
"183",16.2
"184",18.2
"185",16.95
"186",12.75
"187",13.3
"188",9.95
"189",14
"190",15.65
"191",18.75
"192",20.25
"193",16.5
"194",14.6
"195",15.2
"196",15.75
"197",15.45
"198",18.05
"199",17.3
"200",14.85
"201",15.65
"202",18.5
"203",22.05
"204",24.75
"205",17.65
"206",21
"207",23.95
"208",22.35
"209",21.3
"210",20.45
"211",19.5
"212",24.5
"213",19.05
"214",8.45
"215",11.25
"216",15.25
"217",19.2
"218",20.4
"219",17.6
"220",14.85
"221",16.65
"222",22.25
"223",18.1
"224",16.65
"225",19.5
"226",21
"227",19.45
"228",14.25
"229",15.75
"230",16.3
"231",16.85
"232",18.15
"233",13.55
"234",15.35
"235",15.55
"236",19.25
"237",19.25
"238",18.35
"239",14.75
"240",15.35
"241",19.45
"242",19.7
"243",17.3
"244",15.7
"245",17.15
"246",20.05
"247",20.15
"248",19.3
"249",21.05
"250",20.75
"251",15.05
"252",12.9
"253",12.15
"254",6.95
"255",8.35
"256",11.8
"257",14.6
"258",16.8
"259",19.8
"260",10.4
"261",2.05
"262",4.75
"263",5.25
"264",6.8
"265",10.4
"266",7.3
"267",10.05
"268",4.45
"269",8.8
"270",6.85
"271",9.7
"272",7.85
"273",16.8
"274",17.5
"275",10.95
"276",9
"277",8.65
"278",10.4
"279",13.2
"280",11.95
"281",14.7
"282",15.55
"283",13.35
"284",12.4
"285",14.75
"286",17.35
"287",12.55
"288",13.35
"289",9.35
"290",11.65
"291",5.25
"292",2.1
"293",7.65
"294",10.7
"295",14.55
"296",6.95
"297",8.05
"298",5.65
"299",6.6
"300",1.95
"301",-7.2
"302",-8.3
"303",-2.85
"304",7.7
"305",10.1
"306",13.6
"307",7.45
"308",7.35
"309",6.05
"310",6.95
"311",6.35
"312",3.15
"313",0.25
"314",0.95
"315",2.35
"316",3.6
"317",2.2
"318",-0.45
"319",-4.3
"320",-5.05
"321",0.35
"322",-3.55
"323",-5.4
"324",0.25
"325",1.65
"326",2.55
"327",4.55
"328",1.6
"329",-0.8
"330",-4.05
"331",-11.5
"332",-11.6
"333",-1.05
"334",-1
"335",3.45
"336",6
"337",5.3
"338",3.15
"339",9.3
"340",6.1
"341",0.7
"342",-4.85
"343",-4.65
"344",2.35
"345",2.3
"346",0.55
"347",5.65
"348",2.25
"349",-5.65
"350",-2.85
"351",-0.1
"352",2
"353",5.5
"354",-3.3
"355",-8.8
"356",-3.95
"357",-4.9
"358",-10.4
"359",-20.35
"360",-17
"361",-17.7
"362",-8.95
"363",-12.5
"364",-4.15
"365",-0.95
"366",-14.35
"367",-13.15
"368",-1.1
"369",1.85
"370",0.5
"371",-5.6
"372",-13.6
"373",-24.5
"374",-20.8
"375",-7.3
"376",-8.05
"377",-7.3
"378",-3.7
"379",-0.65
"380",-8.1
"381",-4.5
"382",1.85
"383",2.1
"384",2.85
"385",0.2
"386",4.4
"387",1.2
"388",-8.95
"389",-9
"390",-10.4
"391",-3.85
"392",0.6
"393",0.95
"394",0.95
"395",4.85
"396",8.9
"397",-28.55
"398",-35.55
"399",-35.9
"400",-34.75
"401",-23.4
"402",-14.8
"403",-8.5
"404",-14.05
"405",-13.2
"406",-3.8
"407",-7.65
"408",-6.45
"409",-2.55
"410",-9.3
"411",-12.6
"412",-17.45
"413",-22.85
"414",-24.45
"415",-16.1
"416",-7.15
"417",-6
"418",-5.9
"419",0.45
"420",1.55
"421",-2
"422",-8.2
"423",-9.9
"424",-7.05
"425",-19.75
"426",-25
"427",-22.85
"428",-20.05
"429",-8.7
"430",-5.55
"431",2.4
"432",-0.8
"433",-1.35
"434",2.45
"435",4.9
"436",-8.55
"437",-0.7
"438",-8.05
"439",-8.25
"440",-11.2
"441",-15.25
"442",-13.75
"443",-7
"444",-8.2
"445",-6.1
"446",3.05
"447",2.4
"448",1.3
"449",2.2
"450",5.7
"451",2.8
"452",3.8
"453",4.35
"454",0
"455",1.55
"456",3.55
"457",1.2
"458",-0.25
"459",1.3
"460",2.6
"461",4.95
"462",6.35
"463",4.75
"464",-3.1
"465",-3.8
"466",1.15
"467",5.8
"468",6.8
"469",8.6
"470",8
"471",12
"472",-4.65
"473",0.8
"474",9.6
"475",13.05
"476",12.95
"477",12.2
"478",9.15
"479",2.4
"480",4.55
"481",2
"482",2.1
"483",1.35
"484",3.9
"485",6.5
"486",8.4
"487",11.4
"488",8.3
"489",8.3
"490",8.85
"491",10.2
"492",15.9
"493",13.35
"494",10.55
"495",12.7
"496",13.65
"497",9.85
"498",6.5
"499",7.5
