"","x"
"1",26
"2",28
"3",25.7
"4",21.9
"5",16.4
"6",14.1
"7",13.6
"8",14.5
"9",16.7
"10",18.6
"11",19.5
"12",24.5
"13",25.1
"14",27
"15",23.5
"16",20.5
"17",18.2
"18",14.2
"19",14
"20",15.6
"21",19.3
"22",19.8
"23",20.7
"24",25.3
"25",26.9
"26",26.1
"27",21.6
"28",21
"29",16.7
"30",13.7
"31",13.3
"32",14.5
"33",18.1
"34",20.3
"35",19.9
"36",25.2
"37",28.6
"38",25.4
"39",26
"40",19.2
"41",17.8
"42",14.5
"43",13.8
"44",14.5
"45",15.8
"46",18.4
"47",19.8
"48",23.1
"49",23.9
"50",26.8
"51",22.9
"52",19.2
"53",18.1
"54",13.9
"55",15.7
"56",14
"57",17.7
"58",18.7
"59",22.5
"60",24.2
"61",25
"62",27
"63",24
"64",20.2
"65",16.7
"66",14.3
"67",14.1
"68",14.8
"69",16.3
"70",17
"71",21.3
"72",25
"73",25.3
"74",26.2
"75",23.6
"76",18.5
"77",16.4
"78",13.3
"79",12.8
"80",16.5
"81",15.4
"82",21
"83",21.4
"84",23.7
"85",24
"86",24.7
"87",22.6
"88",19.5
"89",18.4
"90",14.1
"91",13.3
"92",13.8
"93",17.1
"94",20
"95",21.7
"96",21.8
"97",28
"98",26.1
"99",25.2
"100",19
"101",16.5
"102",15.6
"103",13.9
"104",14.6
"105",16.9
"106",19.6
"107",22.2
"108",26
"109",24.3
"110",24.5
"111",22.9
"112",21.6
"113",18.5
"114",13.8
"115",13.8
"116",16.4
"117",19.2
"118",20.7
"119",22.9
"120",26.6
"121",29.5
"122",27.8
"123",23.2
"124",22.2
"125",17.1
"126",14.1
"127",13.8
"128",14.7
"129",18.7
"130",20.3
"131",21.7
"132",23.6
"133",27.4
"134",26.2
"135",25.4
"136",20.9
"137",17.1
"138",13.4
"139",13
"140",17.7
"141",17
"142",19.5
"143",25.4
"144",23.7
"145",24.2
"146",28.7
"147",24.3
"148",18.6
"149",17.2
"150",13.7
"151",13.2
"152",15.5
"153",16.8
"154",18
"155",20.8
"156",24.2
"157",23.9
"158",25.8
"159",22.3
"160",19.8
"161",18.2
"162",14.9
"163",12.8
"164",15.4
"165",15.6
"166",20
"167",22.7
"168",23.4
"169",23.8
"170",24.6
"171",26.1
"172",22.2
"173",17.9
"174",14
"175",13.4
"176",14.9
"177",16.1
"178",20.3
"179",21.6
"180",23.6
"181",23.1
"182",25.9
"183",25.3
"184",19.9
"185",16.6
"186",13.6
"187",13.2
"188",15.5
"189",16.7
"190",18.2
"191",20.9
"192",22.5
"193",24.4
"194",25.9
"195",21.5
"196",21.1
"197",17
"198",14.9
"199",13.8
"200",15
"201",18.5
"202",19.2
"203",22.5
"204",22.5
"205",28.1
"206",24.4
"207",24.9
"208",21.8
"209",18.3
"210",15.2
"211",14.8
"212",15.7
"213",18.6
"214",21
"215",21.7
"216",24.7
"217",25.7
"218",26.9
"219",24.5
"220",21.4
"221",18
"222",14
"223",13.5
"224",13.9
"225",17.2
"226",19.4
"227",22.2
"228",24.6
"229",26
"230",25.4
"231",24.7
"232",20.7
"233",17.5
"234",14.6
"235",14.8
"236",14.4
"237",17.5
"238",20.6
"239",22.9
"240",26.1
