"","x"
"1",33.3
"2",46
"3",43
"4",55
"5",51.8
"6",57.5
"7",74.8
"8",75.6
"9",66.3
"10",46.2
"11",37.8
"12",37.6
"13",35.6
"14",35.2
"15",48.1
"16",50
"17",46.8
"18",64.6
"19",81
"20",74.9
"21",64.9
"22",45.5
"23",41.4
"24",31.6
"25",40
"26",38.4
"27",40.8
"28",52.8
"29",58.2
"30",72.1
"31",76.3
"32",76
"33",64.8
"34",52.6
"35",43.6
"36",27.2
"37",30.1
"38",36.2
"39",50.2
"40",56
"41",66
"42",72.7
"43",78.1
"44",77
"45",65.7
"46",54.4
"47",45
"48",39.1
"49",38.1
"50",33.4
"51",46.8
"52",48
"53",56
"54",70
"55",77.2
"56",75
"57",64.3
"58",52.6
"59",39.6
"60",29.3
"61",29.2
"62",42.9
"63",44.3
"64",48.5
"65",55.5
"66",68
"67",74.1
"68",78.2
"69",65.2
"70",53.4
"71",46.1
"72",45.7
"73",29.4
"74",33.4
"75",41.9
"76",52.4
"77",59.9
"78",64.5
"79",71.2
"80",73.4
"81",66.8
"82",52.8
"83",44.4
"84",32
"85",38.6
"86",38.7
"87",48.2
"88",51.9
"89",62.3
"90",66.6
"91",79
"92",78.2
"93",65.9
"94",55.1
"95",46.4
"96",29.8
"97",32.8
"98",39.6
"99",45.5
"100",51.4
"101",54.2
"102",65.9
"103",75.2
"104",77.8
"105",63.5
"106",55.6
"107",43
"108",37.8
"109",26.4
"110",36.6
"111",47.6
"112",53.4
"113",56.3
"114",66.6
"115",79.5
"116",76.4
"117",64.7
"118",49.4
"119",37.2
"120",29.2
"121",20.4
"122",35.2
"123",36.2
"124",46.8
"125",54.5
"126",69.6
"127",80.4
"128",75.4
"129",65.9
"130",59.6
"131",47.6
"132",38.5
"133",34.2
"134",34.2
"135",42.6
"136",47.1
"137",55.2
"138",73.1
"139",72.8
"140",69.4
"141",63.8
"142",54.8
"143",28
"144",29.6
"145",34.2
"146",34.4
"147",40.8
"148",53.1
"149",63.9
"150",71.8
"151",79.4
"152",76.7
"153",66.4
"154",49.4
"155",39.6
"156",33.9
"157",36.6
"158",38
"159",42.4
"160",49.6
"161",61.1
"162",68.4
"163",78.1
"164",74.4
"165",65.6
"166",51.2
"167",40.5
"168",31
"169",30
"170",42.6
"171",50.8
"172",53.4
"173",62.3
"174",76.8
"175",78.4
"176",75.9
"177",62.5
"178",51.5
"179",50
"180",35
"181",26.8
"182",34.8
"183",45
"184",44.6
"185",64
"186",72.8
"187",77.7
"188",73
"189",69.8
"190",53.2
"191",42.3
"192",44
"193",38.4
"194",31.2
"195",42.6
"196",50
"197",59.8
"198",62.8
"199",78.4
"200",73.3
"201",65.2
"202",50.2
"203",44.9
"204",31
"205",24.8
"206",44.6
"207",39.4
"208",52.1
"209",65.7
"210",69.8
"211",77.4
"212",72.4
"213",66.6
"214",57
"215",40.8
"216",26.6
"217",32.2
"218",37.6
"219",41.6
"220",52.4
"221",63.4
"222",69.3
"223",77.1
"224",72.2
"225",65.2
"226",52.8
"227",40
"228",33.6
"229",33
"230",45.9
"231",47.1
"232",53.6
"233",62.2
"234",74.4
"235",76.6
"236",75.4
"237",62.3
"238",55.2
"239",48
"240",32.4
"241",36.3
"242",38.8
"243",40.7
"244",49.2
"245",65.4
"246",70.8
"247",78.6
"248",74.4
"249",60.5
"250",53.9
"251",47.6
"252",31.6
"253",33
"254",37
"255",48.5
"256",50.5
"257",63.5
"258",70.9
"259",78.6
"260",74
"261",64.4
"262",48.4
"263",40.9
"264",28
"265",30.6
"266",33
"267",45.7
"268",46.8
"269",54.5
"270",68.4
"271",79.6
"272",76.9
"273",64.9
"274",54.8
"275",38.1
"276",41.4
"277",28
"278",44.3
"279",44.9
"280",50.6
"281",52.1
"282",73
"283",77.6
"284",76.8
"285",66.4
"286",49.5
"287",37.9
"288",27.4
"289",34.5
"290",39.9
"291",39.8
"292",53.4
"293",63.6
"294",71
"295",82.4
"296",77.1
"297",61.4
"298",54.6
"299",35.4
"300",25.6
"301",29.6
"302",32.5
"303",44.9
"304",49.2
"305",59.4
"306",70.4
"307",77.3
"308",73.8
"309",66.5
"310",51.9
"311",45.6
"312",26.6
"313",24.4
"314",19.3
"315",44
"316",49
"317",51.8
"318",69.2
"319",81.2
"320",75.8
"321",65.1
"322",57.2
"323",40.8
"324",36.4
"325",37.4
"326",42.4
"327",51.8
"328",55.4
"329",65
"330",65.2
"331",78.2
"332",77.5
"333",66.7
"334",60.5
"335",43.4
"336",33.5
"337",32.5
"338",39.8
"339",39.7
"340",48
"341",57.6
"342",69.2
"343",75.2
"344",76.2
"345",69.8
"346",51
"347",36.1
"348",32
"349",33.4
"350",37
"351",44.2
"352",54.4
"353",61.1
"354",79
"355",79
"356",75.1
"357",62.4
"358",50.1
"359",39.3
"360",30.5
"361",11.2
"362",32.6
"363",41.9
"364",48.2
"365",62.8
"366",67.6
"367",78.8
"368",77.8
"369",68.6
"370",54.2
"371",45.8
"372",36.5
"373",36.9
"374",35.8
"375",39.6
"376",50.2
"377",55.8
"378",68.9
"379",76.8
"380",74.2
"381",67.2
"382",51
"383",35.1
"384",35.2
"385",32
"386",30.5
"387",44.4
"388",54.6
"389",61
"390",68.8
"391",77
"392",76.4
"393",65
"394",51.8
"395",42.6
"396",39
"397",35.2
"398",39.1
"399",45.8
"400",52.8
"401",65.2
"402",74.8
"403",78.1
"404",78.2
"405",63.4
"406",55
"407",38.6
"408",35
"409",36.3
"410",37.3
"411",45.4
"412",46.7
"413",63
"414",68.4
"415",71.8
"416",72.2
"417",61.2
"418",49.7
"419",45.1
"420",35.6
"421",36.8
"422",33.6
"423",41
"424",48.1
"425",55.4
"426",68.6
"427",81.5
"428",78.2
"429",65.2
"430",56.9
"431",43.2
"432",37.4
"433",34.6
"434",39.7
"435",47.7
"436",59
"437",62.4
"438",66.6
"439",79.2
"440",75.2
"441",69.6
"442",56.6
"443",42.9
"444",37.2
"445",30.6
"446",36
"447",42.8
"448",51.2
"449",62
"450",65
"451",77.1
"452",75.6
"453",67.2
"454",55.9
"455",39.8
"456",34.2
"457",35
"458",37.2
"459",41.9
"460",52.6
"461",62.2
"462",68.6
"463",81.4
"464",76
"465",66.7
"466",59.2
"467",44.8
"468",34.8
"469",34.2
"470",37.4
"471",40.2
"472",54.8
"473",60.2
"474",71.8
"475",78.3
"476",76.8
"477",64.8
"478",48.5
"479",38.4
"480",37.2
"481",30.7
"482",42.7
"483",46.8
"484",51
"485",64.4
"486",66.8
"487",75.8
"488",73.4
"489",68.6
"490",56
"491",36.4
"492",31.8
"493",34.7
"494",35.4
"495",39.2
"496",51.3
"497",59.4
"498",67.2
"499",77.4
"500",74.7
"501",68
"502",55
"503",41.6
"504",32.9
"505",14.5
"506",29.7
"507",43.5
"508",54.6
"509",62.5
"510",70.5
"511",78.1
"512",74.4
"513",70.5
"514",52.1
"515",48
"516",35
"517",32.7
"518",41.7
"519",44.7
"520",56.1
"521",59.2
"522",71.3
"523",79.7
"524",76.4
"525",66.2
"526",57.1
"527",46.3
"528",40.4
"529",34.5
"530",39.5
"531",43.2
"532",51.7
"533",60.7
"534",69
"535",79
