"","x"
"1",16.69
"2",15.58
"3",15.96
"4",16.18
"5",14.43
"6",13.78
"7",14.66
"8",16.53
"9",15.25
"10",15.35
"11",15.75
"12",14.96
"13",15.72
"14",16.27
"15",15.56
"16",15.9
"17",16.58
"18",16.09
"19",14.88
"20",15.97
"21",16.02
"22",15.55
"23",14.84
"24",15.99
"25",14.29
"26",15.72
"27",17.43
"28",16.94
"29",15.73
"30",15.87
"31",17.21
"32",15.43
"33",14.1
"34",13.72
"35",14.65
"36",13.34
"37",15.04
"38",14.93
"39",15.68
"40",14.5
"41",14.13
"42",16.17
"43",15.22
"44",14.71
"45",15.16
"46",15.65
"47",15.71
"48",14.98
"49",14.15
"50",15.12
"51",14.64
"52",14.51
"53",14.68
"54",17.41
"55",15.29
"56",14.66
"57",14.59
"58",14.32
"59",14.82
"60",14.68
"61",15.41
"62",15.56
"63",13.58
"64",14.07
"65",14.21
"66",17.23
"67",16.44
"68",15.55
"69",15.12
"70",14.37
"71",13.44
"72",15.42
"73",15.16
"74",14.81
"75",14.88
"76",14.93
"77",15.74
"78",15.14
"79",16.39
"80",14.46
"81",15.4
"82",15.5
"83",15.45
"84",14.1
"85",16.3
"86",15.09
"87",14.72
"88",16.62
"89",14.87
"90",14.72
"91",14.44
"92",15.22
"93",15.14
"94",15.14
"95",15.91
"96",14.71
"97",14.46
"98",14.71
"99",14.13
"100",14.24
"101",14.78
"102",13.53
"103",14.53
"104",14.48
"105",14.57
"106",15.06
"107",14.72
"108",14.5
"109",15.13
"110",14.3
"111",14.72
"112",15.37
"113",15.13
"114",14.23
"115",15.46
"116",13.89
"117",14.52
"118",14.83
"119",15.01
"120",15.47
"121",15.52
"122",13.93
"123",14.91
"124",15.76
"125",15.52
"126",14.36
"127",14.8
"128",14.74
"129",13.54
"130",13.76
"131",16.27
"132",13.3
"133",13.4
"134",14.08
"135",15.06
"136",13.93
"137",16.78
"138",14.56
"139",14.65
"140",15
"141",16.16
"142",14.62
"143",14.99
"144",14.62
"145",14.59
"146",14.3
"147",15.15
"148",15.13
"149",15.87
"150",15.31
"151",14.78
"152",15.94
"153",14.42
"154",15.83
"155",15.55
"156",14.8
"157",15.84
"158",14.93
"159",14.54
"160",14.51
"161",14.1
"162",15.68
"163",15.72
"164",15.18
"165",15.45
"166",15.76
"167",17.49
"168",14.94
"169",15.54
"170",16.9
"171",15.44
"172",15.79
"173",15.38
"174",14.36
"175",14.46
"176",14.43
"177",14.18
"178",16.01
"179",15.58
"180",14.77
"181",15.36
"182",14.73
"183",15.47
"184",16.24
"185",14.13
"186",14.84
"187",15.58
"188",14.63
"189",15.1
"190",15.02
"191",15.16
"192",14
"193",15.68
"194",14.5
"195",15.4
"196",15.12
"197",14.54
"198",13.94
"199",14.78
"200",14.28
"201",15.04
"202",16.06
"203",15.94
"204",13.91
"205",15.36
"206",15.34
"207",14.67
"208",15.88
