"","x"
"1",11.506
"2",11.022
"3",14.405
"4",14.442
"5",16.524
"6",17.918
"7",18.959
"8",18.309
"9",18.16
"10",16.691
"11",14.48
"12",17.862
"13",12.082
"14",10.558
"15",12.138
"16",14.442
"17",16.152
"18",17.714
"19",19.015
"20",19.164
"21",17.9
"22",16.933
"23",13.364
"24",11.468
"25",10
"26",10.985
"27",12.993
"28",14.48
"29",16.134
"30",17.862
"31",19.238
"32",19.089
"33",18.067
"34",15.576
"35",14.926
"36",12.398
"37",12.435
"38",12.416
"39",13.067
"40",15.093
"41",16.766
"42",18.68
"43",19.796
"44",19.424
"45",17.398
"46",16.877
"47",13.866
"48",12.658
"49",13.048
"50",11.301
"51",12.063
"52",14.164
"53",16.041
"54",18.067
"55",19.108
"56",18.736
"57",17.212
"58",16.394
"59",13.922
"60",11.691
"61",11.97
"62",11.97
"63",12.9
"64",14.888
"65",16.747
"66",17.955
"67",19.201
"68",18.903
"69",17.714
"70",16.097
"71",13.234
"72",12.435
"73",11.952
"74",11.97
"75",12.639
"76",15.204
"77",16.283
"78",18.699
"79",19.851
"80",18.959
"81",18.03
"82",15.316
"83",14.126
"84",12.323
"85",12.23
"86",12.23
"87",13.234
"88",14.647
"89",16.729
"90",18.494
"91",19.312
"92",19.164
"93",18.011
"94",16.338
"95",14.368
"96",12.751
"97",11.022
"98",12.658
"99",12.844
"100",15.037
"101",16.19
"102",18.253
"103",19.182
"104",18.513
"105",17.621
"106",16.506
"107",13.717
"108",11.84
"109",10.855
"110",11.636
"111",12.825
"112",15.019
"113",16.952
"114",17.937
"115",20
"116",19.535
"117",17.77
"118",16.283
"119",13.327
"120",10.818
"121",11.264
"122",12.026
"123",12.23
"124",14.126
"125",15.818
"126",18.42
"127",18.699
"128",18.903
"129",17.175
"130",16.041
"131",13.866
"132",12.844
"133",10.613
"134",12.082
"135",12.955
"136",15
"137",16.747
"138",18.792
"139",19.312
"140",18.68
"141",18.067
"142",15.632
"143",14.349
"144",12.732
"145",11.152
"146",10.372
"147",12.639
"148",14.981
"149",16.097
"150",17.602
"151",19.331
"152",18.978
"153",17.695
"154",15.539
"155",14.182
"156",10.781
"157",11.059
"158",11.152
"159",12.621
"160",14.981
"161",17.1
"162",18.16
"163",19.015
"164",19.331
"165",18.346
"166",16.115
"167",13.532
"168",12.398
