"","x"
"1",-7.5
"2",-2.2
"3",3.6
"4",0.6
"5",6.9
"6",-10.9
"7",-19.8
"8",-24
"9",-14.1
"10",-2.2
"11",2.3
"12",9
"13",5.5
"14",8.6
"15",-23.3
"16",12.3
"17",13.6
"18",2.4
"19",-9.5
"20",1.5
"21",-7.7
"22",5.4
"23",4.9
"24",-16.5
"25",-13.2
"26",-6.2
"27",7.4
"28",-14
"29",1.8
"30",7.2
"31",-2.8
"32",-4.6
"33",-6.5
"34",4.7
"35",-1.5
"36",-13.9
"37",-17.1
"38",0.7
"39",3.6
"40",-0.8
"41",-3.4
"42",-13
"43",-4.6
"44",-8.9
"45",-3.6
"46",-17.9
"47",-15.4
"48",3.9
"49",-1.2
"50",0.7
"51",1.7
"52",3.5
"53",6.2
"54",3.8
"55",6.9
"56",13
"57",13.4
"58",14.2
"59",9.9
"60",13
"61",11.7
"62",10.6
"63",7.9
"64",7.9
"65",-3.4
"66",3.8
"67",4.5
"68",4.5
"69",5.2
"70",5.4
"71",-5.3
"72",3.9
"73",-3.6
"74",-3.2
"75",-11.3
"76",-21.3
"77",-8.5
"78",-14.4
"79",-15.5
"80",-8.2
"81",-8.8
"82",-14.8
"83",-12.3
"84",-3.8
"85",-26.6
"86",-2.7
"87",-25.3
"88",-0.8
"89",-1.2
"90",18.4
"91",1.4
"92",2.1
"93",11.1
"94",4.7
"95",22
"96",20.7
"97",20.3
"98",10.6
"99",11.8
"100",5.7
"101",4
"102",4.5
"103",-2.2
"104",-2.8
"105",9.3
"106",4.1
"107",2.3
"108",-0.7
"109",15.1
"110",-4.7
"111",-9.4
"112",3.5
"113",0.3
"114",-1.8
"115",-5.8
"116",-8.2
"117",-10
"118",1
"119",-4.6
"120",-5.8
"121",2.1
"122",-11.6
"123",8.9
"124",5.7
"125",9.9
"126",16.3
"127",6.9
"128",5.7
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",0.7
"170",4.2
"171",-6.5
"172",-8.2
"173",-38.8
"174",-27
"175",-19.1
"176",-21
"177",-18.2
"178",-19.2
"179",-11.6
"180",-15.5
"181",-13.2
"182",-8.6
"183",-15.6
"184",-16.2
"185",-15.2
"186",-0.4
"187",-2.2
"188",0.9
"189",0.5
"190",2.2
"191",-7.8
"192",9
"193",6.4
"194",5.7
"195",15.1
"196",9.4
"197",-1.2
"198",-2.5
"199",5.7
"200",2.1
"201",3.5
"202",-0.3
"203",-2.7
"204",-1.7
"205",12.7
"206",8.6
"207",11.3
"208",3.5
"209",-6.3
"210",-9.5
"211",-5.2
"212",-9.5
"213",-1.2
"214",6.6
"215",15
"216",-4.3
"217",-7.9
"218",-7.6
"219",-23.3
"220",-16.9
"221",-6.3
"222",21.9
"223",9.3
"224",7.5
"225",-15.9
"226",-17.3
"227",-5.9
"228",-6.8
"229",-0.8
"230",2.2
"231",7.4
"232",3.5
"233",0.3
"234",16.3
"235",13.6
"236",9.4
"237",-15.3
"238",-22.3
"239",-8.5
"240",-3.2
"241",16.5
"242",-3.2
"243",9.4
"244",6.5
"245",7.7
"246",1.7
"247",1.4
"248",-8.2
"249",-17.1
"250",-7.2
"251",-3.4
"252",-4.3
"253",-9.9
"254",-11.6
"255",14.6
"256",15.2
"257",7.7
"258",-1.1
"259",5.7
"260",0.3
"261",8.7
"262",4.7
"263",1.1
"264",14.6
"265",13.6
"266",16
"267",7.4
"268",27.7
"269",9.2
"270",-6.7
"271",-8.2
"272",0.9
"273",0.5
"274",1.6
"275",-16.7
"276",1.3
"277",-9.9
"278",-18.5
"279",-27.7
"280",-38.2
"281",-34.3
"282",-27.7
"283",-19.8
"284",-7
"285",-6.5
"286",-5.3
"287",-17.3
"288",-14.4
"289",-4.1
"290",-8.6
"291",NA
"292",NA
"293",NA
"294",-3.9
"295",6.3
"296",14.8
"297",18.1
"298",9.8
"299",20.7
"300",NA
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",17.5
"322",8.5
"323",2.3
"324",-6.8
"325",-3.1
"326",-4.2
"327",-1.2
"328",-13.3
"329",2.5
"330",19.1
"331",9.9
"332",9.4
"333",1.1
"334",4.7
"335",8.7
"336",3.4
"337",5
"338",15
"339",10.3
"340",4.3
