"","x"
"1",315.42
"2",316.32
"3",316.49
"4",317.56
"5",318.13
"6",318
"7",316.39
"8",314.66
"9",313.68
"10",313.18
"11",314.66
"12",315.43
"13",316.27
"14",316.81
"15",317.42
"16",318.87
"17",319.87
"18",319.43
"19",318.01
"20",315.75
"21",314
"22",313.68
"23",314.84
"24",316.03
"25",316.73
"26",317.54
"27",318.38
"28",319.31
"29",320.42
"30",319.61
"31",318.42
"32",316.64
"33",314.83
"34",315.15
"35",315.95
"36",316.85
"37",317.78
"38",318.4
"39",319.53
"40",320.41
"41",320.85
"42",320.45
"43",319.44
"44",317.25
"45",316.12
"46",315.27
"47",316.53
"48",317.53
"49",318.58
"50",318.92
"51",319.7
"52",321.22
"53",322.08
"54",321.31
"55",319.58
"56",317.61
"57",316.05
"58",315.83
"59",316.91
"60",318.2
"61",319.41
"62",320.07
"63",320.74
"64",321.4
"65",322.06
"66",321.73
"67",320.27
"68",318.54
"69",316.54
"70",316.71
"71",317.53
"72",318.55
"73",319.27
"74",320.28
"75",320.73
"76",321.97
"77",322
"78",321.71
"79",321.05
"80",318.71
"81",317.65
"82",317.14
"83",318.71
"84",319.25
"85",320.46
"86",321.43
"87",322.22
"88",323.54
"89",323.91
"90",323.59
"91",322.26
"92",320.21
"93",318.48
"94",317.94
"95",319.63
"96",320.87
"97",322.17
"98",322.34
"99",322.88
"100",324.25
"101",324.83
"102",323.93
"103",322.39
"104",320.76
"105",319.1
"106",319.23
"107",320.56
"108",321.8
"109",322.4
"110",322.99
"111",323.73
"112",324.86
"113",325.41
"114",325.19
"115",323.97
"116",321.92
"117",320.1
"118",319.96
"119",320.97
"120",322.48
"121",323.52
"122",323.89
"123",325.04
"124",326.01
"125",326.67
"126",325.96
"127",325.13
"128",322.9
"129",321.61
"130",321.01
"131",322.08
"132",323.37
"133",324.34
"134",325.3
"135",326.29
"136",327.54
"137",327.54
"138",327.21
"139",325.98
"140",324.42
"141",322.91
"142",322.9
"143",323.85
"144",324.96
"145",326.01
"146",326.51
"147",327.01
"148",327.62
"149",328.76
"150",328.4
"151",327.2
"152",325.28
"153",323.2
"154",323.4
"155",324.64
"156",325.85
"157",326.6
"158",327.47
"159",327.58
"160",329.56
"161",329.9
"162",328.92
"163",327.89
"164",326.17
"165",324.68
"166",325.04
"167",326.34
"168",327.39
"169",328.37
"170",329.4
"171",330.14
"172",331.33
"173",332.31
"174",331.9
"175",330.7
"176",329.15
"177",327.34
"178",327.02
"179",327.99
"180",328.48
"181",329.18
"182",330.55
"183",331.32
"184",332.48
"185",332.92
"186",332.08
"187",331.02
"188",329.24
"189",327.28
"190",327.21
"191",328.29
"192",329.41
"193",330.23
"194",331.24
"195",331.87
"196",333.14
"197",333.8
"198",333.42
"199",331.73
"200",329.9
"201",328.4
"202",328.17
"203",329.32
"204",330.59
"205",331.58
"206",332.39
"207",333.33
"208",334.41
"209",334.71
"210",334.17
"211",332.88
"212",330.77
"213",329.14
"214",328.77
"215",330.14
"216",331.52
"217",332.75
"218",333.25
"219",334.53
"220",335.9
"221",336.57
"222",336.1
"223",334.76
"224",332.59
"225",331.41
"226",330.98
"227",332.24
"228",333.68
"229",334.8
"230",335.22
"231",336.47
"232",337.59
"233",337.84
"234",337.72
"235",336.37
"236",334.51
"237",332.6
"238",332.37
"239",333.75
"240",334.79
"241",336.05
"242",336.59
"243",337.79
"244",338.71
"245",339.3
"246",339.12
"247",337.56
"248",335.92
"249",333.74
"250",333.7
"251",335.13
"252",336.56
"253",337.84
"254",338.19
"255",339.9
"256",340.6
"257",341.29
"258",341
"259",339.39
"260",337.43
"261",335.72
"262",335.84
"263",336.93
"264",338.04
"265",339.06
"266",340.3
"267",341.21
"268",342.33
"269",342.74
"270",342.07
"271",340.32
"272",338.27
"273",336.52
"274",336.68
"275",338.19
"276",339.44
"277",340.57
"278",341.44
"279",342.53
"280",343.39
"281",343.96
"282",343.18
"283",341.88
"284",339.65
"285",337.8
"286",337.69
"287",339.09
"288",340.32
"289",341.2
"290",342.35
"291",342.93
"292",344.77
"293",345.58
"294",345.14
"295",343.81
"296",342.22
"297",339.69
"298",339.82
"299",340.98
"300",342.82
"301",343.52
"302",344.33
"303",345.11
"304",346.88
"305",347.25
"306",346.61
"307",345.22
"308",343.11
"309",340.9
"310",341.17
"311",342.8
"312",344.04
"313",344.79
"314",345.82
"315",347.25
"316",348.17
"317",348.75
"318",348.07
"319",346.38
"320",344.52
"321",342.92
"322",342.63
"323",344.06
"324",345.38
"325",346.12
"326",346.79
"327",347.69
"328",349.38
"329",350.04
"330",349.38
"331",347.78
"332",345.75
"333",344.7
"334",344.01
"335",345.5
"336",346.75
"337",347.86
"338",348.32
"339",349.26
"340",350.84
"341",351.7
"342",351.11
"343",349.37
"344",347.97
"345",346.31
"346",346.22
"347",347.68
"348",348.82
"349",350.29
"350",351.58
"351",352.08
"352",353.45
"353",354.08
"354",353.66
"355",352.25
"356",350.3
"357",348.58
"358",348.74
"359",349.93
"360",351.21
"361",352.62
"362",352.93
"363",353.54
"364",355.27
"365",355.52
"366",354.97
"367",353.74
"368",351.51
"369",349.63
"370",349.82
"371",351.12
"372",352.35
"373",353.47
"374",354.51
"375",355.18
"376",355.98
"377",356.94
"378",355.99
"379",354.58
"380",352.68
"381",350.72
"382",350.92
"383",352.55
"384",353.91
