"","x"
"1",76.2
"2",64.8
"3",127.3
"4",76.2
"5",166.6
"6",47.8
"7",165.1
"8",92.5
"9",49.5
"10",227.1
"11",79.2
"12",82.6
"13",12.2
"14",122.4
"15",14.5
"16",77.5
"17",150.4
"18",66
"19",46.7
"20",10.4
"21",145.8
"22",82.3
"23",118.1
"24",72.1
"25",43.2
"26",73.7
"27",55.9
"28",54.9
"29",55.1
"30",36.6
"31",96.5
"32",33.8
"33",138.4
"34",31.5
"35",127
"36",31.8
"37",85.9
"38",98
"39",174.5
"40",45
"41",40.6
"42",22.1
"43",155.4
"44",118.9
"45",87.9
"46",51.3
"47",62.7
"48",187.2
"49",93.2
"50",100.1
"51",66.8
"52",115.3
"53",40.4
"54",154.7
"55",223.5
"56",162.3
"57",154.9
"58",38.9
"59",63.2
"60",53.6
"61",21.3
"62",82.8
"63",117.6
"64",21.1
"65",43.7
"66",93.7
"67",52.3
"68",94
"69",66.3
"70",31.8
"71",34.5
"72",94.5
"73",28.2
"74",54.1
"75",147.3
"76",98.3
"77",4.8
"78",118.4
"79",93.5
"80",69.9
"81",50.8
"82",148.1
"83",47
"84",32.5
"85",72.6
"86",90.2
"87",31.2
"88",71.9
"89",63.5
"90",53.1
"91",75.4
"92",146.1
"93",20.1
"94",150.1
"95",120.9
"96",82.8
"97",52.1
"98",69.9
"99",85.1
"100",97
"101",88.6
"102",68.3
"103",135.4
"104",38.4
"105",117.3
"106",35.3
"107",170.4
"108",6.6
"109",136.4
"110",95.3
"111",72.9
"112",126.7
"113",68.1
"114",87.4
"115",110.5
"116",117.1
"117",51.1
"118",58.4
"119",100.8
"120",38.4
"121",41.4
"122",52.3
"123",104.6
"124",46.2
"125",95.3
"126",152.1
"127",103.4
"128",98.3
"129",74.4
"130",109.5
"131",135.9
"132",131.6
"133",158
"134",62
"135",75.4
"136",132.1
"137",27.2
"138",90.4
"139",105.9
"140",136.9
"141",135.4
"142",114.6
"143",47.8
"144",30.5
"145",116.3
"146",67.6
"147",48.3
"148",75.7
"149",128
"150",39.4
"151",66.5
"152",144.5
"153",35.6
"154",86.6
"155",65.8
"156",129.3
"157",100.8
"158",31.5
"159",56.4
"160",17.8
"161",149.4
"162",134.1
"163",105.4
"164",86.1
"165",97
"166",255.3
"167",55.4
"168",144
"169",63.2
"170",56.4
"171",51.3
"172",71.9
"173",89.4
"174",101.3
"175",110.5
"176",15.7
"177",90.7
"178",83.6
"179",76.5
"180",59.2
"181",69.9
"182",46
"183",97.3
"184",110
"185",50.5
"186",159.3
"187",166.4
"188",52.1
"189",66.8
"190",31
"191",81
"192",68.1
"193",193.5
"194",75.9
"195",44.5
"196",88.1
"197",57.9
"198",185.7
"199",73.9
"200",50
"201",46.2
"202",91.2
"203",84.8
"204",91.7
"205",63.5
"206",90.9
"207",95.5
"208",71.9
"209",123.4
"210",71.9
"211",149.6
"212",103.1
"213",57.9
"214",16.8
"215",82
"216",65
"217",55.9
"218",55.6
"219",80.5
"220",91.2
"221",90.9
"222",167.6
"223",60.5
"224",70.6
"225",241.8
"226",124.5
"227",85.1
"228",26.7
"229",128
"230",86.9
"231",38.4
"232",38.4
"233",154.2
"234",99.6
"235",64
"236",117.9
"237",74.2
"238",71.9
"239",78.7
"240",159
"241",46.7
"242",76.5
"243",66.8
"244",173.5
"245",68.3
"246",151.1
"247",115.3
"248",141
"249",63.5
"250",145.5
"251",63.2
"252",92.7
"253",199.1
"254",35.3
"255",147.8
"256",163.8
"257",83.1
"258",79
"259",83.3
"260",231.1
"261",48.3
"262",81.3
"263",107.2
"264",150.4
"265",34.5
"266",108.2
"267",72.1
"268",134.9
"269",148.8
"270",81
"271",299.7
"272",96.3
"273",32.3
"274",43.4
"275",88.6
"276",93
"277",36.6
"278",64.5
"279",112.3
"280",119.9
"281",52.1
"282",42.9
"283",115.3
"284",235.2
"285",123.4
"286",81.8
"287",105.4
"288",102.6
"289",102.9
"290",36.8
"291",112.5
"292",34.3
"293",78.5
"294",85.1
"295",134.1
"296",61
"297",102.4
"298",127.8
"299",74.9
"300",69.9
"301",95.5
"302",120.4
"303",61.5
"304",65.5
"305",40.6
"306",94.5
"307",75.2
"308",185.4
"309",54.9
"310",64.3
"311",63.5
"312",100.6
"313",117.6
"314",84.6
"315",116.8
"316",53.6
"317",87.6
"318",83.8
"319",116.8
"320",108.5
"321",6.4
"322",62.2
"323",202.4
"324",87.4
"325",120.1
"326",116.1
"327",119.4
"328",15
"329",39.9
"330",84.1
"331",70.1
"332",80.8
"333",205
"334",76.2
"335",72.1
"336",147.1
"337",51.6
"338",36.6
"339",69.9
"340",39.1
"341",124.5
"342",112.5
"343",83.3
"344",43.7
"345",46
"346",95.3
"347",59.4
"348",127.3
"349",18.5
"350",66.3
"351",138.9
"352",44.5
"353",101.6
"354",55.9
"355",74.4
"356",177
"357",35.8
"358",142.2
"359",66
"360",148.3
"361",121.2
"362",72.9
"363",120.7
"364",67.8
"365",165.1
"366",51.6
"367",151.6
"368",211.6
"369",196.3
"370",27.7
"371",84.3
"372",114.8
"373",31.2
"374",79
"375",88.1
"376",115.8
"377",122.4
"378",87.4
"379",64
"380",65
"381",28.7
"382",77
"383",85.1
"384",57.9
"385",51.1
"386",68.8
"387",108.5
"388",163.8
"389",77
"390",102.4
"391",103.1
"392",111.8
"393",32.8
"394",57.7
"395",153.9
"396",131.3
"397",47
"398",112.8
"399",62.5
"400",97.5
"401",131.3
"402",27.9
"403",160
"404",78.5
"405",113.3
"406",88.1
"407",58.9
"408",55.1
"409",59.2
"410",106.9
"411",41.1
"412",196.9
"413",176.3
"414",60.7
"415",76.7
"416",21.3
"417",96.5
"418",39.4
"419",71.9
"420",73.9
"421",59.4
"422",59.7
"423",42.7
"424",52.1
"425",75.2
"426",201.9
"427",162.6
"428",70.9
"429",101.6
"430",104.4
"431",51.8
"432",137.9
"433",115.3
"434",31.5
"435",56.6
"436",89.4
"437",66
"438",50.5
"439",38.4
"440",152.4
"441",101.9
"442",33
"443",52.6
"444",74.7
"445",89.7
"446",20.1
"447",46.5
"448",172.2
"449",141
"450",190.5
"451",99.6
"452",192.8
"453",28.2
"454",68.3
"455",36.8
"456",141
"457",65.8
"458",58.2
"459",27.7
"460",117.9
"461",127.5
"462",114
"463",34.3
"464",125.5
"465",37.8
"466",46.7
"467",142.5
"468",114.3
"469",169.7
"470",93
"471",177.3
"472",142.5
"473",57.2
"474",152.7
"475",103.4
"476",120.1
"477",195.1
"478",79.5
"479",97
"480",88.6
"481",82
"482",70.1
"483",36.1
"484",96.5
"485",97
"486",73.2
"487",25.1
"488",214.9
"489",72.4
"490",114.8
"491",155.7
"492",84.1
"493",133.4
"494",52.6
"495",99.6
"496",94.2
"497",168.7
"498",98.6
"499",65
"500",79.8
"501",111.8
"502",96.5
"503",123.7
"504",53.1
"505",121.7
"506",117.9
"507",90.2
"508",105.7
"509",58.7
"510",177
"511",62.7
"512",23.6
"513",101.1
"514",121.2
"515",121.7
"516",41.9
"517",119.9
"518",118.9
"519",149.6
"520",178.3
"521",114.6
"522",108
"523",152.7
"524",36.8
"525",22.4
"526",62.5
"527",68.6
"528",117.6
"529",43.4
"530",14
"531",131.3
"532",96.5
"533",220.5
"534",59.7
"535",95.8
"536",48.8
"537",181.9
"538",46.2
"539",99.8
"540",130.8
"541",91.7
"542",148.1
"543",119.6
"544",71.9
"545",183.1
"546",120.7
"547",75.4
"548",95.8
"549",202.2
"550",77.5
"551",100.6
"552",142.5
"553",80
"554",167.9
"555",54.6
"556",74.4
"557",118.9
"558",75.2
"559",64
"560",55.4
"561",221.2
"562",105.4
"563",44.7
"564",88.1
"565",44.7
"566",98.8
"567",138.9
"568",46
"569",185.9
"570",280.2
"571",60.7
"572",401.8
"573",43.7
"574",109.7
"575",74.7
"576",69.3
"577",91.9
"578",64
"579",85.3
"580",138.2
"581",178.1
"582",111
"583",89.2
"584",52.3
"585",226.3
"586",44.2
"587",134.1
"588",91.4
"589",108.7
"590",120.9
"591",134.9
"592",53.8
"593",107.7
"594",141.7
"595",73.4
"596",32.5
"597",82.6
"598",160.5
"599",94.7
"600",130
"601",103.6
"602",64.3
"603",103.1
"604",142.5
"605",159.5
"606",73.7
"607",100.3
"608",130
