"","x"
"1",-3.7
"2",-2.5
"3",1.4
"4",5.6
"5",10.1
"6",11.8
"7",21.9
"8",20.8
"9",16.4
"10",9.6
"11",3.9
"12",-6.8
"13",-9.5
"14",-1.4
"15",-4.3
"16",7.5
"17",10.5
"18",19.1
"19",19.6
"20",20.5
"21",14.4
"22",11.3
"23",3.4
"24",-0.6
"25",-7.6
"26",-6.5
"27",0.9
"28",8.9
"29",14.6
"30",16.2
"31",19.7
"32",19.2
"33",16.6
"34",9.4
"35",5
"36",-5.6
"37",-5.5
"38",-6.1
"39",0.7
"40",7.8
"41",14.6
"42",17.2
"43",20.9
"44",18.4
"45",15.3
"46",9.4
"47",1.5
"48",-1.8
"49",-5.2
"50",-5.2
"51",2
"52",8.8
"53",15.4
"54",19.9
"55",22.8
"56",19.4
"57",15.9
"58",6.8
"59",4.3
"60",-0.2
"61",-5.3
"62",-6.5
"63",-0.4
"64",6.6
"65",14.5
"66",18.1
"67",22.7
"68",21.2
"69",15.4
"70",6.7
"71",4.6
"72",-2.8
"73",-2.2
"74",-6.6
"75",-0.7
"76",5
"77",13.1
"78",18.4
"79",21.3
"80",19.3
"81",15
"82",9.5
"83",2
"84",-9.9
"85",-1.4
"86",-6.6
"87",1.8
"88",8.1
"89",11.5
"90",17.7
"91",20
"92",19.5
"93",15
"94",9.1
"95",4.8
"96",-1.4
"97",-6
"98",-2.2
"99",1.5
"100",8.8
"101",16.8
"102",19.7
"103",20.8
"104",20.7
"105",14.9
"106",10.5
"107",2
"108",-2.7
"109",-4.3
"110",-4.4
"111",-0.7
"112",5.3
"113",12.9
"114",15.9
"115",18
"116",17.3
"117",15
"118",7.5
"119",2.9
"120",-1.7
"121",-3.7
"122",-7.8
"123",-2.2
"124",6.4
"125",12.5
"126",17.4
"127",21
"128",20.5
"129",13.2
"130",8
"131",2.8
"132",-3.2
"133",-11.5
"134",-8.7
"135",-1.3
"136",7.2
