"","x"
"1",1.1
"2",4.4
"3",7.5
"4",8.9
"5",11.7
"6",15
"7",15.3
"8",15.6
"9",13.3
"10",11.1
"11",7.5
"12",5.8
"13",5.6
"14",4.2
"15",4.7
"16",7.2
"17",11.4
"18",15.3
"19",15
"20",16.2
"21",14.4
"22",8.6
"23",5.3
"24",3.3
"25",4.4
"26",3.3
"27",5
"28",8.1
"29",10.8
"30",12.2
"31",13.8
"32",13.3
"33",12.8
"34",9.4
"35",6.9
"36",3.9
"37",1.1
"38",4.2
"39",4.2
"40",8.4
"41",13.4
"42",16.4
"43",16
"44",15.6
"45",14.7
"46",10.2
"47",6.1
"48",1.8
"49",4.2
"50",5
"51",5.1
"52",9.2
"53",13.6
"54",14.9
"55",16.9
"56",16.9
"57",14.4
"58",10.8
"59",4.7
"60",3.6
"61",3.9
"62",2.4
"63",7.1
"64",8.3
"65",12.5
"66",16.4
"67",16.9
"68",16
"69",12.8
"70",9.1
"71",7.2
"72",1.6
"73",1.2
"74",2.3
"75",2.8
"76",7.1
"77",10.3
"78",15.1
"79",16.8
"80",15.7
"81",16.6
"82",10.1
"83",8.1
"84",5
"85",4.1
"86",4.7
"87",6.2
"88",8.7
"89",12.4
"90",14
"91",15.3
"92",16.3
"93",15.3
"94",10.9
"95",9.2
"96",3.4
"97",1.9
"98",2.2
"99",6
"100",6.8
"101",12.1
"102",15.6
"103",16.3
"104",16.7
"105",15.3
"106",12.3
"107",7.8
"108",5.2
"109",2.4
"110",6.4
"111",6.1
"112",8.9
"113",11.4
"114",14.6
"115",16
"116",16.6
"117",14.5
"118",10.9
"119",6.3
"120",2.2
"121",6.9
"122",6
"123",5.9
"124",10
"125",11.2
"126",15.2
"127",18.3
"128",16.1
"129",12.8
"130",9.1
"131",6.5
"132",7.6
"133",4.3
"134",6.4
"135",8.1
"136",9.3
"137",11.1
"138",14.1
"139",16.2
"140",16.2
"141",13.3
"142",8.4
"143",6.2
"144",4
"145",4.4
"146",4
"147",5.8
"148",8.9
"149",10.9
"150",13.3
"151",14.8
"152",16.2
"153",14.2
"154",10.3
"155",6.3
"156",5.4
"157",6.4
"158",3.1
"159",6.9
"160",8.6
"161",10.6
"162",15.7
"163",16.4
"164",17.8
"165",14.4
"166",10.4
"167",6.9
"168",6.4
"169",6.2
"170",4.2
"171",6.1
"172",8.8
"173",12.5
"174",15.9
"175",17.4
"176",13.8
"177",14.2
"178",8.9
"179",6.1
"180",4.9
"181",4.6
"182",4.6
"183",5.5
"184",9.9
"185",11.4
"186",14.2
"187",16.4
"188",16
"189",12.5
"190",10.2
"191",6.3
"192",6.1
"193",4
"194",6.8
"195",5.8
"196",6.7
"197",11.6
"198",15.2
"199",16
"200",14.7
"201",13.1
"202",9.6
"203",3.7
"204",3.2
"205",-2.8
"206",-1.6
"207",3.9
"208",6.4
"209",8.6
"210",12.8
"211",15.3
"212",14.7
"213",14
"214",5.3
"215",3.3
"216",2.2
"217",1.7
"218",4.4
"219",4.2
"220",7.1
"221",9.3
"222",15.2
"223",15.6
"224",16.7
"225",14.7
"226",11
"227",7.8
"228",3.9
"229",1.9
"230",3.6
"231",4.1
"232",6.6
"233",10.6
"234",15
"235",15.8
"236",15.8
"237",12.2
"238",9.2
"239",4.4
"240",1.1
"241",3.6
"242",5.4
"243",5.3
"244",5.4
"245",13.3
"246",15.6
"247",14.9
"248",16.9
"249",14.2
"250",8.9
"251",9.3
"252",4.9
"253",1.4
"254",2.9
"255",4.8
"256",6.7
"257",10.8
"258",14.4
