"","x"
"1",318
"2",347
"3",370
"4",394
"5",360
"6",347
"7",334
"8",299
"9",292
"10",287
"11",293
"12",281
"13",357
"14",364
"15",399
"16",382
"17",390
"18",374
"19",335
"20",319
"21",309
"22",312
"23",311
"24",337
"25",334
"26",321
"27",392
"28",358
"29",365
"30",355
"31",328
"32",321
"33",282
"34",287
"35",291
"36",297
"37",332
"38",390
"39",367
"40",383
"41",375
"42",319
"43",331
"44",311
"45",288
"46",275
"47",299
"48",313
"49",329
"50",393
"51",398
"52",384
"53",373
"54",352
"55",328
"56",315
"57",303
"58",310
"59",298
"60",307
"61",347
"62",352
"63",395
"64",382
"65",365
"66",349
"67",324
"68",323
"69",301
"70",283
"71",280
"72",355
"73",337
"74",370
"75",325
"76",392
"77",384
"78",336
"79",325
"80",325
"81",296
"82",280
"83",285
"84",299
"85",320
"86",341
"87",385
"88",347
"89",382
"90",339
"91",331
"92",313
"93",286
"94",304
"95",284
"96",309
"97",387
"98",400
"99",418
"100",430
"101",403
"102",388
"103",346
"104",323
"105",310
"106",292
"107",302
"108",338
"109",362
"110",395
"111",417
"112",409
"113",417
"114",361
"115",348
"116",336
"117",306
"118",299
"119",309
"120",309
"121",400
"122",422
"123",373
"124",408
"125",376
"126",347
"127",325
"128",309
"129",284
"130",272
"131",298
"132",313
"133",338
"134",341
"135",385
"136",363
"137",348
"138",352
"139",336
"140",303
"141",291
"142",292
"143",303
"144",321
"145",300
"146",365
"147",385
"148",360
"149",349
"150",351
"151",319
"152",306
"153",290
"154",293
"155",298
"156",320
"157",377
"158",359
"159",360
"160",373
"161",376
"162",351
"163",329
"164",327
"165",297
"166",288
"167",295
"168",313
"169",336
"170",352
"171",380
"172",361
"173",355
"174",344
"175",318
"176",307
"177",276
"178",291
"179",297
"180",316
"181",383
"182",397
"183",393
"184",369
"185",361
"186",347
"187",334
"188",324
"189",307
"190",296
"191",278
"192",312
"193",341
"194",371
"195",348
"196",374
"197",353
"198",345
"199",345
"200",311
"201",299
"202",281
"203",286
"204",321
"205",332
"206",365
"207",378
"208",357
"209",371
"210",354
"211",335
"212",321
"213",284
"214",272
"215",296
"216",292
"217",352
"218",365
"219",365
"220",382
"221",374
"222",354
"223",322
"224",316
"225",292
"226",288
"227",287
"228",340
"229",338
"230",402
"231",417
"232",397
"233",383
"234",364
"235",332
"236",321
"237",297
"238",298
"239",278
"240",311
"241",378
"242",384
"243",411
"244",386
"245",385
"246",359
"247",341
"248",320
"249",317
"250",297
"251",302
"252",332
"253",335
"254",375
"255",373
"256",383
"257",382
"258",359
"259",326
"260",317
"261",293
"262",280
"263",266
"264",332
"265",335
"266",375
"267",373
"268",415
"269",389
"270",362
"271",348
"272",329
"273",305
"274",285
"275",291
"276",284
"277",315
"278",375
"279",399
"280",374
"281",361
"282",351
"283",339
"284",332
"285",300
"286",292
"287",278
"288",317
"289",341
"290",402
"291",381
"292",395
"293",365
"294",360
"295",327
"296",308
"297",287
"298",284
"299",286
"300",312
"301",340
"302",342
"303",353
"304",375
"305",380
"306",349
"307",330
"308",321
"309",305
"310",279
"311",294
"312",322
"313",361
"314",351
"315",411
"316",417
"317",369
"318",369
"319",349
"320",330
"321",306
"322",312
"323",305
"324",326
"325",369
"326",367
"327",364
"328",390
"329",389
"330",373
"331",342
"332",330
"333",313
"334",294
"335",297
"336",328
"337",349
"338",397
"339",405
"340",400
"341",382
"342",353
"343",339
"344",315
"345",306
"346",299
"347",284
"348",332
"349",368
"350",333
"351",338
"352",365
"353",379
"354",349
"355",343
"356",322
"357",296
"358",288
"359",301
"360",304
"361",352
"362",362
"363",428
"364",400
"365",363
"366",349
"367",338
"368",302
"369",296
"370",271
"371",298
"372",309
"373",371
"374",408
"375",377
"376",381
"377",378
"378",352
"379",327
"380",310
"381",282
"382",273
"383",278
"384",293
"385",301
"386",335
"387",347
"388",378
"389",363
"390",330
"391",326
"392",323
"393",299
"394",288
"395",274
"396",310
"397",332
"398",390
"399",383
"400",385
"401",387
"402",345
"403",337
"404",318
"405",305
"406",275
"407",278
"408",305
"409",354
"410",338
"411",401
"412",380
"413",372
"414",345
"415",337
"416",326
"417",307
"418",282
"419",321
"420",319
"421",361
"422",362
"423",354
"424",374
"425",349
"426",358
"427",325
"428",317
"429",296
"430",273
"431",267
"432",304
"433",342
"434",383
"435",376
"436",379
"437",349
"438",351
"439",337
"440",335
"441",308
"442",275
"443",270
"444",331
"445",327
"446",419
"447",361
"448",393
"449",351
"450",364
"451",333
"452",333
"453",294
"454",281
"455",307
"456",345
"457",331
"458",417
"459",414
"460",419
"461",389
"462",360
"463",331
"464",323
"465",291
"466",278
"467",271
"468",309
"469",344
"470",349
"471",411
"472",364
"473",358
"474",358
"475",336
"476",309
"477",317
"478",278
"479",292
"480",306
