"","x"
"1",3.3
"2",2.3
"3",2.6
"4",1.6
"5",8.3
"6",6.1
"7",9
"8",7.4
"9",6.5
"10",4.3
"11",2.5
"12",3.3
"13",6.6
"14",4.5
"15",5.4
"16",4.7
"17",4.4
"18",5.9
"19",6.5
"20",6.9
"21",6.9
"22",3.8
"23",4.5
"24",3.2
"25",4.5
"26",4.4
"27",3.5
"28",6
"29",6.8
"30",8.1
"31",8.3
"32",7.7
"33",7.3
"34",4.9
"35",4.6
"36",3.9
"37",3.4
"38",3
"39",3.7
"40",5.6
"41",5
"42",7.4
"43",7.8
"44",6.8
"45",5.6
"46",6.9
"47",4.8
"48",2.8
"49",3
"50",2.9
"51",4.9
"52",5.3
"53",5.9
"54",8
"55",9
"56",8.2
"57",7.3
"58",4.8
"59",3.7
"60",2.6
"61",3
"62",4.2
"63",3.9
"64",5.4
"65",4.6
"66",7.5
"67",6.9
"68",7.1
"69",5.9
"70",5.5
"71",3.4
"72",2.5
"73",2.8
"74",2.3
"75",2.6
"76",5.8
"77",4.4
"78",7.1
"79",9.5
"80",9.2
"81",7.9
"82",5.3
"83",3.9
"84",3.3
"85",2.1
"86",3.6
"87",3
"88",3.8
"89",4.6
"90",4.4
"91",7.7
"92",6.2
"93",4.9
"94",5.1
"95",3.6
"96",3.1
"97",2.5
"98",3.9
"99",2.6
"100",3.6
"101",5.3
"102",7
"103",8.6
"104",7.6
"105",6.6
"106",5.6
"107",2.3
"108",1.6
"109",2.2
"110",3.5
"111",2.7
"112",5.4
"113",5.2
"114",4.9
"115",8.7
"116",8.7
"117",6.6
"118",7
"119",3.8
"120",2.1
"121",2.8
"122",2.6
"123",4.5
"124",4.8
"125",3.9
"126",8
"127",8.9
"128",8.1
"129",7.2
"130",5.9
"131",3.3
"132",2.2
"133",2.9
"134",4.1
"135",3.6
"136",3.2
"137",5.9
"138",6.5
"139",8.6
"140",9.3
"141",6.9
"142",7.9
"143",3.8
"144",2.4
"145",2.3
"146",3
"147",3.9
"148",4.8
"149",4.9
"150",6.5
"151",7.2
"152",7
"153",5.8
"154",4.8
"155",3.8
"156",2.3
"157",2.1
"158",2.6
"159",4.1
"160",3.9
"161",6.7
"162",5.1
"163",7.8
"164",9.3
"165",7.5
"166",4.1
"167",2.9
"168",2.6
"169",2
"170",3.2
"171",3.7
"172",4.5
"173",6.1
"174",6.5
"175",8.7
"176",9.1
"177",8.1
"178",4.9
"179",3.6
"180",2
