"","x"
"1",197.6
"2",95
"3",37.1
"4",74.2
"5",65.3
"6",175.5
"7",114.6
"8",90.4
"9",26.7
"10",62.2
"11",58.9
"12",142
"13",129
"14",122.2
"15",108.2
"16",51.1
"17",69.6
"18",49.3
"19",87.9
"20",114.3
"21",138.2
"22",201.9
"23",170.2
"24",110.7
"25",87.4
"26",104.9
"27",103.1
"28",81
"29",55.9
"30",72.4
"31",93.7
"32",50.8
"33",64
"34",127.5
"35",116.8
"36",115.8
"37",95.5
"38",116.3
"39",148.6
"40",49.5
"41",157.2
"42",70.4
"43",50
"44",135.9
"45",123.4
"46",57.9
"47",72.1
"48",66.5
"49",139.7
"50",79.5
"51",69.9
"52",34.8
"53",41.7
"54",76.2
"55",66.3
"56",103.1
"57",67.3
"58",112.5
"59",58.7
"60",75.9
"61",146.3
"62",47.8
"63",91.4
"64",38.4
"65",55.1
"66",89.9
"67",30.7
"68",117.9
"69",30.7
"70",37.8
"71",80.5
"72",51.3
"73",52.8
"74",82.8
"75",34.3
"76",49.3
"77",48.5
"78",47
"79",66.3
"80",102.6
"81",49
"82",46.5
"83",25.1
"84",154.4
"85",50.8
"86",32.5
"87",30.2
"88",53.6
"89",42.9
"90",85.6
"91",30.7
"92",33.5
"93",37.1
"94",61.5
"95",66.5
"96",55.1
"97",68.6
"98",49
"99",73.7
"100",58.2
"101",32.8
"102",37.1
"103",80.5
"104",122.7
"105",50.8
"106",29.2
"107",162.8
"108",69.9
"109",21.3
"110",70.4
"111",69.1
"112",21.8
"113",25.4
"114",68.8
"115",107.7
"116",27.2
"117",93.2
"118",159.3
"119",93.7
"120",43.2
"121",79.8
"122",36.8
"123",102.4
"124",85.1
"125",200.2
"126",84.3
"127",70.6
"128",70.9
"129",46.2
"130",15.5
"131",147.1
"132",66.3
"133",137.4
"134",161.8
"135",67.3
"136",96.5
"137",54.4
"138",78.5
"139",16.8
"140",54.6
"141",74.4
"142",174
"143",155.4
"144",75.9
"145",98
"146",85.1
"147",139.2
"148",22.6
"149",99.6
"150",65.5
"151",121.4
"152",13.5
"153",51.6
"154",48.8
"155",93.5
"156",86.9
"157",133.9
"158",114.6
"159",126.2
"160",62.7
"161",131.6
"162",101.6
"163",34.8
"164",65.5
"165",38.6
"166",209.8
"167",111.8
"168",71.6
"169",121.9
"170",41.9
"171",124
"172",141.7
"173",83.6
"174",138.4
"175",23.1
"176",63
"177",74.2
"178",43.7
"179",48.5
"180",152.9
"181",86.6
"182",77.7
"183",231.4
"184",54.9
"185",97.8
"186",63.8
"187",26.7
"188",82
"189",61.7
"190",85.3
"191",37.3
"192",146.6
"193",97.8
"194",101.9
"195",126.5
"196",84.6
"197",64
"198",42.9
"199",97.8
"200",29
"201",41.1
"202",71.9
"203",91.2
"204",82.8
"205",77.2
"206",100.8
"207",125.7
"208",85.3
"209",56.6
"210",32.8
"211",53.3
"212",154.9
"213",136.1
"214",64.5
"215",39.1
"216",61.2
"217",105.2
"218",70.4
"219",27.9
"220",21.1
"221",67.1
"222",77
"223",66.5
"224",44.7
"225",109.7
"226",11.9
"227",109
"228",99.3
"229",85.3
"230",58.4
"231",160.5
"232",89.2
"233",143
"234",37.1
"235",51.1
"236",45.5
"237",19.8
"238",92.5
"239",90.4
"240",130.3
"241",128.3
"242",116.6
"243",80.5
"244",115.3
"245",46.7
"246",39.9
"247",109.7
"248",61.7
"249",112
"250",119.6
"251",72.4
"252",125.5
"253",105.9
"254",94.2
"255",100.6
"256",67.1
"257",65.5
"258",25.7
"259",49.5
"260",84.3
"261",40.6
"262",103.9
"263",38.6
"264",127.3
"265",180.1
"266",120.9
"267",129.5
"268",98
"269",39.6
"270",40.4
"271",85.6
"272",40.9
"273",162.6
"274",64.5
"275",91.9
"276",42.9
"277",96.5
"278",114.8
"279",50.3
"280",86.9
"281",39.4
"282",69.1
"283",48.8
"284",36.6
"285",46.7
"286",47
"287",54.4
"288",93.5
"289",75.7
"290",62.7
"291",93.5
"292",64.8
"293",3.3
"294",128.8
"295",88.9
"296",64.3
"297",67.8
"298",39.9
"299",97.3
"300",71.1
"301",111
"302",54.9
"303",95.5
"304",77.7
"305",99.8
"306",34.3
"307",57.2
"308",95.5
"309",42.4
"310",77.5
"311",72.6
"312",148.1
"313",101.9
"314",67.6
"315",163.3
"316",56.6
"317",102.1
"318",18
"319",68.1
"320",56.9
"321",42.9
"322",144.8
"323",22.9
"324",79.8
"325",106.2
"326",57.4
"327",95.8
"328",99.8
"329",20.3
"330",82
"331",30.7
"332",64.5
"333",74.2
"334",65
"335",70.6
"336",49.5
"337",147.3
